Iteration,BestFitness
0,32
100,36
200,36
300,36
400,36
500,36
600,36
700,36
800,36
900,36
1000,36
1100,36
1200,36
1300,36
1400,36
1500,36
1600,36
1700,36
1800,36
1900,36
2000,36
2100,36
2200,36
2300,36
2400,36
2500,36
2600,36
2700,36
2800,36
2900,36
3000,36
3100,36
3200,36
3300,36
3400,36
3500,36
3600,36
3700,36
3800,36
3900,36
4000,36
4100,36
4200,36
4300,36
4400,36
4500,36
4600,36
4700,36
4800,36
4900,36
5000,36
5100,36
5200,36
5300,40
5400,40
5500,40
5600,40
5700,40
5800,40
5900,40
6000,40
6100,40
6200,40
6300,40
6400,40
6500,40
6600,40
6700,40
6800,40
6900,40
7000,40
7100,40
7200,40
7300,40
7400,40
7500,40
7600,40
7700,40
7800,40
7900,40
8000,40
8100,40
8200,40
8300,40
8400,40
8500,40
8600,40
8700,40
8800,40
8900,40
9000,40
9100,40
9200,40
9300,40
9400,40
9500,40
9600,40
9700,40
9800,40
9900,40
10000,40
10100,40
10200,40
10300,40
10400,40
10500,40
10600,40
10700,40
10800,40
10900,40
11000,40
11100,40
11200,40
11300,40
11400,40
11500,40
11600,40
11700,40
11800,40
11900,40
12000,40
12100,40
12200,40
12300,40
12400,40
12500,40
12600,40
12700,40
12800,40
12900,40
13000,40
13100,40
13200,40
13300,40
13400,40
13500,40
13600,40
13700,40
13800,40
13900,40
14000,40
14100,40
14200,40
14300,40
14400,40
14500,40
14600,40
14700,40
14800,40
14900,40
15000,40
15100,40
15200,40
15300,40
15400,40
15500,40
15600,40
15700,40
15800,40
15900,40
16000,40
16100,40
16200,40
16300,40
16400,40
16500,40
16600,40
16700,40
16800,40
16900,40
17000,40
17100,40
17200,40
17300,40
17400,40
17500,40
17600,40
17700,40
17800,40
17900,40
18000,40
18100,40
18200,40
18300,40
18400,40
18500,40
18600,40
18700,40
18800,40
18900,40
19000,40
19100,40
19200,40
19300,40
19400,40
19500,40
19600,40
19700,40
19800,40
19900,40
20000,40
20100,40
20200,40
20300,40
20400,40
20500,40
20600,40
20700,40
20800,40
20900,40
21000,40
21100,40
21200,40
21300,40
21400,40
21500,40
21600,40
21700,40
21800,40
21900,40
22000,40
22100,40
22200,40
22300,40
22400,40
22500,40
22600,40
22700,40
22800,40
22900,40
23000,40
23100,40
23200,40
23300,40
23400,40
23500,40
23600,40
23700,40
23800,40
23900,40
24000,40
24100,40
24200,40
24300,40
24400,40
24500,40
24600,40
24700,40
24800,40
24900,40
25000,40
25100,40
25200,40
25300,40
25400,40
25500,40
25600,40
25700,40
25800,40
25900,40
26000,40
26100,40
26200,40
26300,40
26400,40
26500,40
26600,40
26700,40
26800,40
26900,40
27000,40
27100,40
27200,40
27300,40
27400,40
27500,40
27600,40
27700,40
27800,40
27900,40
28000,40
28100,40
28200,40
28300,40
28400,40
28500,40
28600,40
28700,40
28800,48
28900,48
29000,48
29100,48
29200,48
29300,48
29400,48
29500,48
29600,48
29700,48
29800,48
29900,48
30000,48
30100,48
30200,48
30300,48
30400,48
30500,48
30600,48
30700,48
30800,48
30900,48
31000,48
31100,48
31200,48
31300,48
31400,48
31500,48
31600,48
31700,48
31800,48
31900,48
32000,48
32100,48
32200,48
32300,48
32400,48
32500,48
32600,48
32700,48
32800,48
32900,48
33000,48
33100,48
33200,48
33300,48
33400,48
33500,48
33600,48
33700,48
33800,48
33900,48
34000,48
34100,48
34200,48
34300,48
34400,48
34500,48
34600,48
34700,48
34800,48
34900,48
35000,48
35100,48
35200,48
35300,48
35400,48
35500,48
35600,48
35700,48
35800,48
35900,48
36000,48
36100,48
36200,48
36300,48
36400,48
36500,48
