0 0.02 0.07 0.40
16 0.03 0.20 1.03
32 0.05 0.89 4.50
48 0.09 2.35 8.71
64 0.13 2.48 9.43
80 0.10 5.06 9.97
96 0.10 6.20 11.78
112 0.18 7.76 14.44
128 0.30 8.32 13.16
144 0.33 9.82 19.02
160 1.01 15.74 39.23
176 0.45 18.84 43.18
192 1.03 24.53 46.07
208 1.13 25.94 53.04
224 0.47 31.13 54.36
240 0.97 33.30 63.91
256 2.34 38.50 95.66
272 1.02 52.98 102.65
288 1.20 68.44 127.81
304 0.38 79.11 128.16
320 0.97 83.39 146.01
336 1.49 90.92 152.03
352 0.27 103.86 164.80
368 0.46 121.63 258.81
384 1.20 153.57 301.59
400 13.85 175.06 364.88
416 32.27 222.05 379.12
432 5.62 212.27 408.14
448 1.76 356.47 1277.94
464 6.58 595.29 1640.21
480 0.70 914.39 1646.25
496 4.40 1193.41 1687.70
