0 0.02 0.08 0.61
18 0.03 0.39 0.88
36 0.28 0.56 1.02
54 0.43 0.74 1.58
72 0.42 1.07 1.96
90 0.51 1.48 2.72
108 0.76 1.72 2.95
126 0.53 1.92 2.85
144 1.01 2.23 3.19
162 1.14 2.35 3.20
180 1.86 2.81 3.37
198 2.23 2.99 3.46
216 1.39 3.07 3.83
234 2.54 3.26 3.85
252 1.96 3.36 4.70
270 2.59 3.75 4.61
288 2.97 4.07 4.80
306 2.62 4.04 4.69
324 1.85 4.14 4.72
342 2.65 4.33 5.70
360 2.78 4.59 5.75
378 2.39 5.03 5.76
396 2.47 5.29 5.71
414 2.71 5.38 5.71
432 5.30 5.58 5.69
450 4.11 5.53 5.82
468 3.95 5.52 5.89
486 4.12 5.55 5.91
504 4.40 5.66 7.19
522 3.63 5.90 7.28
540 4.29 6.49 7.52
558 3.63 6.54 7.68
576 4.92 6.97 11.55
594 4.23 8.01 13.97
612 4.86 10.93 13.95
630 9.37 12.48 17.17
