0 0.02 0.07 0.37
16 0.03 0.19 0.51
32 0.04 0.33 0.78
48 0.06 0.48 1.04
64 0.11 0.62 1.13
80 0.12 0.76 1.54
96 0.20 1.02 2.06
112 0.18 1.18 2.57
128 0.13 1.43 3.24
144 0.15 1.79 3.12
160 0.21 2.26 3.73
176 0.19 2.50 4.30
192 0.15 2.71 5.25
208 0.16 2.89 6.02
224 0.44 3.42 6.10
240 0.51 3.73 6.18
256 0.17 4.82 12.58
272 0.46 5.40 13.38
288 0.58 8.37 15.25
304 0.47 9.47 27.92
320 0.20 13.03 31.77
336 0.53 16.08 36.82
352 0.45 17.86 38.38
368 0.28 21.54 48.86
384 1.66 28.10 51.42
400 4.06 58.09 492.87
416 0.35 365.16 500.03
432 5.90 338.45 507.95
448 0.63 430.60 515.12
464 16.57 418.78 519.83
480 0.93 309.01 523.99
496 0.52 361.89 536.96
