0 0.02 0.06 0.44
25 0.02 0.23 0.70
50 0.07 0.44 0.98
75 0.21 0.63 1.04
100 0.35 0.82 1.20
125 0.50 0.92 1.30
150 0.62 1.00 1.42
175 0.68 1.06 1.52
200 0.53 1.12 1.57
225 0.56 1.21 1.91
250 0.80 1.36 1.91
275 0.74 1.52 2.23
300 0.80 1.64 2.25
325 0.89 1.78 2.22
350 1.06 1.92 2.55
375 1.17 2.11 2.81
400 1.11 2.36 2.88
425 1.24 2.48 2.90
450 1.32 2.53 3.19
475 1.65 2.61 3.29
500 1.70 2.66 3.41
525 1.40 2.67 3.41
550 1.59 2.77 3.30
575 2.05 2.94 3.38
600 1.72 3.00 3.42
625 1.50 3.03 3.64
650 1.85 3.12 4.05
675 2.14 3.20 4.06
700 1.51 3.34 4.18
725 2.47 3.53 4.05
750 2.66 3.65 4.24
775 3.00 3.72 4.80
800 2.65 4.13 10.81
825 2.48 7.13 22.72
850 2.37 11.14 23.04
875 5.77 14.79 23.20
900 4.87 17.56 23.02
925 8.94 20.44 23.75
950 12.56 21.34 28.93
975 12.11 23.36 29.10
1000 12.71 26.77 29.19
1025 17.55 27.19 29.22
1050 18.94 27.74 29.28
1075 24.66 28.36 29.22
1100 10.34 28.04 35.82
1125 19.59 28.72 35.80
1150 2.69 27.97 30.03
1175 3.48 28.07 30.05
1200 3.89 28.08 30.05
1225 3.60 27.96 30.59
