0 0.000 0.101 1.658
20 1.233 1.509 2.105
40 0.488 1.860 5.299
60 1.184 4.338 8.301
80 3.957 5.381 8.802
100 4.119 5.950 8.811
120 2.130 6.439 8.868
140 3.664 6.771 8.898
160 2.074 6.810 8.850
180 2.731 6.901 9.154
200 3.711 6.973 7.944
220 6.467 7.325 7.725
240 4.591 7.230 7.851
260 4.030 7.349 7.999
280 6.011 7.493 7.856
300 4.315 7.443 7.856
320 5.272 7.440 7.851
340 7.123 7.619 7.853
360 3.747 7.473 7.852
380 3.499 7.459 7.855
400 1.539 7.337 8.098
420 6.624 7.662 9.141
440 5.614 7.605 9.266
460 3.841 7.563 9.265
480 5.705 7.981 9.204
500 4.551 8.068 9.339
520 6.585 8.389 9.298
540 5.811 8.546 9.382
560 6.565 8.565 9.160
580 6.415 8.684 9.269
600 4.690 8.538 9.168
620 6.510 8.899 9.175
640 5.275 8.781 9.181
660 7.762 8.988 9.483
680 3.292 8.712 10.473
700 6.437 9.173 10.473
720 5.973 9.351 11.118
740 5.868 9.809 11.121
760 4.950 9.780 11.122
780 4.780 9.969 11.189
