0 0.000 0.089 1.205
20 0.005 0.952 1.851
40 0.298 1.200 2.648
60 0.067 1.542 3.841
80 0.043 1.948 4.232
100 0.132 2.569 4.974
120 0.148 3.279 6.058
140 0.058 3.506 8.361
160 0.162 5.165 10.151
180 0.077 6.538 10.542
200 0.168 7.649 11.170
220 0.157 8.037 12.036
240 0.127 8.289 12.125
260 0.693 8.965 12.221
280 2.122 8.880 12.526
300 1.118 9.242 13.192
320 0.115 9.232 14.931
340 0.088 9.547 14.855
360 0.450 10.471 14.873
380 2.523 11.468 17.566
400 0.791 13.553 19.168
420 1.215 14.065 17.854
440 0.159 12.844 18.218
460 0.161 14.604 41.368
480 0.166 23.548 41.251
500 0.374 26.388 41.385
520 0.276 34.935 70.022
540 0.333 34.583 41.037
560 0.937 32.963 69.643
580 0.779 37.101 69.543
600 0.771 38.571 69.634
620 0.810 45.814 69.963
640 0.667 51.607 69.948
660 0.663 47.022 69.813
680 1.233 49.588 70.293
700 0.343 41.564 70.090
720 0.452 47.952 70.388
740 1.307 63.646 70.390
760 55.430 66.823 70.390
780 0.479 47.739 70.256
