ELITIST GA RUN!!
Max Fitness:   99.6
Min Fitness:   98.65
Avg Fitness:   99.205
[00] - 0000100001001001110100110101101101000101 - [accuracy: 99.25, numBits: 17, time: 1.75648]
[01] - 0000101100011010100000000111110111001000 - [accuracy: 98.65, numBits: 16, time: 1.98461]
[02] - 0000111100110101000111011001100000101001 - [accuracy: 98.75, numBits: 18, time: 1.7573]
[03] - 0001110100010101010000101000111000111010 - [accuracy: 99.2, numBits: 17, time: 1.65337]
[04] - 0001111111010011001111101101111001010100 - [accuracy: 99.35, numBits: 24, time: 1.74142]
[05] - 0010000011110110111111001010100101010110 - [accuracy: 99.45, numBits: 21, time: 1.87225]
[06] - 0010000111101011111001011000001001010111 - [accuracy: 99.2, numBits: 20, time: 1.95711]
[07] - 0010000111111101000010011100010001100100 - [accuracy: 99.1, numBits: 17, time: 1.8603]
[08] - 0010001010001101101010101111101110011000 - [accuracy: 99.5, numBits: 20, time: 1.93297]
[09] - 0010001110100111101000101010000101000101 - [accuracy: 99.35, numBits: 17, time: 2.02506]
[10] - 0010011001001011100100011011000110000100 - [accuracy: 99.05, numBits: 16, time: 1.92169]
[11] - 0010011101000001100100100101100011011010 - [accuracy: 99.15, numBits: 17, time: 1.673]
[12] - 0010011101101000001100100000011101100000 - [accuracy: 99.3, numBits: 15, time: 1.70524]
[13] - 0010011110101010100110100001010000011001 - [accuracy: 99.35, numBits: 17, time: 2.08922]
[14] - 0010101110111010110010110101100101000111 - [accuracy: 99.2, numBits: 22, time: 1.89589]
[15] - 0010101111010110111110011001100111001100 - [accuracy: 99.15, numBits: 23, time: 1.93464]
[16] - 0010111010011010001101100011011011010010 - [accuracy: 99.35, numBits: 20, time: 1.65302]
[17] - 0011010011000111110001010000000101110010 - [accuracy: 99.5, numBits: 17, time: 1.644]
[18] - 0011010101100110101001011001000010111100 - [accuracy: 99.25, numBits: 19, time: 1.87438]
[19] - 0011101001110111000001101010010111011101 - [accuracy: 99.15, numBits: 22, time: 1.98286]
[20] - 0011110001011000001111110010110111101011 - [accuracy: 98.85, numBits: 23, time: 1.91039]
[21] - 0011111010110110001000011110000010101110 - [accuracy: 99.1, numBits: 20, time: 1.92812]
[22] - 0100001011100000100001100011001001101001 - [accuracy: 99.6, numBits: 15, time: 1.74986]
[23] - 0100011101000111111000101101111000111001 - [accuracy: 99.35, numBits: 22, time: 1.90847]
[24] - 0100100101000011010111100110000000100011 - [accuracy: 99.2, numBits: 16, time: 1.69179]
[25] - 0101001010100100000011110110101000010001 - [accuracy: 99.35, numBits: 16, time: 1.7251]
[26] - 0101001111001010101100110111000100101001 - [accuracy: 99.15, numBits: 20, time: 2.00866]
[27] - 0101010000011001100000001010000101010010 - [accuracy: 98.85, numBits: 13, time: 1.64035]
[28] - 0101010101010110100000010000000110000101 - [accuracy: 98.9, numBits: 14, time: 1.93314]
[29] - 0101110001010100010100101011001001011101 - [accuracy: 99, numBits: 19, time: 1.29696]
[30] - 0101110011011111001010001100110111110110 - [accuracy: 99.5, numBits: 24, time: 1.84568]
[31] - 0101110011110001100010000001001011010011 - [accuracy: 99.25, numBits: 18, time: 1.74181]
[32] - 0101111101011001000100010101001010011001 - [accuracy: 99.45, numBits: 19, time: 1.99898]
[33] - 0110000110100100001010110011111000100100 - [accuracy: 99.45, numBits: 17, time: 1.85999]
[34] - 0110010101111100111101110011001110000100 - [accuracy: 98.9, numBits: 22, time: 1.87864]
[35] - 0110010110011001111010010101111101001000 - [accuracy: 99.3, numBits: 21, time: 1.88353]
[36] - 0110101110011100111010010100001111101111 - [accuracy: 99.15, numBits: 24, time: 2.01936]
[37] - 0110101111000000011101001100111101001110 - [accuracy: 99.15, numBits: 21, time: 1.63967]
[38] - 0110101111100111111110010000001010101011 - [accuracy: 98.95, numBits: 23, time: 2.06999]
[39] - 0110110001110110011000111100000010101001 - [accuracy: 99, numBits: 19, time: 2.07859]
[40] - 0110110101100101111111100011011110000001 - [accuracy: 98.95, numBits: 23, time: 2.02908]
[41] - 0110110111000011110000101001110100111101 - [accuracy: 99.5, numBits: 22, time: 2.04562]
[42] - 0111000100010010010110111001010101010110 - [accuracy: 99.2, numBits: 19, time: 1.84711]
[43] - 0111101110001110001100110011011011110011 - [accuracy: 99.3, numBits: 24, time: 1.97485]
[44] - 0111110011110110010000001111000010011011 - [accuracy: 99.3, numBits: 21, time: 2.02444]
[45] - 1000000000101110011010100001010011100011 - [accuracy: 98.8, numBits: 16, time: 1.82811]
[46] - 1000000010011111000000001011111000000110 - [accuracy: 99.15, numBits: 15, time: 1.87979]
[47] - 1000000010110101111011111101000100010001 - [accuracy: 99.5, numBits: 19, time: 1.82152]
[48] - 1000001011000100110000001101011100100110 - [accuracy: 99.35, numBits: 16, time: 1.71713]
[49] - 1000001101111110000000011111110000111010 - [accuracy: 99.1, numBits: 20, time: 1.97708]
[50] - 1000010000010011111111111000010000000100 - [accuracy: 99.05, numBits: 16, time: 1.86266]
