ELITIST GA RUN!!
Max Fitness:   99.6
Min Fitness:   95.65
Avg Fitness:   99.0265
[00] - 0000000001100000001101110010111000010110 - [accuracy: 98.85, numBits: 14, time: 4.21029]
[01] - 0000000010001010101110100101100001011100 - [accuracy: 99.1, numBits: 15, time: 3.7034]
[02] - 0000000111100110011001001101101110010010 - [accuracy: 99.25, numBits: 18, time: 3.79085]
[03] - 0000001101101101110110110101011101001100 - [accuracy: 98.45, numBits: 21, time: 3.8932]
[04] - 0000010101010100001100010110101101010101 - [accuracy: 98.75, numBits: 17, time: 3.53899]
[05] - 0000011011010001001010011010111011110100 - [accuracy: 99.25, numBits: 19, time: 3.52956]
[06] - 0000100011000110100010000000011000110000 - [accuracy: 99.1, numBits: 11, time: 3.56528]
[07] - 0000100100110110000001011100111101000011 - [accuracy: 98.6, numBits: 17, time: 3.38909]
[08] - 0000100111110010010011101111000010111000 - [accuracy: 98.95, numBits: 19, time: 4.76971]
[09] - 0000111001111101011100010110011011100001 - [accuracy: 98.75, numBits: 21, time: 4.18764]
[10] - 0001001011110100100011100011111000111111 - [accuracy: 99.3, numBits: 22, time: 3.69778]
[11] - 0001010001011001101010101100011001101011 - [accuracy: 99, numBits: 19, time: 3.61709]
[12] - 0001010001110110011010100110000001000011 - [accuracy: 98.45, numBits: 16, time: 4.1548]
[13] - 0001011000100011010001011011000011010110 - [accuracy: 99.15, numBits: 17, time: 3.96052]
[14] - 0001100000010001000010110001110111110011 - [accuracy: 98.85, numBits: 17, time: 3.2067]
[15] - 0001101100111111010010000001110111011100 - [accuracy: 99.15, numBits: 21, time: 4.08446]
[16] - 0001101110100011010100111101011011000001 - [accuracy: 98.9, numBits: 20, time: 4.1453]
[17] - 0001101111100010011110111111010001101010 - [accuracy: 99.5, numBits: 23, time: 3.9093]
[18] - 0010000001100000001001001100100110000001 - [accuracy: 95.65, numBits: 11, time: 3.50131]
[19] - 0010011111011010100000000111010001101100 - [accuracy: 98.9, numBits: 18, time: 4.21923]
[20] - 0010100110101100010010110011100111101001 - [accuracy: 98.45, numBits: 20, time: 3.98905]
[21] - 0010101100000010000110101100011110101001 - [accuracy: 98.25, numBits: 17, time: 3.69658]
[22] - 0010101111101101110011100101110110000001 - [accuracy: 98.9, numBits: 22, time: 3.85964]
[23] - 0010111001110111100000010100101101001101 - [accuracy: 98.6, numBits: 20, time: 4.63945]
[24] - 0011000010011111001101001000111001000011 - [accuracy: 99.45, numBits: 18, time: 3.93032]
[25] - 0011000101111011100010100101001110011000 - [accuracy: 99.3, numBits: 19, time: 4.4417]
[26] - 0011001001000101110011001101101010010101 - [accuracy: 99.2, numBits: 19, time: 4.02486]
[27] - 0011010000110011011011010101001111111101 - [accuracy: 99.2, numBits: 23, time: 3.86625]
[28] - 0011011000010101001111100111100110011000 - [accuracy: 99.2, numBits: 20, time: 4.46516]
[29] - 0011011101010111010110010110011111010101 - [accuracy: 99.2, numBits: 24, time: 1.90071]
[30] - 0011011111011111101000100110000101011011 - [accuracy: 99.45, numBits: 23, time: 4.11999]
[31] - 0011100111011101100011111100101101011110 - [accuracy: 99.5, numBits: 25, time: 3.34195]
[32] - 0011110011100110011111110100110100111001 - [accuracy: 99.05, numBits: 24, time: 4.45664]
[33] - 0100000100001001010111110100000010011111 - [accuracy: 98.95, numBits: 17, time: 3.1179]
[34] - 0100000111000110110011100110011001110111 - [accuracy: 99.35, numBits: 21, time: 4.59762]
[35] - 0100001100000101111010111101100100000101 - [accuracy: 98.8, numBits: 18, time: 4.20224]
[36] - 0100010101010011111000010101100010001110 - [accuracy: 99.3, numBits: 18, time: 4.12028]
[37] - 0100011011100100100111000000001011011010 - [accuracy: 99.35, numBits: 17, time: 4.13095]
[38] - 0101000000000001000011110011001011010001 - [accuracy: 99, numBits: 14, time: 4.30581]
[39] - 0101011000110001100100100111000001100110 - [accuracy: 98.9, numBits: 17, time: 4.02848]
[40] - 0101111001101000000111110010110000011100 - [accuracy: 98.6, numBits: 19, time: 3.97795]
[41] - 0110000001100001001000110110100110101001 - [accuracy: 97.7, numBits: 16, time: 4.24901]
[42] - 0110001111111011010101111110111001010101 - [accuracy: 99.3, numBits: 26, time: 3.8886]
[43] - 0110010100000010100000111100011110110110 - [accuracy: 99.2, numBits: 18, time: 3.60765]
[44] - 0110010100100111011000111011101000101110 - [accuracy: 99.05, numBits: 21, time: 3.85854]
[45] - 0110011000100101011101010101011011110101 - [accuracy: 99.15, numBits: 22, time: 3.27879]
[46] - 0110100001010111001100000011100101111011 - [accuracy: 99.35, numBits: 20, time: 3.88998]
[47] - 0110101100111100100010111010110100000110 - [accuracy: 99.1, numBits: 20, time: 3.91816]
[48] - 0110101111111010101010011000000100110111 - [accuracy: 99.45, numBits: 22, time: 3.50777]
[49] - 0110101111111110110100000101111011001111 - [accuracy: 99.5, numBits: 26, time: 4.41544]
[50] - 0110110001111000011010100101010011101011 - [accuracy: 98.2, numBits: 21, time: 3.74045]
[51] - 1000011101100000101100111110111001101110 - [accuracy: 98.9, numBits: 22, time: 4.21602]
[52] - 1000101010010100000111000110011100011100 - [accuracy: 99.1, numBits: 17, time: 4.39867]
[53] - 1000110110111111101011001110011010001110 - [accuracy: 99.4, numBits: 24, time: 4.6878]
[54] - 1001000000100000110000001101100001111001 - [accuracy: 98.05, numBits: 14, time: 4.47434]
[55] - 1001011001101010111101010011010101010011 - [accuracy: 99.15, numBits: 22, time: 4.79156]
[56] - 1001011100110100101101000000010010110111 - [accuracy: 99, numBits: 19, time: 3.37351]
[57] - 1001110101100001001100000101000101110111 - [accuracy: 98.85, numBits: 19, time: 3.27814]
[58] - 1001110101101100000100010110011000111100 - [accuracy: 99, numBits: 19, time: 3.97564]
[59] - 1001110111001101110011011010110010011111 - [accuracy: 99.45, numBits: 25, time: 4.26683]
[60] - 1001111111001101011111000110011000101111 - [accuracy: 99.35, numBits: 25, time: 4.54088]
[61] - 1010000000100100011100110101101101100010 - [accuracy: 98.65, numBits: 17, time: 3.80941]
[62] - 1010001110010100011111100100111010100011 - [accuracy: 99.35, numBits: 21, time: 4.32005]
[63] - 1010010011001010110110100111100101111001 - [accuracy: 99.25, numBits: 22, time: 4.58047]
[64] - 1010100001010111100100100001101001110110 - [accuracy: 99.35, numBits: 19, time: 3.10794]
[65] - 1010100001100100010110011100101011100110 - [accuracy: 98.55, numBits: 19, time: 3.93813]
[66] - 1010101001011011001110110000111011011001 - [accuracy: 99.1, numBits: 22, time: 3.77378]
[67] - 1010110010111001011110000000100001110110 - [accuracy: 99.45, numBits: 19, time: 4.24528]
[68] - 1010110011111000001001100111010110101010 - [accuracy: 99.05, numBits: 21, time: 4.57988]
[69] - 1010110101111111101100011011111001111001 - [accuracy: 99.2, numBits: 27, time: 3.69341]
[70] - 1010111100101100000010111100010001011111 - [accuracy: 99.15, numBits: 21, time: 4.04107]
[71] - 1011000011011100011001010011000110111010 - [accuracy: 99.35, numBits: 20, time: 4.12128]
[72] - 1011000101110000010100000010000001110010 - [accuracy: 98.45, numBits: 14, time: 4.44523]
[73] - 1011011011010000101111101000011111101010 - [accuracy: 99.4, numBits: 23, time: 3.98245]
[74] - 1011100110100011111100000111111101001111 - [accuracy: 99.5, numBits: 25, time: 4.36451]
[75] - 1011101010011010111111001001101110011011 - [accuracy: 99.45, numBits: 25, time: 4.00953]
[76] - 1011110000100100010111000110010010001010 - [accuracy: 98.25, numBits: 17, time: 4.46762]
[77] - 1011110001100011100111101110100110010000 - [accuracy: 99.1, numBits: 21, time: 4.50059]
[78] - 1100000011000110000110111110111000010011 - [accuracy: 99.35, numBits: 19, time: 4.41947]
[79] - 1100000011011001010001010010111011110000 - [accuracy: 99.35, numBits: 18, time: 4.14203]
[80] - 1100000100011101011001101110010110100010 - [accuracy: 99.05, numBits: 19, time: 4.13456]
[81] - 1100011001110011011101001110111000001010 - [accuracy: 99, numBits: 21, time: 4.25487]
[82] - 1100011111000110101010010011001000110111 - [accuracy: 99.3, numBits: 21, time: 3.89951]
[83] - 1100100000111101011111100100111011000110 - [accuracy: 99.15, numBits: 22, time: 3.70181]
[84] - 1100101111101000001110010011001110010101 - [accuracy: 99.25, numBits: 21, time: 4.21401]
[85] - 1100111010100001111010101111111110101100 - [accuracy: 99.25, numBits: 25, time: 4.04791]
[86] - 1101100111010101110011111110001111000101 - [accuracy: 99.2, numBits: 25, time: 4.66803]
[87] - 1101110001100000111010101100110000001110 - [accuracy: 98.55, numBits: 19, time: 4.07875]
[88] - 1101110011001000010010111000110110010100 - [accuracy: 99.2, numBits: 19, time: 1.84703]
[89] - 1101111011101101111100010010010111101110 - [accuracy: 99.45, numBits: 26, time: 4.22503]
[90] - 1110000011101101100000101010010000001010 - [accuracy: 99.6, numBits: 16, time: 4.31757]
[91] - 1110001011010000110000000011010000010010 - [accuracy: 99.45, numBits: 14, time: 3.8301]
[92] - 1110001110110000010110101001110110011001 - [accuracy: 99.15, numBits: 21, time: 3.91077]
[93] - 1110011111010000011101000111100011001111 - [accuracy: 99.45, numBits: 23, time: 4.56632]
[94] - 1111001001110111011000110100000101000111 - [accuracy: 99.2, numBits: 21, time: 3.93323]
[95] - 1111100000110110000010001011010010111111 - [accuracy: 98.8, numBits: 21, time: 3.77781]
[96] - 1111100111100011110101001101100111111010 - [accuracy: 99.4, numBits: 26, time: 4.46015]
[97] - 1111101101110001001000000100101101101001 - [accuracy: 98.5, numBits: 20, time: 3.81622]
[98] - 1111110011111100011100011100001010010110 - [accuracy: 99.35, numBits: 23, time: 4.18815]
[99] - 1111110100111100100000111100111010000000 - [accuracy: 98.9, numBits: 20, time: 4.48283]
iteration (Normal): 0
Max Fitness:   99.6
Min Fitness:   99.2
Avg Fitness:   99.358
[00] - 0000000111100110010010100101001110011000 - [accuracy: 99.25, numBits: 18, time: 3.79085]
[01] - 0000011011010001001010011010111001101010 - [accuracy: 99.2, numBits: 18, time: 3.91957]
[02] - 0000011011010001001010011010111011110100 - [accuracy: 99.25, numBits: 19, time: 3.52956]
[03] - 0001001011110100100011100110111001010101 - [accuracy: 99.3, numBits: 22, time: 3.69778]
[04] - 0001011011100100100011100101001110011010 - [accuracy: 99.4, numBits: 19, time: 4.31845]
[05] - 0001011111011111101000100111100101111001 - [accuracy: 99.35, numBits: 24, time: 4.04141]
[06] - 0001101111100010011110111111010011110100 - [accuracy: 99.5, numBits: 23, time: 3.9093]
[07] - 0001101111111100100111000000001011011010 - [accuracy: 99.4, numBits: 20, time: 3.87475]
[08] - 0010011111011010100000000111010001101110 - [accuracy: 99.35, numBits: 19, time: 4.17242]
[09] - 0011000010011111001101001000111001000011 - [accuracy: 99.45, numBits: 18, time: 3.93032]
[10] - 0011000101111011100010100110111001010101 - [accuracy: 99.3, numBits: 19, time: 4.4417]
[11] - 0011000101111011101001001101101110010010 - [accuracy: 99.25, numBits: 21, time: 3.66579]
[12] - 0011001001000101110011001101101010010101 - [accuracy: 99.2, numBits: 19, time: 4.02486]
[13] - 0011010000110111101000100110000101011011 - [accuracy: 99.2, numBits: 23, time: 3.86625]
[14] - 0011011000010101001111100111100110011000 - [accuracy: 99.2, numBits: 20, time: 4.46516]
[15] - 0011011101010111010110010110011111010101 - [accuracy: 99.2, numBits: 24, time: 1.90071]
[16] - 0011011111011011011011010101001111111101 - [accuracy: 99.35, numBits: 27, time: 3.93771]
[17] - 0011011111011111101000100110000101011011 - [accuracy: 99.45, numBits: 23, time: 4.11999]
[18] - 0011100111011101100011111100101101011110 - [accuracy: 99.5, numBits: 25, time: 3.34195]
[19] - 0011100111011101100011111100101101011111 - [accuracy: 99.45, numBits: 26, time: 3.87534]
[20] - 0100000111000110101010010011001000110111 - [accuracy: 99.35, numBits: 18, time: 4.15999]
[21] - 0100000111000110110001110010111000010110 - [accuracy: 99.35, numBits: 18, time: 3.64147]
[22] - 0100000111000110110011100110011001110111 - [accuracy: 99.35, numBits: 21, time: 4.39958]
[23] - 0100000111000110110011100110011001110111 - [accuracy: 99.35, numBits: 21, time: 4.39958]
[24] - 0100000111000110110011100110011001110111 - [accuracy: 99.35, numBits: 21, time: 4.59762]
[25] - 0100010101010011111000010101100010001110 - [accuracy: 99.3, numBits: 18, time: 4.12028]
