ELITIST GA RUN!!
Max Fitness:   98.55
Min Fitness:   88.95
Avg Fitness:   96.834
[00] - 0000000011011100111010111010000000010011 - [accuracy: 97.55, numBits: 16, time: 7.74379]
[01] - 0000000110011111100010001111111100110110 - [accuracy: 98.2, numBits: 21, time: 7.75455]
[02] - 0000010100101110100001110101101100011000 - [accuracy: 96, numBits: 17, time: 10.1158]
[03] - 0000010110111010110001000101010110000011 - [accuracy: 97.7, numBits: 17, time: 20.7837]
[04] - 0000010111010011011010100011010100010001 - [accuracy: 95.5, numBits: 17, time: 12.1926]
[05] - 0000100000110010110010111101101101110000 - [accuracy: 97, numBits: 18, time: 9.66811]
[06] - 0000101100110010001000010000110011010000 - [accuracy: 94.95, numBits: 13, time: 16.8281]
[07] - 0000101101000101110011000001110000111111 - [accuracy: 96.2, numBits: 19, time: 10.9741]
[08] - 0000110000110010110111000100100101100010 - [accuracy: 95, numBits: 16, time: 17.5833]
[09] - 0000110101100000011111111110010011110101 - [accuracy: 96.75, numBits: 22, time: 10.9062]
[10] - 0000111000001111011111011100011101111010 - [accuracy: 98.05, numBits: 23, time: 7.65412]
[11] - 0001100011001000001110001100101001000001 - [accuracy: 95.5, numBits: 14, time: 15.7825]
[12] - 0001100100110100010111000110111110110100 - [accuracy: 96.5, numBits: 20, time: 11.3965]
[13] - 0001110110011111111010111100010100111011 - [accuracy: 98.25, numBits: 25, time: 9.00334]
[14] - 0001111010100100101011011100101101101000 - [accuracy: 96.1, numBits: 20, time: 14.1306]
[15] - 0010011000000110111110100001011000100011 - [accuracy: 96.6, numBits: 17, time: 15.8849]
[16] - 0010011000010011001000011001111011001001 - [accuracy: 96.9, numBits: 17, time: 19.6442]
[17] - 0010100000001001110100111011101010000011 - [accuracy: 97, numBits: 17, time: 15.4137]
[18] - 0010111101010101011111000010010101111011 - [accuracy: 97.05, numBits: 23, time: 9.73545]
[19] - 0011000001000000001101101100100011000000 - [accuracy: 88.95, numBits: 12, time: 24.171]
[20] - 0011001110101110001011100011111100001000 - [accuracy: 96.3, numBits: 20, time: 16.6251]
[21] - 0011010001010011100010000110000100111111 - [accuracy: 96.6, numBits: 18, time: 10.3187]
[22] - 0011011100101000100110101110000011011110 - [accuracy: 97.2, numBits: 20, time: 8.63782]
[23] - 0011011111010111001000110011000011110111 - [accuracy: 97, numBits: 23, time: 9.09698]
[24] - 0011100000010100100011011111111001011000 - [accuracy: 97.15, numBits: 19, time: 9.18941]
[25] - 0011100000011010011101100000010100000101 - [accuracy: 93.3, numBits: 15, time: 31.5878]
[26] - 0011100111001001110001010111110011101001 - [accuracy: 97.05, numBits: 22, time: 19.1179]
[27] - 0011101110110010011000111110110100011010 - [accuracy: 97.2, numBits: 22, time: 9.208]
[28] - 0011110011101110111011010111011111110101 - [accuracy: 97.8, numBits: 28, time: 9.88752]
[29] - 0011111001001100101001100010101010001110 - [accuracy: 97.2, numBits: 19, time: 18.3672]
[30] - 0100010000001111010001111111110000011101 - [accuracy: 95.95, numBits: 20, time: 9.44636]
[31] - 0100011110100110101011110110101011111010 - [accuracy: 98.25, numBits: 24, time: 8.87713]
[32] - 0100100100100000110010111010100100000011 - [accuracy: 93.15, numBits: 15, time: 18.0171]
[33] - 0100100101100101100111111000101111110100 - [accuracy: 97.35, numBits: 22, time: 8.78803]
[34] - 0100110110001110111100011000110010000001 - [accuracy: 96.2, numBits: 18, time: 20.5229]
[35] - 0101000100110010101010010010101100000111 - [accuracy: 96.55, numBits: 17, time: 17.3876]
[36] - 0101000111111111111100001010001110001100 - [accuracy: 97.5, numBits: 22, time: 15.4558]
[37] - 0101001001011011000011001001110100010111 - [accuracy: 96.6, numBits: 19, time: 9.48087]
[38] - 0101001100010111001100101000111011111111 - [accuracy: 97.65, numBits: 23, time: 8.47569]
