ELITIST GA RUN!!
Max Fitness:   99.1782
Min Fitness:   94.9153
Avg Fitness:   97.6179
[00] - 0000001101011000011110110111101010001111 - [accuracy: 98.0483, numBits: 21, time: 2.10901]
[01] - 0000010000000001000000110111001000011000 - [accuracy: 99.1782, numBits: 10, time: 1.64224]
[02] - 0000010011000001001110111001101011010100 - [accuracy: 98.5105, numBits: 17, time: 2.30205]
[03] - 0000011000000110010110000110000101110101 - [accuracy: 97.3292, numBits: 15, time: 1.91277]
[04] - 0000100110000011100011001111001110000001 - [accuracy: 98.716, numBits: 16, time: 2.27816]
[05] - 0000100110111110100001111011110010010100 - [accuracy: 97.4833, numBits: 20, time: 2.09067]
[06] - 0000101010110100110001011101101100100110 - [accuracy: 98.6646, numBits: 19, time: 2.04529]
[07] - 0000110101000000101011110001010010101100 - [accuracy: 96.6615, numBits: 16, time: 1.81443]
[08] - 0001100010010101000101110000100010100110 - [accuracy: 97.0211, numBits: 15, time: 2.35171]
[09] - 0001100011010100111001110111010010010010 - [accuracy: 97.4319, numBits: 19, time: 2.04543]
[10] - 0001100111001001011100101010001100001110 - [accuracy: 98.6646, numBits: 18, time: 1.94454]
[11] - 0001101000110001010001000100010101100000 - [accuracy: 97.3806, numBits: 13, time: 1.59836]
[12] - 0001101010110100100011100001100100000000 - [accuracy: 96.5074, numBits: 14, time: 2.15398]
[13] - 0001111001010001001101111101010000001010 - [accuracy: 96.1479, numBits: 18, time: 1.99847]
[14] - 0010001111101000110011111010000011011110 - [accuracy: 96.9697, numBits: 21, time: 2.00668]
[15] - 0010100111111100011101011111111111101001 - [accuracy: 98.6646, numBits: 27, time: 2.12217]
[16] - 0010101111110011010000101010100000010110 - [accuracy: 95.737, numBits: 18, time: 2.23688]
[17] - 0010110000010001110011100011001010101010 - [accuracy: 99.0755, numBits: 17, time: 2.0054]
[18] - 0011000001010000001011101111011110001100 - [accuracy: 98.6646, numBits: 18, time: 1.91229]
[19] - 0011001001100110100101100001001111010100 - [accuracy: 98.4592, numBits: 18, time: 1.97703]
[20] - 0011010101010000011101100101101010110110 - [accuracy: 98.2537, numBits: 20, time: 1.86259]
[21] - 0011100111011011010011111101010101100001 - [accuracy: 97.3806, numBits: 23, time: 2.02837]
[22] - 0100001001010110011011010001010001110100 - [accuracy: 96.9183, numBits: 17, time: 2.09297]
[23] - 0100010100101011010011001100000110000010 - [accuracy: 97.5347, numBits: 15, time: 1.9676]
[24] - 0100011010011001100100001011001011111110 - [accuracy: 98.8701, numBits: 20, time: 1.99726]
[25] - 0100011110000111010010111100010001111000 - [accuracy: 97.1238, numBits: 19, time: 1.96029]
[26] - 0100101010011110111110111101001110100001 - [accuracy: 98.3051, numBits: 23, time: 2.06903]
[27] - 0100101101001111011011011011100000101011 - [accuracy: 97.6374, numBits: 22, time: 2.05354]
[28] - 0101011000000110000110100110001000001111 - [accuracy: 98.3051, numBits: 16, time: 1.70165]
[29] - 0101011010101010100000110011100001110110 - [accuracy: 97.1751, numBits: 19, time: 1.95829]
[30] - 0101110001111010110010110111001111010101 - [accuracy: 97.5347, numBits: 24, time: 2.26621]
[31] - 0101111010001010010100101100100000110001 - [accuracy: 96.0966, numBits: 17, time: 2.28146]
[32] - 0101111110100111110001101000010011100000 - [accuracy: 97.1751, numBits: 20, time: 2.12913]
[33] - 0110000100100101000110001111011110111011 - [accuracy: 98.151, numBits: 21, time: 2.0255]
[34] - 0110001010010000010111110111000011110100 - [accuracy: 97.2265, numBits: 19, time: 1.60177]
[35] - 0110010010010101100000011011000101101101 - [accuracy: 97.1751, numBits: 18, time: 1.98858]
[36] - 0110010101000100110011000001101110010011 - [accuracy: 98.6133, numBits: 18, time: 1.80144]
[37] - 0110010111010001110101111010100100010100 - [accuracy: 96.7129, numBits: 20, time: 2.2326]
[38] - 0110111111111010100000011111110001000110 - [accuracy: 96.4561, numBits: 23, time: 2.22893]
[39] - 0111100000110110100000011001010010011011 - [accuracy: 97.3806, numBits: 18, time: 2.13358]
[40] - 0111101010110101001010101001101110101111 - [accuracy: 98.3051, numBits: 24, time: 2.0532]
[41] - 0111110100110010011011001011011010010000 - [accuracy: 98.0483, numBits: 20, time: 1.90569]
[42] - 0111111011110101110100110101111001110000 - [accuracy: 98.4592, numBits: 25, time: 2.1391]
[43] - 1000010100111111001100011110011000001011 - [accuracy: 98.6646, numBits: 20, time: 2.07448]
[44] - 1000010101100001111000110111010001110101 - [accuracy: 97.0724, numBits: 20, time: 2.07431]
[45] - 1000100011000110011011110111001101000000 - [accuracy: 98.5619, numBits: 18, time: 1.9805]
[46] - 1000100110100100000111101000011101110000 - [accuracy: 98.3564, numBits: 17, time: 1.9883]
