ELITIST GA RUN!!
Max Fitness:   98.0483
Min Fitness:   92.2958
Avg Fitness:   96.2388
[00] - 0000001010000101110101101111100101010111 - [accuracy: 96.0452, numBits: 20, time: 2.40971]
[01] - 0000010001001000011111111100011101111101 - [accuracy: 96.1479, numBits: 21, time: 2.55534]
[02] - 0000011000111011001111101010001010011000 - [accuracy: 96.9697, numBits: 18, time: 2.63513]
[03] - 0000100111001011110010101100010000011110 - [accuracy: 95.5829, numBits: 18, time: 3.05015]
[04] - 0000111100100100000010001001111010101101 - [accuracy: 95.8911, numBits: 17, time: 2.38312]
[05] - 0000111110001111001010111101011010100000 - [accuracy: 97.4319, numBits: 20, time: 2.66041]
[06] - 0000111111000000000011011000110001100111 - [accuracy: 94.2989, numBits: 17, time: 2.7124]
[07] - 0001010111100111011000101011100101110110 - [accuracy: 97.2779, numBits: 22, time: 2.65824]
[08] - 0001011111001001110010110110101101101010 - [accuracy: 96.8156, numBits: 22, time: 2.31715]
[09] - 0001101100101001111111110010110101111111 - [accuracy: 95.5829, numBits: 26, time: 2.96583]
[10] - 0001110101101111000101111111110111110110 - [accuracy: 97.2779, numBits: 27, time: 2.29734]
[11] - 0001111001011100111111110000111011101111 - [accuracy: 96.8156, numBits: 26, time: 2.87572]
[12] - 0001111100100011101011110001110001101111 - [accuracy: 95.7884, numBits: 23, time: 2.96397]
[13] - 0010000010101011010111011111010111101101 - [accuracy: 95.737, numBits: 23, time: 3.15525]
[14] - 0010000011111010101110011010111001001101 - [accuracy: 96.8156, numBits: 21, time: 3.11432]
[15] - 0010011010010111101110000010100010100001 - [accuracy: 96.6102, numBits: 17, time: 2.94665]
[16] - 0010100011110010110000011101000101101010 - [accuracy: 95.2748, numBits: 18, time: 2.94525]
[17] - 0010101001000100010100011011101111001000 - [accuracy: 96.4047, numBits: 17, time: 2.53674]
[18] - 0010111010111010100000010100111100110001 - [accuracy: 96.3534, numBits: 19, time: 2.39301]
[19] - 0011000100111111011001001001011001111110 - [accuracy: 97.8428, numBits: 22, time: 3.23335]
[20] - 0011001001100010001100011001010001010010 - [accuracy: 94.5044, numBits: 15, time: 2.50561]
[21] - 0011011011100100010110100111110010000101 - [accuracy: 95.2748, numBits: 20, time: 2.1746]
[22] - 0011011110111110011110101010100011100110 - [accuracy: 96.6615, numBits: 24, time: 2.64176]
[23] - 0011110011101001001011100100110111111100 - [accuracy: 96.1993, numBits: 23, time: 2.80604]
[24] - 0011111110101010000110101111001111101000 - [accuracy: 96.4047, numBits: 23, time: 3.58022]
[25] - 0100000000011111001000011011110000011010 - [accuracy: 96.6102, numBits: 16, time: 2.79118]
[26] - 0100010111001101001000000001111110011011 - [accuracy: 95.9425, numBits: 19, time: 2.89987]
[27] - 0100011000001111000010101000110011110001 - [accuracy: 96.7643, numBits: 17, time: 2.88475]
[28] - 0100111010111000100010111001010100100101 - [accuracy: 94.7612, numBits: 19, time: 2.70602]
[29] - 0101010111100000001010111100101101100100 - [accuracy: 96.2506, numBits: 19, time: 2.39398]
[30] - 0101010111111001001011100011100100000010 - [accuracy: 95.737, numBits: 19, time: 2.61283]
[31] - 0101100000001111010100111011011101001100 - [accuracy: 97.4833, numBits: 20, time: 3.13812]
[32] - 0110001111101101001010111100111100010010 - [accuracy: 97.1238, numBits: 22, time: 2.4777]
[33] - 0110010101100001111111010101101011000110 - [accuracy: 97.0211, numBits: 22, time: 2.64912]
[34] - 0110011011000111111000110010000110101100 - [accuracy: 96.2506, numBits: 20, time: 3.15972]
[35] - 0110011101001110001111001110101101100111 - [accuracy: 97.2779, numBits: 24, time: 3.04627]
[36] - 0110011110001001000111001001101101010100 - [accuracy: 97.2265, numBits: 19, time: 2.49592]
[37] - 0110101001100100110101000000000001010001 - [accuracy: 96.0966, numBits: 14, time: 2.55231]
[38] - 0110101001110100001011111010011101101111 - [accuracy: 96.5588, numBits: 24, time: 2.79185]
[39] - 0110111110101011001101010111100010011000 - [accuracy: 95.6343, numBits: 22, time: 3.15666]
[40] - 0111010001110011100110110111110001100010 - [accuracy: 96.2506, numBits: 22, time: 2.5826]
[41] - 0111010111001101010010100001000110001100 - [accuracy: 95.8911, numBits: 18, time: 3.0414]
[42] - 0111011101001000111001011101110010110000 - [accuracy: 94.453, numBits: 21, time: 2.68046]
[43] - 0111101001000111010101101100000010011000 - [accuracy: 96.9183, numBits: 18, time: 2.555]
[44] - 0111101110000010111110110101010110001000 - [accuracy: 94.6584, numBits: 21, time: 3.19585]
[45] - 0111110000011011101101100000111000101010 - [accuracy: 96.6615, numBits: 20, time: 2.49589]
[46] - 0111111000110110011100101110001011010101 - [accuracy: 97.5347, numBits: 23, time: 2.41598]
[47] - 0111111111010011001110000011101110111100 - [accuracy: 96.9183, numBits: 25, time: 2.82666]
[48] - 1000000111101111111000011101101111100101 - [accuracy: 98.0483, numBits: 24, time: 2.39445]
[49] - 1000100001010001011101001110010101001001 - [accuracy: 95.1721, numBits: 17, time: 2.50245]
[50] - 1000111000100011110010110110000000011001 - [accuracy: 95.2748, numBits: 17, time: 3.37939]
[51] - 1000111100001000010011111101100100100000 - [accuracy: 92.2958, numBits: 17, time: 3.58671]
[52] - 1001000011011111001010010101000110000101 - [accuracy: 96.1993, numBits: 18, time: 2.91564]
[53] - 1001000111000101010011101001100110011011 - [accuracy: 95.7884, numBits: 20, time: 3.03011]
[54] - 1001001000101010110101101001010101111110 - [accuracy: 95.2748, numBits: 21, time: 3.70637]
[55] - 1001010100010110111001001100101100101001 - [accuracy: 96.9183, numBits: 19, time: 2.67217]
[56] - 1001010100101001010001000100110010000101 - [accuracy: 94.9666, numBits: 15, time: 2.71223]
[57] - 1001011010001001011100011100001000011101 - [accuracy: 96.867, numBits: 18, time: 2.20896]
[58] - 1001111010000000101110011110100000111110 - [accuracy: 94.7612, numBits: 20, time: 2.74637]
[59] - 1010001111011001101000100110100110000110 - [accuracy: 95.4289, numBits: 19, time: 2.60674]
[60] - 1010011110110011110100101000000111000110 - [accuracy: 95.8911, numBits: 20, time: 3.17626]
