ELITIST GA RUN!!
Max Fitness:   96.5074
Min Fitness:   87.6733
Avg Fitness:   94.6708
[00] - 0000001100101100000011011111010110110010 - [accuracy: 94.1962, numBits: 18, time: 11.4435]
[01] - 0000011110011001111000011110001011010010 - [accuracy: 96.0966, numBits: 19, time: 12.7239]
[02] - 0000011110101000100100100100011111101101 - [accuracy: 94.2476, numBits: 19, time: 17.9805]
[03] - 0000101110001010011110011010110100111111 - [accuracy: 92.9122, numBits: 22, time: 13.5526]
[04] - 0000110001101101110110001000001101101011 - [accuracy: 96.3534, numBits: 19, time: 11.7953]
[05] - 0001010000101000100010101101110010011110 - [accuracy: 93.7853, numBits: 17, time: 16.3877]
[06] - 0001100100011101001111111010011011000010 - [accuracy: 96.2506, numBits: 20, time: 10.6226]
[07] - 0001110111100111010111011010101101101111 - [accuracy: 95.8398, numBits: 26, time: 11.6747]
[08] - 0001111011111011001100000101100110101010 - [accuracy: 94.5557, numBits: 21, time: 13.5068]
[09] - 0010000010101101000001110010011000001010 - [accuracy: 95.737, numBits: 14, time: 12.204]
[10] - 0010001100001000100110001010111010001011 - [accuracy: 92.604, numBits: 16, time: 18.7268]
[11] - 0010010000101101100100100000100101001100 - [accuracy: 94.5557, numBits: 14, time: 14.5366]
[12] - 0010011111000101010101010111110000001110 - [accuracy: 95.1721, numBits: 20, time: 12.6393]
[13] - 0010101111111010100100000111110000000010 - [accuracy: 93.2717, numBits: 18, time: 16.7666]
[14] - 0010110001011101101110001111110100010110 - [accuracy: 95.6857, numBits: 22, time: 10.9458]
[15] - 0010110100000000100011100101101010100000 - [accuracy: 91.1145, numBits: 14, time: 21.7222]
[16] - 0011000110001001101011010100001011111011 - [accuracy: 95.9938, numBits: 20, time: 11.8883]
[17] - 0011001010111000111111101100111100111110 - [accuracy: 95.2748, numBits: 25, time: 12.1954]
[18] - 0011001011010010110000101000001101011001 - [accuracy: 92.3986, numBits: 17, time: 14.1607]
[19] - 0011001110110010100001111101010110000010 - [accuracy: 92.3472, numBits: 19, time: 15.3016]
[20] - 0011100001100001100110110001000011010010 - [accuracy: 94.7612, numBits: 16, time: 12.8458]
[21] - 0011100011111100000100101110101100011101 - [accuracy: 94.9153, numBits: 21, time: 11.7227]
[22] - 0011101101101100110110101001010000011101 - [accuracy: 93.169, numBits: 21, time: 12.0335]
[23] - 0011101111100101100011101111110000010110 - [accuracy: 95.6857, numBits: 23, time: 10.536]
[24] - 0011110011000100110111000110000111001010 - [accuracy: 94.6071, numBits: 19, time: 13.38]
[25] - 0100001000001010111011011101101111010000 - [accuracy: 95.1721, numBits: 19, time: 16.7972]
[26] - 0100001010110101110001001111101001100111 - [accuracy: 95.6343, numBits: 21, time: 12.7914]
[27] - 0100001100101001010000101000101110000111 - [accuracy: 95.6343, numBits: 16, time: 18.4319]
[28] - 0100010100010111101111111010011110000011 - [accuracy: 96.3534, numBits: 22, time: 11.6963]
[29] - 0100100000001011011100101001100110010001 - [accuracy: 94.8125, numBits: 16, time: 14.3713]
[30] - 0100100010001100110110111000100001101101 - [accuracy: 94.8639, numBits: 18, time: 14.0636]
[31] - 0101000101101101111100100100001010000000 - [accuracy: 96.1479, numBits: 16, time: 12.802]
[32] - 0101001011101111110100101100100010100100 - [accuracy: 95.018, numBits: 20, time: 12.5207]
[33] - 0101001110001000110011100000000000000010 - [accuracy: 92.6554, numBits: 12, time: 19.8605]
[34] - 0101011111111111001111001111011101111110 - [accuracy: 96.1993, numBits: 30, time: 10.9193]
[35] - 0101100011011011101001101101111001110101 - [accuracy: 96.0452, numBits: 24, time: 12.1754]
[36] - 0101111101000110101000110111011001101111 - [accuracy: 95.5829, numBits: 24, time: 14.0702]
[37] - 0110000111001001110101011111101001101101 - [accuracy: 95.6857, numBits: 23, time: 13.7426]
[38] - 0110001010101101010101101001100101110111 - [accuracy: 95.4289, numBits: 22, time: 10.3264]
[39] - 0110001101010100100101111100001100110101 - [accuracy: 95.8911, numBits: 20, time: 11.9385]
[40] - 0110011000101011100101010100011001011011 - [accuracy: 95.6343, numBits: 20, time: 12.908]
[41] - 0110110001000101010001011010011110110110 - [accuracy: 96.5074, numBits: 20, time: 11.0212]
[42] - 0111000000111010110111011100100000100000 - [accuracy: 88.8033, numBits: 17, time: 15.5715]
[43] - 0111001101110111111110101111000001001110 - [accuracy: 95.737, numBits: 25, time: 12.0605]
[44] - 0111010001110000000110011111110010111001 - [accuracy: 92.8608, numBits: 21, time: 15.48]
[45] - 0111010011110001001001000101101010100101 - [accuracy: 93.6312, numBits: 19, time: 16.0468]
[46] - 0111100110001001000100101110100000010010 - [accuracy: 95.1721, numBits: 16, time: 12.2147]
[47] - 0111101001000001010100101010100100110001 - [accuracy: 94.9666, numBits: 17, time: 14.4599]
[48] - 0111101010110111101100111000110100001000 - [accuracy: 95.2234, numBits: 21, time: 12.1788]
[49] - 0111101110111110011110100111101001001110 - [accuracy: 95.4802, numBits: 26, time: 12.174]
[50] - 0111101111110010100001011011011011000101 - [accuracy: 95.2234, numBits: 23, time: 17.1701]
[51] - 0111110011011101110001110010111110111011 - [accuracy: 96.1479, numBits: 27, time: 11.5591]
[52] - 0111110110100011010111010100011110001001 - [accuracy: 95.5829, numBits: 22, time: 12.8506]
[53] - 1000100100101010111100001001100101001000 - [accuracy: 87.6733, numBits: 16, time: 25.8271]
[54] - 1000110000110000001111101100110100110001 - [accuracy: 91.4741, numBits: 18, time: 16.6286]
[55] - 1000111100000101101110000110011001001010 - [accuracy: 96.2506, numBits: 18, time: 12.0684]
[56] - 1001100000010100101000100100011001010001 - [accuracy: 93.7339, numBits: 14, time: 14.9805]
[57] - 1001111100101101011101111001010001011101 - [accuracy: 95.6857, numBits: 24, time: 10.6662]
[58] - 1010000011111011001110100110000011000000 - [accuracy: 94.9153, numBits: 17, time: 14.3046]
[59] - 1010001100010000111110010111001101111101 - [accuracy: 95.2748, numBits: 22, time: 18.2919]
[60] - 1010011011110001010000010011100000110011 - [accuracy: 94.2989, numBits: 18, time: 14.2854]
[61] - 1010111010110111101111011110001010101111 - [accuracy: 95.9938, numBits: 27, time: 10.8816]
[62] - 1011010110101101101111110111010101000100 - [accuracy: 95.6343, numBits: 24, time: 12.1688]
[63] - 1011011111001111000101011101100100110001 - [accuracy: 95.3261, numBits: 23, time: 10.4549]
[64] - 1011100001011011101000100001110000000001 - [accuracy: 91.4227, numBits: 16, time: 18.4251]
[65] - 1011101100011100011001101101111001001111 - [accuracy: 95.4802, numBits: 24, time: 14.0645]
[66] - 1011101101010000111111011010101000011011 - [accuracy: 95.2748, numBits: 23, time: 14.5089]
[67] - 1011111010101110110010111111011110110111 - [accuracy: 95.7884, numBits: 29, time: 10.8329]
[68] - 1011111011100011100110011000110111010110 - [accuracy: 95.1207, numBits: 24, time: 11.6171]
[69] - 1100010001100001001011101011011111011111 - [accuracy: 95.9425, numBits: 23, time: 12.9604]
[70] - 1100010010010111110010100010101110101000 - [accuracy: 95.9425, numBits: 19, time: 12.6631]
[71] - 1100100101101010010101010010010111101111 - [accuracy: 91.0118, numBits: 22, time: 18.9053]
[72] - 1100110010011000110110100100101111110110 - [accuracy: 95.3261, numBits: 22, time: 14.0983]
[73] - 1100110011011011110111010011101100011001 - [accuracy: 95.8911, numBits: 24, time: 11.9079]
[74] - 1100110111101101110111100010110010100011 - [accuracy: 95.1721, numBits: 24, time: 11.876]
[75] - 1101000101101110101010100100001101100100 - [accuracy: 96.2506, numBits: 19, time: 14.259]
[76] - 1101011011000011010010101100100111001100 - [accuracy: 94.5044, numBits: 20, time: 13.1133]
[77] - 1101100100110000101111000011011001000010 - [accuracy: 92.7067, numBits: 18, time: 18.9743]
[78] - 1101100101100010111101011110011110000101 - [accuracy: 92.7581, numBits: 23, time: 15.7995]
[79] - 1101101110010110001010111111100100011000 - [accuracy: 93.4258, numBits: 22, time: 11.6227]
[80] - 1101110001101011101111001010001101011100 - [accuracy: 95.6343, numBits: 23, time: 12.0382]
[81] - 1101111101000111100111110111011001110000 - [accuracy: 96.3534, numBits: 25, time: 10.1933]
[82] - 1110000001101011110010111011001100010011 - [accuracy: 95.5316, numBits: 21, time: 12.3127]
[83] - 1110000101010011100000110100101000101110 - [accuracy: 95.8398, numBits: 18, time: 15.7018]
[84] - 1110001000010101111101000011110011111001 - [accuracy: 95.3261, numBits: 22, time: 12.6617]
[85] - 1110010000010100111000100111001100110010 - [accuracy: 94.3503, numBits: 18, time: 14.1019]
[86] - 1110100001101110011001010010011000110001 - [accuracy: 94.0935, numBits: 19, time: 13.8219]
[87] - 1110100111001101000110111010001101110101 - [accuracy: 96.2506, numBits: 23, time: 9.10788]
[88] - 1110101000110011101011011000001000001001 - [accuracy: 95.3775, numBits: 18, time: 14.2955]
[89] - 1110110101100001100101001101010110100000 - [accuracy: 93.6826, numBits: 19, time: 15.6299]
[90] - 1110111000011011100001111010011001010010 - [accuracy: 95.6857, numBits: 21, time: 12.827]
[91] - 1110111011011101101101001110010011000010 - [accuracy: 94.6071, numBits: 23, time: 12.1046]
[92] - 1111000001011010011101000010000001110111 - [accuracy: 88.187, numBits: 19, time: 17.0841]
[93] - 1111000100100101010011111100110111000110 - [accuracy: 95.6343, numBits: 22, time: 12.5834]
[94] - 1111001000100111110010011001100001010111 - [accuracy: 95.8398, numBits: 21, time: 11.7588]
[95] - 1111010111101110010111001100000100101111 - [accuracy: 94.5044, numBits: 24, time: 13.0186]
[96] - 1111101000101011010100101011110011000011 - [accuracy: 94.2476, numBits: 22, time: 16.8958]
[97] - 1111101001100101101111001011111101001101 - [accuracy: 96.2506, numBits: 26, time: 9.82228]
[98] - 1111110011000010000100101010000010100001 - [accuracy: 93.2203, numBits: 16, time: 17.2976]
[99] - 1111111100001001100011011111110111010101 - [accuracy: 94.5557, numBits: 26, time: 12.633]
iteration (Normal): 0
Max Fitness:   96.6102
Min Fitness:   95.4802
Avg Fitness:   95.9194
[00] - 0000011110011111110100101100100010100011 - [accuracy: 96.0966, numBits: 19, time: 12.7239]
[01] - 0000011110011111110100101101101111010000 - [accuracy: 96.4047, numBits: 22, time: 10.7982]
[02] - 0001100000010100101000100100011001010001 - [accuracy: 96.3534, numBits: 19, time: 11.7953]
[03] - 0001100100011101001111111010011011000010 - [accuracy: 96.2506, numBits: 20, time: 10.6226]
[04] - 0001110001101011111110101111001101110101 - [accuracy: 96.5074, numBits: 20, time: 11.0212]
[05] - 0001111010101101010101101001100101110111 - [accuracy: 95.8398, numBits: 26, time: 11.6747]
[06] - 0010000010101101000001110010011000001010 - [accuracy: 95.737, numBits: 14, time: 12.204]
[07] - 0010110001011101101110001100110111000110 - [accuracy: 95.6857, numBits: 22, time: 10.9458]
[08] - 0011000110001001101011010100001011111011 - [accuracy: 95.9938, numBits: 20, time: 11.8883]
[09] - 0011000110001001101011010100001011111011 - [accuracy: 95.9938, numBits: 20, time: 10.9717]
