Max Fitness:   97.3806
Min Fitness:   74.4222
Avg Fitness:   93.2902
[00] - 0001011101110000100011011010100110111011 - [accuracy: 93.3744, numBits: 21, time: 5.84932]
[01] - 0010011001011110110111101000110011001101 - [accuracy: 95.3261, numBits: 22, time: 5.7213]
[02] - 1111011000111000101110110010000110101000 - [accuracy: 86.2866, numBits: 20, time: 5.61215]
[03] - 1001000000100011011010010110010100100101 - [accuracy: 91.3713, numBits: 16, time: 4.25529]
[04] - 0100000010110100100101101000010010110000 - [accuracy: 90.8577, numBits: 14, time: 3.98243]
[05] - 0100101001010010011111000001001001010101 - [accuracy: 95.2748, numBits: 17, time: 4.19603]
[06] - 1100110010111000001001011111011010001101 - [accuracy: 96.3534, numBits: 21, time: 5.17459]
[07] - 1000001010001111000110100111011110001110 - [accuracy: 96.9183, numBits: 20, time: 5.17047]
[08] - 0000111010110000010111010111101100001101 - [accuracy: 93.7339, numBits: 20, time: 5.48797]
[09] - 1011001110010100101011001011111110000000 - [accuracy: 95.3261, numBits: 20, time: 5.28447]
[10] - 0001011111010010100100001101010010111111 - [accuracy: 94.4016, numBits: 21, time: 5.69959]
[11] - 0101100011011010100111010010001010010001 - [accuracy: 95.6857, numBits: 18, time: 5.41023]
[12] - 1011011000001111011011111100000100111100 - [accuracy: 80.4314, numBits: 22, time: 5.73538]
[13] - 1100000110010101110111101001101010101001 - [accuracy: 96.7129, numBits: 21, time: 5.50937]
[14] - 1001111011011111100100001010011100000011 - [accuracy: 96.7643, numBits: 21, time: 6.36877]
[15] - 1101000001011001011011000100110110001010 - [accuracy: 93.6826, numBits: 18, time: 3.89322]
[16] - 0110101111011101001001100000110111101001 - [accuracy: 95.5316, numBits: 22, time: 5.71581]
[17] - 0011101000010011001100010110000101101010 - [accuracy: 93.2717, numBits: 17, time: 5.24906]
[18] - 1100101001111101101001111111110000000001 - [accuracy: 89.0601, numBits: 22, time: 5.79422]
[19] - 1101111100100100001011010000010000100110 - [accuracy: 92.7067, numBits: 17, time: 4.75501]
[20] - 1110110011001001110000011011110111100010 - [accuracy: 95.4802, numBits: 22, time: 5.89322]
[21] - 0110011100011001101111110111110101111100 - [accuracy: 77.247, numBits: 26, time: 7.10759]
[22] - 0111111100111000100100100111101111111011 - [accuracy: 96.0452, numBits: 26, time: 11.7059]
[23] - 0000111101000010111001000101010101001110 - [accuracy: 93.7853, numBits: 18, time: 3.19029]
[24] - 0000001111010000000011000001001000101100 - [accuracy: 88.4438, numBits: 12, time: 3.68027]
[25] - 0000001111100011101101000011101110011100 - [accuracy: 95.1721, numBits: 20, time: 4.29425]
[26] - 1010100001010101100000010011000101000011 - [accuracy: 96.1479, numBits: 15, time: 4.31349]
[27] - 0101000000010100110001000011100101000010 - [accuracy: 95.5316, numBits: 13, time: 3.98154]
[28] - 1111100101100111100111010100011111101110 - [accuracy: 96.9697, numBits: 26, time: 10.2601]
[29] - 0101010001110011110011100010010101001110 - [accuracy: 93.8367, numBits: 20, time: 4.47198]
[30] - 0001110110100011101110010101011001111010 - [accuracy: 95.7884, numBits: 22, time: 3.5394]
[31] - 1011100000001101001101101100011110010101 - [accuracy: 96.5074, numBits: 20, time: 2.74366]
[32] - 0001001010010101101000111010111000100111 - [accuracy: 97.3806, numBits: 19, time: 5.14024]
[33] - 0110111111100001011001011010100101010010 - [accuracy: 91.885, numBits: 21, time: 5.50346]
[34] - 1000101001010100010100100000011110101101 - [accuracy: 97.1238, numBits: 17, time: 4.48933]
[35] - 1100110101111110100110111100110011000001 - [accuracy: 94.8125, numBits: 23, time: 9.29235]
[36] - 0100100001001001110010000111110011001011 - [accuracy: 92.6554, numBits: 18, time: 4.26019]
[37] - 1100010100011101010011000011001100001100 - [accuracy: 92.5013, numBits: 17, time: 4.77968]
[38] - 1100000111110011111101101011100010110100 - [accuracy: 90.1387, numBits: 23, time: 5.61612]
[39] - 0011110011110100000100010111101101010100 - [accuracy: 91.1145, numBits: 20, time: 5.85282]
[40] - 1010110011111011001100111010110100110111 - [accuracy: 92.3472, numBits: 25, time: 9.74038]
[41] - 1110010011000001000001100000000110001011 - [accuracy: 94.3503, numBits: 14, time: 4.03803]
[42] - 0100100001011011111010010011100000001100 - [accuracy: 74.4222, numBits: 17, time: 1.97348]
[43] - 0111111101101101011001010110000110101000 - [accuracy: 88.1356, numBits: 22, time: 3.16071]
[44] - 0101101000010110001100000010111100101001 - [accuracy: 96.302, numBits: 17, time: 2.40901]
[45] - 0111011111001110100010100101111000111101 - [accuracy: 93.169, numBits: 24, time: 5.44354]
[46] - 0001010100010101110001010000111100100110 - [accuracy: 96.1479, numBits: 17, time: 4.47082]
[47] - 0101100010100010000110100001000111111101 - [accuracy: 94.3503, numBits: 18, time: 4.71609]
[48] - 0110110100110001101000101000000001101001 - [accuracy: 92.3986, numBits: 16, time: 4.32785]
[49] - 1110010101001110011001111111100010101101 - [accuracy: 94.2989, numBits: 24, time: 5.57262]
[50] - 0000011010000010111110110010111000000100 - [accuracy: 90.19, numBits: 16, time: 4.40999]
[51] - 0101001111010000101101101000010110011010 - [accuracy: 93.2717, numBits: 19, time: 4.80591]
[52] - 0110001100001001111011100001110110010011 - [accuracy: 93.888, numBits: 20, time: 4.47619]
[53] - 1001010000000000000000011110101001010111 - [accuracy: 96.6615, numBits: 14, time: 4.48528]
[54] - 1111100011110111001101000111010000000011 - [accuracy: 94.6071, numBits: 21, time: 5.23684]
[55] - 0010101001010101010011011000100101000001 - [accuracy: 92.5013, numBits: 16, time: 4.75907]
[56] - 1001100001010110001101101011000101101110 - [accuracy: 94.5557, numBits: 20, time: 5.53683]
[57] - 1010110110111101110111100010000100101001 - [accuracy: 88.7519, numBits: 22, time: 7.415]
[58] - 0000011110111110110101110000101000011000 - [accuracy: 88.9574, numBits: 19, time: 5.54523]
[59] - 0000110111101011111000011100111001001111 - [accuracy: 96.6615, numBits: 23, time: 6.45313]
[60] - 0010111000011100011001010010111001010011 - [accuracy: 97.2265, numBits: 19, time: 5.51423]
[61] - 1000110001010001100010111001100000010110 - [accuracy: 88.3924, numBits: 16, time: 4.78282]
[62] - 1000011110010001110011010110011111101101 - [accuracy: 96.9183, numBits: 23, time: 6.33196]
[63] - 1101010111000001101000100010111111010101 - [accuracy: 96.7129, numBits: 21, time: 5.59344]
[64] - 0001110100100001111110000011001010011101 - [accuracy: 96.4561, numBits: 19, time: 5.30883]
[65] - 1000100001010001100111010101011111110111 - [accuracy: 96.302, numBits: 22, time: 2.45968]
[66] - 1110011100110000110111111000000011101001 - [accuracy: 92.8095, numBits: 21, time: 2.88461]
[67] - 1111101000011101010110111011111110001011 - [accuracy: 96.9697, numBits: 26, time: 9.58989]
[68] - 0100110100110000100111010111111011101100 - [accuracy: 95.1207, numBits: 22, time: 6.48214]
[69] - 1100011111110101100011101011111111111110 - [accuracy: 97.0211, numBits: 29, time: 14.6319]
[70] - 0001001101001011011011101100010101111010 - [accuracy: 93.2717, numBits: 21, time: 5.01617]
[71] - 0110111001010011111010011111100101100100 - [accuracy: 80.0719, numBits: 23, time: 5.74934]
[72] - 0001110010110100011000100100101111101111 - [accuracy: 96.6102, numBits: 21, time: 6.60559]
[73] - 1000011011111011000101101011001011000010 - [accuracy: 97.0724, numBits: 20, time: 5.90786]
[74] - 1010110110100101111000000101101000111111 - [accuracy: 96.7643, numBits: 22, time: 6.48426]
[75] - 0010110110100010111110001111100111011001 - [accuracy: 94.8639, numBits: 23, time: 7.76838]
[76] - 0011000101000101001011001011100001100101 - [accuracy: 94.8639, numBits: 17, time: 4.60152]
[77] - 1111001111101010011110010100110111010011 - [accuracy: 94.7098, numBits: 25, time: 4.44623]
[78] - 1110101111111110101111000101010000011011 - [accuracy: 92.9122, numBits: 25, time: 4.34626]
[79] - 0100100001010001000001000101000011001111 - [accuracy: 92.5526, numBits: 14, time: 3.70036]
[80] - 0111010101101011110111011111010110000110 - [accuracy: 92.2445, numBits: 25, time: 7.92181]
[81] - 1100111110111101000110001101001110100111 - [accuracy: 97.2779, numBits: 24, time: 7.87535]
[82] - 1011000000001010100000110100010001100110 - [accuracy: 92.8608, numBits: 14, time: 4.70572]
[83] - 1110001001011110111111111101000001100000 - [accuracy: 84.9512, numBits: 22, time: 5.40107]
[84] - 0000010100110111001000101010110100011100 - [accuracy: 82.5886, numBits: 17, time: 4.34087]
[85] - 1111011011101001001000101011101111000010 - [accuracy: 97.2265, numBits: 22, time: 6.14277]
[86] - 1101011111111101110010111000000011010100 - [accuracy: 91.32, numBits: 23, time: 8.00539]
[87] - 0110011010010011110011010001011011011010 - [accuracy: 96.7643, numBits: 21, time: 5.44277]
[88] - 0010100001000111000010100001001111100010 - [accuracy: 97.0211, numBits: 15, time: 4.02901]
[89] - 1100100100011101100000101100110111010000 - [accuracy: 94.7098, numBits: 18, time: 2.78604]
[90] - 1101000011001101101100000110001111000100 - [accuracy: 95.8398, numBits: 18, time: 5.06221]
[91] - 1001010100001101100101111111101000111011 - [accuracy: 96.7643, numBits: 23, time: 9.24239]
[92] - 1000011110111010110110100110011110111111 - [accuracy: 96.2506, numBits: 26, time: 10.4919]
[93] - 1000001010100101101111011011100001111111 - [accuracy: 95.737, numBits: 23, time: 6.46896]
[94] - 1110001010110000011100011001000110001100 - [accuracy: 89.4196, numBits: 17, time: 3.91772]
[95] - 0010000010000111001000000010100100010100 - [accuracy: 82.9995, numBits: 11, time: 3.82729]
[96] - 1101011110100111001111111110110010100010 - [accuracy: 94.9153, numBits: 25, time: 8.82429]
[97] - 0011000011001001011111100001111001111100 - [accuracy: 91.9363, numBits: 21, time: 5.08982]
[98] - 1010011000100111110110101000001110000111 - [accuracy: 96.7129, numBits: 20, time: 6.417]
[99] - 0111000001101011110001010010001011100000 - [accuracy: 96.2506, numBits: 17, time: 5.04965]
iteration (Normal): 0
Max Fitness:   97.5347
Min Fitness:   76.7334
Avg Fitness:   94.1284
[00] - 1101011110100111001111111110110010100010 - [accuracy: 94.9153, numBits: 25, time: 7.69055]
[01] - 1001010000000111001101000111010000000011 - [accuracy: 95.018, numBits: 15, time: 4.64795]
[02] - 1000010011111011001001100000110111101001 - [accuracy: 95.0693, numBits: 20, time: 5.46139]
[03] - 1010010010111111001011001011111110000000 - [accuracy: 95.0693, numBits: 21, time: 5.97956]
[04] - 0100110100110111100111010100011111101110 - [accuracy: 95.1207, numBits: 22, time: 6.48214]
[05] - 0000001111100011101101000011101110011100 - [accuracy: 95.1721, numBits: 20, time: 4.29425]
[06] - 1111100101100000100111010111111011101100 - [accuracy: 95.2234, numBits: 24, time: 4.12037]
[07] - 0101101000001101100101111111101100000010 - [accuracy: 95.2234, numBits: 20, time: 4.9835]
[08] - 0000101001010010011111000001001001010101 - [accuracy: 95.2748, numBits: 16, time: 3.20037]
[09] - 0111101000010011001101101110001111000100 - [accuracy: 95.2748, numBits: 17, time: 4.19603]
[10] - 1011100000001101001100010010000101101010 - [accuracy: 95.2748, numBits: 16, time: 3.16579]
[11] - 0111000110100101111000000101101000110101 - [accuracy: 95.3261, numBits: 19, time: 4.27182]
[12] - 1011001110010100101011001011111110000000 - [accuracy: 95.3261, numBits: 20, time: 5.28447]
[13] - 0010011000011110110111101000110011001101 - [accuracy: 95.3261, numBits: 21, time: 3.28509]
[14] - 0010011001011110110111101000110011001101 - [accuracy: 95.3261, numBits: 22, time: 5.7213]
[15] - 1000001010001111000110100111011110001100 - [accuracy: 95.4802, numBits: 19, time: 5.34658]
[16] - 0101101000110110100100100111100111011011 - [accuracy: 95.4802, numBits: 22, time: 7.27701]
[17] - 1110110011000000101101101000010110011010 - [accuracy: 95.4802, numBits: 22, time: 5.89322]
[18] - 0101000000010100110001000011100101000010 - [accuracy: 95.5316, numBits: 13, time: 3.98154]
[19] - 0101000000010100110001000011100101111011 - [accuracy: 95.5316, numBits: 17, time: 3.39624]
[20] - 0110101111011101001100111010110100110111 - [accuracy: 95.5316, numBits: 22, time: 5.71581]
[21] - 1100111110100010000101101100011110010101 - [accuracy: 95.5829, numBits: 21, time: 4.94058]
[22] - 0000100011001101101101000011101110011100 - [accuracy: 95.5829, numBits: 19, time: 5.40104]
[23] - 0101100011011010100111010010001010010001 - [accuracy: 95.6857, numBits: 18, time: 5.41023]
[24] - 1000001011110011111101101011100010110100 - [accuracy: 95.737, numBits: 23, time: 6.46896]
[25] - 0101001110011001110000011011110111100010 - [accuracy: 95.737, numBits: 21, time: 5.93151]
[26] - 1010100001010110111110001111100111011001 - [accuracy: 95.737, numBits: 23, time: 6.53871]
[27] - 0010101001010101010011011000000011101001 - [accuracy: 95.737, numBits: 17, time: 1.75026]
[28] - 0001110110100011100011101011111111111110 - [accuracy: 95.7884, numBits: 22, time: 3.5394]
[29] - 0010111000011101001110100001000111111101 - [accuracy: 95.8398, numBits: 21, time: 5.6475]
[30] - 0010100001000111000010100001111100101001 - [accuracy: 95.8398, numBits: 16, time: 4.80751]
[31] - 1101011010110000010111010111101100001101 - [accuracy: 95.8398, numBits: 18, time: 5.06221]
[32] - 1001010101000001101000100010111001001111 - [accuracy: 95.8398, numBits: 18, time: 4.63302]
[33] - 1101001111110101101110010101011001111010 - [accuracy: 95.8398, numBits: 25, time: 5.76848]
[34] - 1101011110100111001111111101001110100111 - [accuracy: 95.9425, numBits: 27, time: 6.3315]
[35] - 0000011110100011101110010101011001111010 - [accuracy: 95.9425, numBits: 21, time: 5.54416]
[36] - 0101010100010100110001010000111100100110 - [accuracy: 95.9425, numBits: 17, time: 4.46811]
[37] - 1100000110100101101111011011100001111111 - [accuracy: 95.9938, numBits: 24, time: 7.38492]
[38] - 0001001010010101101110010100110111010011 - [accuracy: 95.9938, numBits: 20, time: 3.90091]
[39] - 1111011011101001001100101011101111100100 - [accuracy: 96.0452, numBits: 24, time: 6.43859]
[40] - 0001010110000011101110010101011001111010 - [accuracy: 96.0452, numBits: 20, time: 5.40565]
[41] - 0111111100111000001100000010111100111110 - [accuracy: 96.0452, numBits: 26, time: 11.7059]
[42] - 0000001111100011101100000110001111000100 - [accuracy: 96.0966, numBits: 17, time: 4.50384]
[43] - 1000111101000010110110100110011110111111 - [accuracy: 96.0966, numBits: 24, time: 5.33781]
[44] - 1010100001010101100000010011000101000011 - [accuracy: 96.1479, numBits: 15, time: 4.31349]
[45] - 0001100011011010100111010010001010010001 - [accuracy: 96.1479, numBits: 17, time: 4.47082]
[46] - 0111000001101011110001010010001011100000 - [accuracy: 96.2506, numBits: 17, time: 5.04965]
[47] - 1000011001010100010100100000011110101101 - [accuracy: 96.2506, numBits: 26, time: 10.4919]
[48] - 0101101000010110001100001010011100000011 - [accuracy: 96.302, numBits: 17, time: 2.40901]
[49] - 0110111111100001011001011010111010001101 - [accuracy: 96.302, numBits: 23, time: 5.76725]
[50] - 1000100001010001100111010101011111010101 - [accuracy: 96.302, numBits: 22, time: 2.45968]
[51] - 1100110010111000001001011111000101010010 - [accuracy: 96.3534, numBits: 21, time: 5.17459]
[52] - 1101010111000001101000100010111111110111 - [accuracy: 96.3534, numBits: 23, time: 5.9951]
[53] - 1101011010110010010100000010001111100010 - [accuracy: 96.4561, numBits: 18, time: 5.53821]
[54] - 0001110100100001111110000011001010011101 - [accuracy: 96.4561, numBits: 19, time: 5.30883]
[55] - 1110010011000010011000111010111000100111 - [accuracy: 96.5074, numBits: 20, time: 5.19248]
[56] - 1011100000001101001101101110001111000100 - [accuracy: 96.5074, numBits: 20, time: 2.74366]
[57] - 0001110110110101110111101001101010101001 - [accuracy: 96.5074, numBits: 23, time: 7.31635]
[58] - 0001110010110100011000100100101111101111 - [accuracy: 96.6102, numBits: 21, time: 6.60559]
[59] - 1010100000111011100101101011001011000010 - [accuracy: 96.6102, numBits: 19, time: 6.48533]
[60] - 0001110110100011101110010101011001111111 - [accuracy: 96.6615, numBits: 24, time: 7.48921]
[61] - 1001010000000000000000011110101001010111 - [accuracy: 96.6615, numBits: 14, time: 4.48528]
[62] - 0000110111101011111000011100111001001111 - [accuracy: 96.6615, numBits: 23, time: 6.45313]
[63] - 1011001110010100101000101010111001111010 - [accuracy: 96.7129, numBits: 21, time: 6.29941]
[64] - 1100011110010001110011010010111100111110 - [accuracy: 96.7129, numBits: 21, time: 5.59344]
[65] - 1001011011011111100100001010011100000011 - [accuracy: 96.7129, numBits: 20, time: 5.75344]
[66] - 1010010010111101000110001101001110100111 - [accuracy: 96.7129, numBits: 20, time: 6.417]
[67] - 1100100011011010100111010010001010010001 - [accuracy: 96.7129, numBits: 21, time: 5.50937]
[68] - 0101101000100111110110101000001110000111 - [accuracy: 96.7643, numBits: 20, time: 5.69476]
[69] - 0110011010010011110011010000011111101110 - [accuracy: 96.7643, numBits: 21, time: 5.44277]
[70] - 1001111011011111100100001010011100000011 - [accuracy: 96.7643, numBits: 21, time: 6.36877]
[71] - 1010110001101011110001010010001011100000 - [accuracy: 96.7643, numBits: 22, time: 6.48426]
[72] - 1001010100001101100101111111101000111011 - [accuracy: 96.7643, numBits: 23, time: 9.24239]
[73] - 1101000011001101101100000100011110010101 - [accuracy: 96.7643, numBits: 19, time: 3.6099]
[74] - 0101001110010001110011010110011111101001 - [accuracy: 96.8156, numBits: 22, time: 6.42311]
[75] - 1111101000011101010110111011111100001011 - [accuracy: 96.8156, numBits: 25, time: 8.31311]
[76] - 1111100101100101010110111011111110001011 - [accuracy: 96.8156, numBits: 26, time: 10.0375]
[77] - 1100011111110101100011101011111111101001 - [accuracy: 96.8156, numBits: 27, time: 10.2438]
[78] - 1010110110100101111000000110011111101101 - [accuracy: 96.867, numBits: 23, time: 6.15094]
[79] - 1000011110010001110011010110011111101101 - [accuracy: 96.9183, numBits: 23, time: 6.33196]
[80] - 1101001111110101100011101011111111111110 - [accuracy: 96.9183, numBits: 20, time: 5.17047]
[81] - 1111100101100111100111010100011111101110 - [accuracy: 96.9697, numBits: 26, time: 10.2601]
[82] - 1111101000011111100011000011001100001100 - [accuracy: 96.9697, numBits: 26, time: 9.58989]
[83] - 0000110111101011111000011100111111010101 - [accuracy: 97.0211, numBits: 24, time: 6.57387]
[84] - 1100000110010101110111101001101010001110 - [accuracy: 97.0211, numBits: 21, time: 5.64668]
[85] - 0010100001000111000010100001001111100010 - [accuracy: 97.0211, numBits: 15, time: 4.02901]
[86] - 1111100101100111100111011100001111111011 - [accuracy: 97.0211, numBits: 27, time: 14.967]
[87] - 0000111110111101000110001101001110100111 - [accuracy: 97.0211, numBits: 22, time: 6.39025]
[88] - 1100011111110101100011101011111111111110 - [accuracy: 97.0211, numBits: 29, time: 14.6319]
[89] - 1000011011001101001101101110001111000100 - [accuracy: 97.0724, numBits: 20, time: 5.90786]
[90] - 1000101001010100010100100000011110101101 - [accuracy: 97.1238, numBits: 17, time: 4.48933]
[91] - 1111100101100111100111010101011011011010 - [accuracy: 97.1238, numBits: 25, time: 5.43749]
[92] - 0011101000010110001100000010111100111111 - [accuracy: 97.1238, numBits: 20, time: 5.00894]
[93] - 1111011011101001001000101011101111000010 - [accuracy: 97.2265, numBits: 22, time: 6.14277]
[94] - 0010111000011101001101100111101111111011 - [accuracy: 97.2265, numBits: 19, time: 5.51423]
[95] - 1101001111110101100011101011111111111110 - [accuracy: 97.2779, numBits: 24, time: 7.87535]
