Max Fitness:   96.65
Min Fitness:   82.6
Avg Fitness:   94.3415
[00] - 0000001010101110000111000011101101001111 - [accuracy: 96.6, numBits: 19, time: 6.82637]
[01] - 0011000000001000101000001001001010011000 - [accuracy: 95.7, numBits: 11, time: 5.33325]
[02] - 0101010111110001010011000000010101101110 - [accuracy: 93.2, numBits: 19, time: 6.7995]
[03] - 1101110101011000100011011100111010001101 - [accuracy: 95.75, numBits: 22, time: 7.2766]
[04] - 0000111110110101100001110101001110011100 - [accuracy: 96.45, numBits: 21, time: 7.15618]
[05] - 0010101111111111010100000111001001001011 - [accuracy: 96.5, numBits: 22, time: 7.13643]
[06] - 1101000101101111010110010100111111000100 - [accuracy: 96.55, numBits: 22, time: 7.16003]
[07] - 0110001100111111011010010010010000011011 - [accuracy: 93.2, numBits: 20, time: 7.0148]
[08] - 0000011110100101011010100001110101011100 - [accuracy: 89.95, numBits: 19, time: 6.86583]
[09] - 1110111011001000001100111100101100110111 - [accuracy: 96.05, numBits: 23, time: 7.5612]
[10] - 0010001110111101110011010110110010100001 - [accuracy: 94.75, numBits: 21, time: 8.13526]
[11] - 1010001110011000000011011100101011111111 - [accuracy: 95.8, numBits: 22, time: 8.10329]
[12] - 1001011110111000000010101001011011101010 - [accuracy: 95.9, numBits: 20, time: 7.85643]
[13] - 1100001110110010110111001100001100010100 - [accuracy: 92.05, numBits: 19, time: 7.17234]
[14] - 1110011111101011100001111100101001000000 - [accuracy: 91.75, numBits: 21, time: 8.06153]
[15] - 1011000000010100111011000101011110101001 - [accuracy: 96.35, numBits: 19, time: 7.58289]
[16] - 0001110101100001000000010001001000001010 - [accuracy: 96.1, numBits: 12, time: 6.07213]
[17] - 1100101110010111110110010000110100100100 - [accuracy: 86.65, numBits: 20, time: 7.55614]
[18] - 1010101111010010111011111000000011010100 - [accuracy: 93.25, numBits: 21, time: 7.88304]
[19] - 1011010101011110011001111100100000011110 - [accuracy: 93.35, numBits: 22, time: 6.90378]
[20] - 1110110110011111111000111000100000010100 - [accuracy: 85.7, numBits: 21, time: 13.8904]
[21] - 1101011111011100011110001111000010011011 - [accuracy: 94.6, numBits: 24, time: 14.3501]
[22] - 1001010011110011101001101101010101001000 - [accuracy: 89.55, numBits: 20, time: 13.3802]
[23] - 0010001011000100101100101011111101010111 - [accuracy: 96.25, numBits: 21, time: 12.9392]
[24] - 1001001111101001110010101001011100000010 - [accuracy: 96.1, numBits: 19, time: 12.6982]
[25] - 1100011110100111111111011110110001000011 - [accuracy: 93.7, numBits: 25, time: 13.7256]
[26] - 0001001110010101001110101000100011111010 - [accuracy: 94.45, numBits: 19, time: 12.7505]
[27] - 1111101101111111100000001010101001001110 - [accuracy: 96, numBits: 23, time: 13.8502]
[28] - 1100000100011101111001111111111001111010 - [accuracy: 96.4, numBits: 25, time: 12.1787]
[29] - 1100000001101000000011001011101000110101 - [accuracy: 95.05, numBits: 16, time: 11.5426]
[30] - 1101101100101010100011100011010100000001 - [accuracy: 91.25, numBits: 18, time: 12.2929]
[31] - 0000010010110011010000010101101001010110 - [accuracy: 95.65, numBits: 16, time: 10.6741]
