Max Fitness:   97.65
Min Fitness:   82.5
Avg Fitness:   91.8535
[00] - 0001110000010011011100100010100000100110 - [accuracy: 91, numBits: 15, time: 161.509]
[01] - 0101010100110010001011010010001001110001 - [accuracy: 89.2, numBits: 17, time: 193.089]
[02] - 0100011100110010011000011000011010111000 - [accuracy: 89.75, numBits: 17, time: 192.678]
[03] - 1101000111100010100100111101111010010001 - [accuracy: 90.1, numBits: 21, time: 260.178]
[04] - 1000100001100101000010000000100110101001 - [accuracy: 85.8, numBits: 13, time: 137.812]
[05] - 0000110011011100000111010011001000101101 - [accuracy: 90.15, numBits: 18, time: 223.166]
[06] - 1001011000001010001111011110100011110001 - [accuracy: 85.55, numBits: 20, time: 256.763]
[07] - 1011111010111101000000011011111010111011 - [accuracy: 95.4, numBits: 25, time: 342]
[08] - 1011010110100000010111010100010101100110 - [accuracy: 94, numBits: 19, time: 234.02]
[09] - 0111111111100111111111110011110001111010 - [accuracy: 96.65, numBits: 30, time: 460.884]
[10] - 0111000101111010001000000101000011101110 - [accuracy: 93.75, numBits: 18, time: 223.62]
[11] - 1110100110000010000100001101101111000000 - [accuracy: 91.5, numBits: 16, time: 186.784]
[12] - 1101010110000000011011011001110000000010 - [accuracy: 91.6, numBits: 16, time: 189.663]
[13] - 1100010100111010010100101011001000011101 - [accuracy: 90.8, numBits: 19, time: 245.643]
[14] - 1011000010001010000110111000110011000000 - [accuracy: 87.8, numBits: 15, time: 161.12]
[15] - 1101111100011010011101001100110101001011 - [accuracy: 91.35, numBits: 23, time: 295.008]
[16] - 1010001111101110001011100000001101011101 - [accuracy: 93.65, numBits: 21, time: 249.872]
[17] - 0110110011111100100100111100111001001100 - [accuracy: 90.45, numBits: 22, time: 284.67]
[18] - 1101001000010110111010110101110001111110 - [accuracy: 96.75, numBits: 23, time: 306.263]
[19] - 1000110011100001001110101100001101010001 - [accuracy: 92.2, numBits: 18, time: 260.617]
[20] - 0110100101001000001001000001100110010011 - [accuracy: 92.55, numBits: 15, time: 169.03]
[21] - 1011010100101011110011110101000101111101 - [accuracy: 87.75, numBits: 24, time: 424.379]
[22] - 0101011101101111000101111000000001001110 - [accuracy: 96.45, numBits: 20, time: 342.479]
[23] - 1000100010100011110111010011111010111100 - [accuracy: 89.85, numBits: 22, time: 294.343]
[24] - 0000011011101001001011111010110011001000 - [accuracy: 87.8, numBits: 19, time: 274.995]
[25] - 0011011010011101011010010011011010010100 - [accuracy: 91.55, numBits: 20, time: 254.221]
[26] - 1111000100110100100011110110011000110000 - [accuracy: 90.7, numBits: 19, time: 279.383]
[27] - 0100011011001000111000100011010110111110 - [accuracy: 92.9, numBits: 20, time: 234.603]
[28] - 1010010000110011110010101100101001010101 - [accuracy: 91.7, numBits: 19, time: 210.439]
[29] - 1000001001000011010101100001111110111101 - [accuracy: 91.95, numBits: 20, time: 238.63]
[30] - 1101110111010001001100111110010100100101 - [accuracy: 85.4, numBits: 22, time: 284.118]
[31] - 1001011101101010001001011111111000011001 - [accuracy: 88.75, numBits: 22, time: 299.226]
[32] - 1111011001100110010011010111101010110100 - [accuracy: 95.05, numBits: 23, time: 302.843]
[33] - 0111011101111011001100001001100001010101 - [accuracy: 89.95, numBits: 21, time: 283.27]
[34] - 1011101110100111111101001001001010100000 - [accuracy: 95.25, numBits: 21, time: 272.444]
[35] - 0101111110100111010001110000111001101011 - [accuracy: 97.6, numBits: 23, time: 307.093]
[36] - 1111010001101001100111101111011101110000 - [accuracy: 89.5, numBits: 24, time: 339.317]
[37] - 1111011000100000100111110001000001001000 - [accuracy: 85.5, numBits: 16, time: 245.99]
[38] - 0000011011001100001111111001011011101000 - [accuracy: 91.8, numBits: 20, time: 263.277]
[39] - 0001011011000100111000010011100111110101 - [accuracy: 88.75, numBits: 20, time: 300.733]
[40] - 0001011000001100101010101111001010111010 - [accuracy: 93.65, numBits: 19, time: 232.32]
[41] - 1000111001111110010001111001101010100010 - [accuracy: 96.25, numBits: 21, time: 323.136]
[42] - 1100001001101001001010011001110010111001 - [accuracy: 82.5, numBits: 19, time: 225.835]
[43] - 0100101010101100000100011101000100101110 - [accuracy: 93.8, numBits: 17, time: 225.168]
[44] - 1011011010010000111000101110000101100111 - [accuracy: 93.95, numBits: 20, time: 254.77]
[45] - 1110010010010010100110111000100001001100 - [accuracy: 89.35, numBits: 17, time: 189.369]
[46] - 0111111001110010100011111000011101001001 - [accuracy: 89.3, numBits: 22, time: 291.436]
[47] - 1010110001101010101100000101111111101010 - [accuracy: 94.55, numBits: 22, time: 301.722]
[48] - 1000101000011111001001110100110101011100 - [accuracy: 94, numBits: 20, time: 250.376]
[49] - 1111011100101010101110001000011001100010 - [accuracy: 91.7, numBits: 20, time: 249.601]
[50] - 1101100101001111011001010111011110001000 - [accuracy: 92.6, numBits: 22, time: 282.397]
[51] - 0101000010100110110111000110010011011100 - [accuracy: 92.6, numBits: 19, time: 242.384]
[52] - 1110001101111101110110101000111100111011 - [accuracy: 94.2, numBits: 26, time: 359.578]
[53] - 0011011111111100111000000101011010100110 - [accuracy: 93.6, numBits: 22, time: 304.414]
[54] - 0000010101000010110000001001100011010100 - [accuracy: 87.95, numBits: 13, time: 149.412]
[55] - 1111101110100011011010011101010101010000 - [accuracy: 89.25, numBits: 22, time: 294.364]
[56] - 0001010011101101001111001111101000101010 - [accuracy: 94.05, numBits: 21, time: 269.387]
[57] - 1011011100000101001010010000001111101111 - [accuracy: 93.7, numBits: 20, time: 259.58]
[58] - 1001101100010011000011001000100100010111 - [accuracy: 92.85, numBits: 17, time: 207.36]
[59] - 0111010101110010100001101010010010111000 - [accuracy: 86.15, numBits: 19, time: 235.815]
[60] - 1010100011111111111000001011111000111010 - [accuracy: 97.65, numBits: 24, time: 323.026]
[61] - 1010101101110011100001101011011000111110 - [accuracy: 94.35, numBits: 23, time: 280.288]
[62] - 1111101110001111010000100100010110100100 - [accuracy: 94, numBits: 20, time: 252.995]
[63] - 1001101110010001111110100111010011111010 - [accuracy: 94.6, numBits: 24, time: 324.993]
[64] - 0001000010001001111011110101100010001000 - [accuracy: 85.7, numBits: 16, time: 196.248]
[65] - 1010000001100111001001011110001111101000 - [accuracy: 94.45, numBits: 19, time: 225.246]
[66] - 1000110111100000101100111111100000100100 - [accuracy: 83.15, numBits: 19, time: 228.484]
[67] - 1101010011010111001101010010001110101100 - [accuracy: 93.4, numBits: 21, time: 333.664]
[68] - 0000110010000001100101011000100001100000 - [accuracy: 87.15, numBits: 12, time: 129.46]
[69] - 1001100011110011010011100000110011010111 - [accuracy: 94.95, numBits: 21, time: 263.225]
[70] - 0100000010111011100011011101011010010001 - [accuracy: 91.45, numBits: 19, time: 228.523]
[71] - 1000000101111000101001001101011110010110 - [accuracy: 94.5, numBits: 19, time: 249.428]
[72] - 0100000010001010010001110010111000001010 - [accuracy: 93.7, numBits: 14, time: 138.682]
[73] - 0110000001000001001111011000111011011110 - [accuracy: 96.4, numBits: 19, time: 243.337]
[74] - 0001010010010001110010001101001100001111 - [accuracy: 94.45, numBits: 17, time: 205.158]
[75] - 0100011110000011010110000100101100101000 - [accuracy: 89.45, numBits: 16, time: 196.242]
[76] - 1011100111011110100010110001110011111001 - [accuracy: 94.6, numBits: 24, time: 349.171]
[77] - 0110100010010100110000001010100111101111 - [accuracy: 94.3, numBits: 19, time: 246.335]
[78] - 0101010010010100011111110100011110010101 - [accuracy: 92.5, numBits: 21, time: 275.802]
