Max Fitness:   97.7401
Min Fitness:   77.0416
Avg Fitness:   95.4813
[00] - 0100101011000100110010110001011111101101 - [accuracy: 97.1751, numBits: 21, time: 4.50543]
[01] - 1111100010000011001100011011000100010010 - [accuracy: 95.1207, numBits: 17, time: 4.50934]
[02] - 1001001100110000100111011101000100111000 - [accuracy: 81.9209, numBits: 18, time: 5.54209]
[03] - 1110001101000111101101110000110110111100 - [accuracy: 96.7643, numBits: 23, time: 3.93163]
[04] - 0000010100101110100111100101000110100000 - [accuracy: 96.6102, numBits: 16, time: 3.80296]
[05] - 0100001010000111101101001001101000001010 - [accuracy: 97.2265, numBits: 16, time: 4.68987]
[06] - 0110111111100001101011011100001010111110 - [accuracy: 97.7401, numBits: 24, time: 4.38061]
[07] - 0000010100011110101100001100111110001100 - [accuracy: 97.1238, numBits: 18, time: 4.36995]
[08] - 1110011010111110110010110010100110111011 - [accuracy: 96.5074, numBits: 25, time: 4.26443]
[09] - 1110010001001010001000100110110011110111 - [accuracy: 95.2748, numBits: 20, time: 4.81154]
[10] - 1011001111101101000010001001101100010100 - [accuracy: 93.0663, numBits: 19, time: 5.23739]
[11] - 0001101001000111111100011000010100110011 - [accuracy: 96.9183, numBits: 19, time: 3.6106]
[12] - 0010100000111101111011110011010110001101 - [accuracy: 96.0966, numBits: 22, time: 3.77136]
[13] - 1011110111111001011111100101110010001001 - [accuracy: 94.9153, numBits: 25, time: 3.6681]
[14] - 0000011111101101110001011101111010001001 - [accuracy: 97.0724, numBits: 22, time: 3.5875]
[15] - 1110101010001101010011000010111011001001 - [accuracy: 97.6888, numBits: 20, time: 4.02138]
[16] - 0000111000010000110000101001011111010101 - [accuracy: 96.8156, numBits: 17, time: 3.59623]
[17] - 0010111100110011110111111100111010000010 - [accuracy: 96.7643, numBits: 23, time: 3.40704]
[18] - 0100011110100110000000011101100000000000 - [accuracy: 88.9574, numBits: 13, time: 4.47317]
[19] - 1001101110010011011001000110110011000000 - [accuracy: 95.4289, numBits: 18, time: 4.1358]
[20] - 0000110011011011100101110001001010111110 - [accuracy: 97.2265, numBits: 21, time: 4.35797]
[21] - 1100010001110101100110010100110111010111 - [accuracy: 96.2506, numBits: 22, time: 4.2402]
[22] - 0100011100110001011100101110010000000000 - [accuracy: 77.0416, numBits: 15, time: 5.22541]
[23] - 0001010000010111110100011101100000110010 - [accuracy: 96.1479, numBits: 17, time: 4.34844]
[24] - 0001101011000111010000011001100010100110 - [accuracy: 95.7884, numBits: 17, time: 4.05314]
[25] - 1001100010001110001110100111001111001101 - [accuracy: 96.867, numBits: 21, time: 4.33205]
[26] - 0111010010000101110001110000111101110000 - [accuracy: 94.2476, numBits: 19, time: 4.38454]
[27] - 0000011110001100000000000100101000111111 - [accuracy: 96.7643, numBits: 15, time: 4.33413]
[28] - 1110100101101110110100110001111011001110 - [accuracy: 97.0211, numBits: 24, time: 4.7362]
[29] - 0110101101011101001101010101011110011100 - [accuracy: 97.1751, numBits: 23, time: 4.20579]
[30] - 1111011101000000101001000011000111101011 - [accuracy: 95.7884, numBits: 20, time: 4.98125]
[31] - 1001100010111110110000110001110000011000 - [accuracy: 91.6795, numBits: 18, time: 4.90492]
[32] - 1101101111110010111010001111011110000110 - [accuracy: 96.7129, numBits: 25, time: 4.88077]
[33] - 1011110000001100100100010100100010011010 - [accuracy: 95.9938, numBits: 16, time: 4.05058]
[34] - 1010011111111111000111001011110001100000 - [accuracy: 94.6071, numBits: 23, time: 4.98871]
[35] - 1101001100111001110010111110101110000001 - [accuracy: 96.0452, numBits: 22, time: 4.33198]
[36] - 0011010111011001100001001100110011011101 - [accuracy: 95.5829, numBits: 21, time: 3.91146]
[37] - 0100111010100101110000000110000011001010 - [accuracy: 96.2506, numBits: 16, time: 4.48648]
[38] - 1011001101000001100100010101010101000110 - [accuracy: 95.8398, numBits: 17, time: 4.44484]
[39] - 1111001001010110010010110010111010000101 - [accuracy: 97.3806, numBits: 20, time: 4.29372]
[40] - 1100000011111100101000111110101010000110 - [accuracy: 97.5347, numBits: 20, time: 4.13014]
[41] - 0010101010110010110100110001010110011110 - [accuracy: 96.6102, numBits: 20, time: 5.06877]
[42] - 1000100010110111001110010001100100111000 - [accuracy: 91.2173, numBits: 18, time: 4.66256]
[43] - 0001001101011000100110001000001111111101 - [accuracy: 96.9183, numBits: 19, time: 4.21234]
[44] - 0110110100001101001100000100110101001010 - [accuracy: 96.5074, numBits: 17, time: 4.63164]
[45] - 1000001001110010011111110101010100010001 - [accuracy: 95.2748, numBits: 19, time: 4.83365]
[46] - 1001000101111011011011100011010111101001 - [accuracy: 95.9938, numBits: 23, time: 4.2282]
[47] - 0111101011001001011011011000000111111010 - [accuracy: 96.4047, numBits: 22, time: 4.19207]
[48] - 1110100001011010111010111000101101001001 - [accuracy: 97.2265, numBits: 21, time: 4.41019]
[49] - 0010111001001010101011010000100010011000 - [accuracy: 95.4289, numBits: 16, time: 4.54049]
[50] - 1100101010100111000100111010010101001110 - [accuracy: 96.9697, numBits: 20, time: 4.47854]
[51] - 0010010010010111000001001000111000011010 - [accuracy: 97.2779, numBits: 15, time: 4.50333]
[52] - 0101111100101010001001001111011111001001 - [accuracy: 96.1993, numBits: 22, time: 4.68232]
[53] - 0000011011010100001010010011111000001001 - [accuracy: 97.4319, numBits: 16, time: 4.03137]
[54] - 0110101100001011101101101011011110000101 - [accuracy: 96.7129, numBits: 22, time: 4.56336]
[55] - 1111001011100010000101010001100101000000 - [accuracy: 91.8336, numBits: 16, time: 4.85111]
[56] - 1100010011111011010001001111111010011101 - [accuracy: 96.9697, numBits: 24, time: 4.07368]
