Max Fitness:   98.65
Min Fitness:   85.4
Avg Fitness:   97.061
[00] - 1001101011011011011100101100100100010010 - [accuracy: 96.65, numBits: 20, time: 10.1171]
[01] - 1010000100010110101001100010011011101110 - [accuracy: 98.55, numBits: 19, time: 9.82303]
[02] - 0010111110111110111000001101100101001010 - [accuracy: 98.3, numBits: 22, time: 10.0952]
[03] - 0000010111010111101001001100111001001100 - [accuracy: 97.15, numBits: 19, time: 9.74006]
[04] - 0001011110000101000001000011010100000100 - [accuracy: 90.35, numBits: 13, time: 11.0017]
[05] - 1000101010011001101111101101001011000001 - [accuracy: 98.2, numBits: 20, time: 9.62671]
[06] - 0111001101110000011001011101100000000100 - [accuracy: 85.4, numBits: 17, time: 13.5298]
[07] - 1001101111110011111100100001001110001011 - [accuracy: 98.2, numBits: 23, time: 10.1774]
[08] - 1101101110110111100110000101100011011011 - [accuracy: 98.1, numBits: 24, time: 10.5228]
[09] - 0001100000010001001110000001011111001110 - [accuracy: 98.3, numBits: 16, time: 10.2226]
[10] - 1100001011001111011100010101010010100110 - [accuracy: 97.65, numBits: 20, time: 8.84952]
[11] - 0101100110010110010111101100000011101001 - [accuracy: 97.45, numBits: 20, time: 9.35137]
[12] - 1001100011110100011010110111010101111111 - [accuracy: 98, numBits: 25, time: 9.26453]
[13] - 1100001110010101011110001101110011110010 - [accuracy: 97.65, numBits: 22, time: 8.65224]
[14] - 0111011110010011011110001100010101110010 - [accuracy: 97.4, numBits: 22, time: 10.1599]
[15] - 0110001101011100001001011110100101110100 - [accuracy: 93.75, numBits: 20, time: 11.1447]
[16] - 0101000111010011101000001100001011100011 - [accuracy: 98.4, numBits: 18, time: 9.01415]
[17] - 1011001001001011001001100100100000010010 - [accuracy: 96.55, numBits: 15, time: 10.3975]
[18] - 1011110110001110001100010100101101011111 - [accuracy: 98.5, numBits: 23, time: 9.8853]
[19] - 1111010111110010101010110010111101110101 - [accuracy: 98.15, numBits: 26, time: 10.7613]
[20] - 1011010101010000001010100011001000010000 - [accuracy: 92.3, numBits: 14, time: 15.369]
[21] - 1110101000001001110001000011101001101000 - [accuracy: 95.5, numBits: 17, time: 16.5529]
[22] - 0101111100110110111011100101100100111100 - [accuracy: 93.95, numBits: 24, time: 17.607]
[23] - 1111110101101101001011010110111011101110 - [accuracy: 98.65, numBits: 27, time: 16.009]
[24] - 1101111000010011000100101111101000001100 - [accuracy: 94.2, numBits: 19, time: 17.157]
[25] - 0101110001011011100010110111000010111010 - [accuracy: 97.5, numBits: 21, time: 13.9916]
[26] - 0110101110000100100000100110011010001001 - [accuracy: 98.3, numBits: 16, time: 13.4996]
[27] - 0011000100011110001010001110101101111110 - [accuracy: 98.5, numBits: 21, time: 11.993]
[28] - 1111001111111010111111101011101111101011 - [accuracy: 98, numBits: 31, time: 11.9539]
[29] - 0101100110010111011110111011111101101001 - [accuracy: 98.45, numBits: 26, time: 12.5968]
[30] - 0011000111010000100011001111111010101010 - [accuracy: 98.15, numBits: 20, time: 12.2167]
[31] - 0001101010100111101110010101010000111100 - [accuracy: 93.45, numBits: 20, time: 13.4993]
[32] - 1111001010110101111001111011011000011110 - [accuracy: 98.1, numBits: 25, time: 12.8627]
[33] - 0111100011101011100111101010101001111101 - [accuracy: 98.05, numBits: 25, time: 12.8217]
[34] - 1110111001011000011001000110101110110100 - [accuracy: 97.9, numBits: 21, time: 12.5453]
[35] - 1000101110000000000001100100001111101001 - [accuracy: 98, numBits: 15, time: 11.4985]
[36] - 1011110000000011110101110101000111101011 - [accuracy: 97.75, numBits: 22, time: 13.4448]
[37] - 1101011111110010110111111101110011011100 - [accuracy: 97.2, numBits: 28, time: 13.4832]
[38] - 0101011100100011110111100100010110011010 - [accuracy: 97.55, numBits: 21, time: 12.3535]
[39] - 1001110011001110100011101001010100110000 - [accuracy: 94, numBits: 19, time: 14.2642]
[40] - 1011001100101111111011010100110110111111 - [accuracy: 97.85, numBits: 27, time: 18.7888]
[41] - 1000011000100110101110100001111101110111 - [accuracy: 98.4, numBits: 22, time: 21.7329]
[42] - 0010011110100010111110010111100110011111 - [accuracy: 97.3, numBits: 24, time: 22.8583]
[43] - 1001110011100100111000011011000010100111 - [accuracy: 97.55, numBits: 20, time: 22.6706]
[44] - 1011000101000101010001001001011100111101 - [accuracy: 98.25, numBits: 19, time: 20.7148]
[45] - 1111001010101101110011110001011011101111 - [accuracy: 98.45, numBits: 26, time: 23.234]
[46] - 1010011000000110000000011000010111011000 - [accuracy: 98.05, numBits: 14, time: 20.5712]
[47] - 1001100001111000111101101000000001101000 - [accuracy: 93.75, numBits: 17, time: 28.5472]
[48] - 1010001011011110011100101001011000011010 - [accuracy: 98.25, numBits: 20, time: 21.8007]
[49] - 0101000110010100011001110101010000010100 - [accuracy: 88.25, numBits: 16, time: 31.8041]
[50] - 1001000011101011011011111011101011010011 - [accuracy: 98.4, numBits: 24, time: 21.1959]
[51] - 0001011010101000000001011001101101101010 - [accuracy: 97.85, numBits: 17, time: 21.5534]
[52] - 1010100000010100111110100011101011001110 - [accuracy: 98.4, numBits: 20, time: 20.4839]
[53] - 0111001011111001111000010101111110111000 - [accuracy: 98.15, numBits: 24, time: 21.8895]
[54] - 1001001010001111101001011111011110101100 - [accuracy: 98.4, numBits: 23, time: 20.8938]
[55] - 1111000110011001010010010101110001010111 - [accuracy: 97.5, numBits: 21, time: 23.1691]
[56] - 1100011011011000000101000011100001101000 - [accuracy: 93.2, numBits: 16, time: 26.39]
[57] - 0010101111010111110001110010100110000110 - [accuracy: 97.85, numBits: 21, time: 21.8286]
[58] - 1011110101010101001100110011111000010001 - [accuracy: 98.35, numBits: 21, time: 23.3483]
[59] - 1000011111001010011011010110101110010001 - [accuracy: 98, numBits: 21, time: 22.8208]
[60] - 1101001110111000110110110110110111001111 - [accuracy: 97.5, numBits: 26, time: 26.1619]
[61] - 0000000001101010000001100000011001110011 - [accuracy: 97.95, numBits: 13, time: 19.2389]
[62] - 1100010001111100110101010101110100110011 - [accuracy: 97.5, numBits: 22, time: 23.6669]
[63] - 0111010110101110110111001010010001001000 - [accuracy: 95.5, numBits: 20, time: 27.5494]
[64] - 1001110110011011011101011101101100000011 - [accuracy: 98.35, numBits: 23, time: 24.1442]
[65] - 0010111101110100001011101011001111100000 - [accuracy: 98.4, numBits: 21, time: 22.9602]
[66] - 1100111100010101011001110101001010001001 - [accuracy: 98.2, numBits: 20, time: 22.2915]
[67] - 0000010000011010111111111010101100001110 - [accuracy: 97.85, numBits: 20, time: 21.5429]
[68] - 1001110011001000111011001111100111000110 - [accuracy: 97.3, numBits: 22, time: 22.8529]
[69] - 1010111000101011001111000101001000011100 - [accuracy: 93.55, numBits: 19, time: 26.8952]
[70] - 0011001110001110100001010000011010001111 - [accuracy: 98.3, numBits: 18, time: 22.8753]
[71] - 1001110000110100011010101101100100011100 - [accuracy: 90.8, numBits: 19, time: 28.6047]
[72] - 1111100100111010001101011101010010000011 - [accuracy: 96.65, numBits: 21, time: 25.2246]
[73] - 1100001010000110000110100111001100001110 - [accuracy: 98.15, numBits: 17, time: 21.3914]
[74] - 1010100011111000010000000011000111000101 - [accuracy: 97.55, numBits: 16, time: 22.4997]
[75] - 0000101110000101011001010011100001000010 - [accuracy: 97.65, numBits: 15, time: 20.7005]
[76] - 0001101010001110111110001111101011010110 - [accuracy: 98.55, numBits: 23, time: 22.4064]
[77] - 1000111100100110000010011000100110000100 - [accuracy: 97.85, numBits: 15, time: 20.6599]
[78] - 1110011101101011101110000010111111001111 - [accuracy: 98.35, numBits: 26, time: 23.8551]
[79] - 1100010101001110101100000101000010000111 - [accuracy: 97.75, numBits: 17, time: 23.1397]
[80] - 0000111100001100011110111010110010101101 - [accuracy: 97.25, numBits: 21, time: 23.4003]
[81] - 1001010001010001100110100111011001000010 - [accuracy: 98.25, numBits: 17, time: 24.8415]
[82] - 1100011110010011111000011010101101110100 - [accuracy: 96.05, numBits: 22, time: 25.7428]
[83] - 1111010001010100000100011100011001110011 - [accuracy: 98.2, numBits: 19, time: 24.2367]
[84] - 0011101100100100100010001010111010111011 - [accuracy: 98.35, numBits: 20, time: 22.9734]
[85] - 0001001000110110110111100001101011111000 - [accuracy: 98.3, numBits: 20, time: 20.5692]
[86] - 0111111011001110100001011010010110100011 - [accuracy: 97.85, numBits: 22, time: 23.1657]
[87] - 0100000000100011000101110010100111101001 - [accuracy: 97.35, numBits: 16, time: 25.0033]
[88] - 1110011010110000101001000100011101100110 - [accuracy: 98.25, numBits: 19, time: 21.1111]
[89] - 0100110011111100100111100111111101110000 - [accuracy: 96.5, numBits: 24, time: 23.9359]
[90] - 0101001011101110011101001001001100010011 - [accuracy: 98.5, numBits: 20, time: 21.9243]
[91] - 1101011001010011111011101111010101100011 - [accuracy: 97.65, numBits: 25, time: 22.9035]
[92] - 1101001010011110111100111010110001011011 - [accuracy: 97.9, numBits: 24, time: 21.7797]
[93] - 0001101101110100101111001101110111110011 - [accuracy: 97.75, numBits: 25, time: 21.9742]
[94] - 0001101100100110011010111000101001100001 - [accuracy: 98.4, numBits: 18, time: 20.9748]
[95] - 1010110001011101011111000111000000011101 - [accuracy: 97.35, numBits: 21, time: 22.4381]
