Max Fitness:   96.8156
Min Fitness:   78.7879
Avg Fitness:   93.9353
[00] - 1101110001011011111001101100000000101010 - [accuracy: 92.8608, numBits: 20, time: 6.55296]
[01] - 0101011001011011111000000000010010010010 - [accuracy: 94.2989, numBits: 16, time: 7.22072]
[02] - 0011001001011000000101100000000100001000 - [accuracy: 78.7879, numBits: 11, time: 5.60882]
[03] - 1101101001011011001100001111111111001110 - [accuracy: 96.8156, numBits: 25, time: 4.3921]
[04] - 1100100000101010101101010100001011111100 - [accuracy: 95.3775, numBits: 19, time: 7.12459]
[05] - 1000001000011100001110001101010011001001 - [accuracy: 95.6857, numBits: 16, time: 7.25618]
[06] - 0110011100011001110001010111101010110000 - [accuracy: 94.9153, numBits: 20, time: 6.75619]
[07] - 1100011100011011000110100000111000101000 - [accuracy: 90.1387, numBits: 17, time: 7.48005]
[08] - 0100011010010101001011100010000110111101 - [accuracy: 95.5316, numBits: 19, time: 6.5188]
[09] - 1010011111110001111001100110000001100010 - [accuracy: 93.3744, numBits: 20, time: 6.15804]
[10] - 1110001101100101101000001011010000100100 - [accuracy: 86.0812, numBits: 17, time: 4.09191]
[11] - 0000000110110001011101110000100110011101 - [accuracy: 94.3503, numBits: 18, time: 4.27621]
[12] - 1001011111011111011001110000011110100011 - [accuracy: 95.7884, numBits: 24, time: 5.80404]
[13] - 0111000111101110001001110110001000110100 - [accuracy: 92.1931, numBits: 20, time: 5.60972]
[14] - 1111100111100110111100101001000001100110 - [accuracy: 93.5285, numBits: 22, time: 5.27451]
[15] - 1101100001101110100001011110111011010010 - [accuracy: 95.8911, numBits: 22, time: 5.46208]
[16] - 0111010011011011011000100110001000011110 - [accuracy: 95.2748, numBits: 20, time: 5.34064]
[17] - 1000010101010111001011001110011111001000 - [accuracy: 96.4561, numBits: 20, time: 5.78989]
[18] - 0000101001100000101100010000000111101110 - [accuracy: 95.2748, numBits: 15, time: 5.45278]
[19] - 1000010000100001101010101111001001111011 - [accuracy: 95.6343, numBits: 19, time: 5.62514]
[20] - 0101000100010100011110000101101011100110 - [accuracy: 96.0452, numBits: 18, time: 3.46184]
[21] - 1000101010011011011011011111110111110000 - [accuracy: 94.0935, numBits: 24, time: 4.67493]
[22] - 1010110110100001101001000111011000110111 - [accuracy: 96.3534, numBits: 21, time: 5.94156]
[23] - 0110100101000001100001000110111001010000 - [accuracy: 92.2958, numBits: 15, time: 4.74815]
[24] - 0010000001111011010100011000110100010101 - [accuracy: 93.9394, numBits: 17, time: 6.02005]
[25] - 0111101001011001101000001000001011111010 - [accuracy: 96.3534, numBits: 19, time: 6.47093]
[26] - 0011011101001010110110111111001010010110 - [accuracy: 94.7098, numBits: 23, time: 7.70804]
[27] - 1110101100011001111100001010000101110110 - [accuracy: 93.6312, numBits: 21, time: 7.10804]
[28] - 0011000001010010110101001011111111111000 - [accuracy: 95.4289, numBits: 21, time: 6.60555]
[29] - 0001111010110111010101111010011101001010 - [accuracy: 95.6857, numBits: 23, time: 7.83188]
[30] - 0111110101011010111000111101111001100011 - [accuracy: 95.2234, numBits: 25, time: 7.6893]
[31] - 1010001110100000001101010011000011010100 - [accuracy: 93.6312, numBits: 16, time: 6.27759]
[32] - 0000111101100100111100110011001001101111 - [accuracy: 95.8398, numBits: 22, time: 8.00004]
[33] - 0010001110101101010000111111100110010100 - [accuracy: 94.2989, numBits: 20, time: 8.71116]
[34] - 0001111110010000011111111101010110010001 - [accuracy: 94.2476, numBits: 22, time: 8.58472]
[35] - 0100010001101111001111000110101000001110 - [accuracy: 95.8911, numBits: 19, time: 8.68072]
[36] - 1010001001000110011010001100011100011000 - [accuracy: 93.6826, numBits: 16, time: 7.73745]
[37] - 1000010001100011100001010001101011011101 - [accuracy: 96.4047, numBits: 18, time: 8.0762]
[38] - 0101011111011001100001011100000100101000 - [accuracy: 84.0267, numBits: 18, time: 8.52803]
[39] - 1101100111111010101011001111110110001100 - [accuracy: 92.9635, numBits: 25, time: 6.13429]
[40] - 1100110100101000110110100011010110101010 - [accuracy: 93.2717, numBits: 20, time: 6.0872]
[41] - 0101000000001101001001111111010010011100 - [accuracy: 94.5044, numBits: 18, time: 6.49653]
[42] - 0001101111011111110101101001001001000101 - [accuracy: 95.3775, numBits: 22, time: 6.1402]
[43] - 0010001110001011100101111001101011010111 - [accuracy: 96.6102, numBits: 22, time: 5.85202]
[44] - 1101100000000001011101010011001011111101 - [accuracy: 96.0452, numBits: 20, time: 5.50815]
[45] - 0101111100100001100101001101111001111010 - [accuracy: 95.1721, numBits: 22, time: 5.39202]
[46] - 1110111001001010011010010010110100110000 - [accuracy: 82.2291, numBits: 19, time: 5.44815]
[47] - 0000100110111000111011111110010001111001 - [accuracy: 92.1931, numBits: 22, time: 4.05641]
[48] - 0000101000010010000000101010001110100101 - [accuracy: 95.6343, numBits: 13, time: 4.69739]
[49] - 1111001000000110011001111101001000100101 - [accuracy: 95.9938, numBits: 19, time: 3.02985]
[50] - 1100101110011110110001000010100111001101 - [accuracy: 95.3261, numBits: 21, time: 3.05366]
[51] - 1000001111110000011010011001000100001100 - [accuracy: 82.7427, numBits: 16, time: 2.80199]
[52] - 1000011110111101000010101000011100001100 - [accuracy: 91.4741, numBits: 18, time: 3.44628]
[53] - 0111100110101100010010010001100001111001 - [accuracy: 93.3231, numBits: 19, time: 3.23272]
[54] - 0011100100011101000010010110101001001001 - [accuracy: 95.737, numBits: 17, time: 3.65414]
[55] - 1100011000011010000000011001101000001010 - [accuracy: 94.5044, numBits: 14, time: 2.84765]
[56] - 1110011011000100000111110011100000101011 - [accuracy: 95.3261, numBits: 20, time: 3.31628]
[57] - 0001001000111101101110110101001001001010 - [accuracy: 96.2506, numBits: 19, time: 2.58503]
[58] - 0011101101001011101000110101110110110001 - [accuracy: 94.8639, numBits: 22, time: 2.46322]
[59] - 0111111110101011111111001010000110011101 - [accuracy: 93.9394, numBits: 26, time: 2.5353]
[60] - 0011011010100000000111011101010010001101 - [accuracy: 95.3261, numBits: 18, time: 2.57671]
[61] - 1010100000101011100010001111000001001000 - [accuracy: 88.7006, numBits: 15, time: 2.7498]
[62] - 1110001100100010101000010011010111000011 - [accuracy: 94.4016, numBits: 18, time: 3.81128]
[63] - 0111101111110100001100100100011011000001 - [accuracy: 96.6102, numBits: 20, time: 3.20478]
[64] - 1100110010110010001011110101000001001001 - [accuracy: 93.9908, numBits: 18, time: 2.86702]
[65] - 0101000101000111110101100110011010001011 - [accuracy: 96.5588, numBits: 20, time: 3.29221]
[66] - 1100101000001010100000010011111000010001 - [accuracy: 94.4016, numBits: 15, time: 3.29957]
[67] - 0101110101101001100010000111100110100001 - [accuracy: 94.5557, numBits: 19, time: 2.35795]
[68] - 1100100011001101100010001010011011000111 - [accuracy: 95.8911, numBits: 19, time: 2.53253]
[69] - 0001010110111011011110110000110100000011 - [accuracy: 93.6312, numBits: 20, time: 2.52603]
[70] - 1101100001100110100011110100010011000111 - [accuracy: 95.4289, numBits: 20, time: 3.26574]
[71] - 0110011110111111110010100110001111000110 - [accuracy: 95.9938, numBits: 24, time: 3.22604]
[72] - 1111010101000100000100001110000010101000 - [accuracy: 94.4016, numBits: 15, time: 3.148]
[73] - 1001111010000110000001001111110101010000 - [accuracy: 92.4499, numBits: 18, time: 3.34816]
[74] - 1000100000011101110111010111000101101101 - [accuracy: 93.9908, numBits: 21, time: 4.28542]
[75] - 0111101011111000101000011100110011001111 - [accuracy: 95.1207, numBits: 23, time: 4.27347]
[76] - 1010100100110111110100000000110001011111 - [accuracy: 95.8398, numBits: 20, time: 3.93649]
