NSGA RUN!!
Max Fitness:   97.5347
Min Fitness:   79.0447
Avg Fitness:   93.793
[00] - 1101000010111010110100000110100001001011 - [accuracy: 93.9908, numBits: 18, time: 5.46076]
[01] - 1000101000110001111111000011101010100111 - [accuracy: 95.9938, numBits: 21, time: 5.30529]
[02] - 1100101010010010010001001010101110000110 - [accuracy: 96.867, numBits: 17, time: 4.5468]
[03] - 0100001110111011100011000011001100110101 - [accuracy: 94.4016, numBits: 20, time: 5.13296]
[04] - 1011010110000111100010100111010010101001 - [accuracy: 94.5557, numBits: 20, time: 6.42431]
[05] - 0001011101011110101110011110110000000100 - [accuracy: 79.0447, numBits: 20, time: 5.49306]
[06] - 0110001111111100101001100110110000011010 - [accuracy: 88.4951, numBits: 21, time: 5.66598]
[07] - 1110111001100100001011000001101000110100 - [accuracy: 88.2383, numBits: 18, time: 4.57075]
[08] - 0000111110010000101011010010111111001000 - [accuracy: 95.8398, numBits: 19, time: 5.49865]
[09] - 1011000010001101110101101110010100010111 - [accuracy: 94.9153, numBits: 21, time: 6.80327]
[10] - 1111111111001000110010100011110110000011 - [accuracy: 94.6071, numBits: 23, time: 9.22956]
[11] - 1011001001011000000010101011011010101011 - [accuracy: 96.5588, numBits: 19, time: 6.61707]
[12] - 0110011011110011110001100001110010011101 - [accuracy: 92.604, numBits: 22, time: 6.98798]
[13] - 1101000111110001110101101001000101001001 - [accuracy: 92.0904, numBits: 20, time: 7.21678]
[14] - 0110010001110100001010111101000001101011 - [accuracy: 95.2234, numBits: 19, time: 6.58933]
[15] - 1110010110101000000111010001011000010001 - [accuracy: 93.9394, numBits: 17, time: 6.34412]
[16] - 1000111001111011111011010010100000110010 - [accuracy: 88.187, numBits: 21, time: 7.31413]
[17] - 0110111001011111100110011101011111100110 - [accuracy: 96.6615, numBits: 26, time: 13.7904]
[18] - 1000100110101110101010101111010010011110 - [accuracy: 95.2748, numBits: 22, time: 8.75366]
[19] - 0001011110110100001110111010110000100000 - [accuracy: 80.4828, numBits: 18, time: 6.9627]
[20] - 0001101011111100101111110001100110001000 - [accuracy: 86.8516, numBits: 21, time: 5.28726]
[21] - 1011100101101000101011000111110100110111 - [accuracy: 91.9877, numBits: 23, time: 5.35757]
[22] - 1000101010110001010111111010000110001111 - [accuracy: 93.888, numBits: 21, time: 5.49847]
[23] - 0101100101110110111011110011101111010000 - [accuracy: 96.0452, numBits: 24, time: 5.57633]
[24] - 1100100011111101111000100011110111101010 - [accuracy: 95.3261, numBits: 24, time: 5.33192]
[25] - 0001101001101100100010011111011000100111 - [accuracy: 96.7643, numBits: 20, time: 4.96051]
[26] - 0000110111001001000010010000110010001110 - [accuracy: 94.6071, numBits: 15, time: 3.54464]
[27] - 0010011001011110010101111000101101101111 - [accuracy: 96.7643, numBits: 23, time: 7.56252]
[28] - 1010101100101100111111000000101001101000 - [accuracy: 93.5285, numBits: 19, time: 5.5968]
[29] - 0100110000101000110110001101011100100010 - [accuracy: 92.9635, numBits: 17, time: 4.73975]
[30] - 0111111111000011001110111101110000101110 - [accuracy: 87.8788, numBits: 25, time: 7.77775]
[31] - 1111001100001101100011011011111111010101 - [accuracy: 97.5347, numBits: 25, time: 9.71956]
[32] - 0111010111001101100110001100101110100001 - [accuracy: 96.0452, numBits: 21, time: 7.25299]
[33] - 0101011011011001101110011011101111101011 - [accuracy: 96.6615, numBits: 26, time: 11.1975]
[34] - 0101101110001101000100100011100110111001 - [accuracy: 95.2234, numBits: 20, time: 5.72242]
[35] - 1101100101001111000001001111000010110001 - [accuracy: 94.2476, numBits: 19, time: 5.50485]
[36] - 1111110001010010000100101110001011100001 - [accuracy: 96.302, numBits: 19, time: 6.01252]
[37] - 0101011001010000110100111100111000111010 - [accuracy: 93.0149, numBits: 20, time: 3.49812]
[38] - 0011010111111111101011101001111001100001 - [accuracy: 95.4802, numBits: 25, time: 8.79515]
[39] - 1110111011111001001100001100000101110100 - [accuracy: 81.3046, numBits: 21, time: 4.00162]
[40] - 1110000001011111001110011010101110011000 - [accuracy: 95.2234, numBits: 21, time: 4.73964]
[41] - 1111011111011110101100001000010010101001 - [accuracy: 92.604, numBits: 22, time: 5.50604]
[42] - 0101010001110010101001010011100110010010 - [accuracy: 93.3744, numBits: 18, time: 4.20009]
[43] - 0101111000000100111000111011110100000011 - [accuracy: 95.3261, numBits: 19, time: 4.13138]
[44] - 0011111011110111101011010101010010001111 - [accuracy: 94.6071, numBits: 25, time: 7.76843]
[45] - 1111100000110010011000100111101000111000 - [accuracy: 89.0087, numBits: 19, time: 4.11011]
[46] - 0001011111101001111001100001101000111100 - [accuracy: 85.9271, numBits: 21, time: 3.85586]
[47] - 0010010011110100000110000100011110001010 - [accuracy: 96.7129, numBits: 16, time: 4.01468]
[48] - 1100001010010011011110101110101010101110 - [accuracy: 96.5074, numBits: 22, time: 4.22674]
[49] - 1111011010101000011101001100011010011101 - [accuracy: 95.9425, numBits: 22, time: 4.30865]
[50] - 1110011110001000001100110110011011100010 - [accuracy: 96.7643, numBits: 20, time: 4.14209]
[51] - 0100000011000101111111000111000001000111 - [accuracy: 95.4289, numBits: 18, time: 3.73648]
[52] - 1100111011000011001010011101111110101000 - [accuracy: 95.018, numBits: 22, time: 3.97806]
[53] - 1100100100100000000101110001111100100011 - [accuracy: 95.6857, numBits: 17, time: 3.1639]
[54] - 0111010000000100011001111111111011011001 - [accuracy: 96.7643, numBits: 22, time: 4.81459]
[55] - 1001010101111010100100101100001110111111 - [accuracy: 96.1479, numBits: 23, time: 8.96559]
[56] - 1010101110000001011011001100100111000101 - [accuracy: 95.018, numBits: 19, time: 4.1848]
[57] - 1100101001110101110110000010010010011111 - [accuracy: 95.3775, numBits: 21, time: 5.42352]
[58] - 0111010010011000111111000011011100010100 - [accuracy: 86.6975, numBits: 20, time: 4.27971]
[59] - 0010110011000011111010111010110010001011 - [accuracy: 94.6584, numBits: 21, time: 5.18009]
[60] - 0011110001000011001000000110101010100101 - [accuracy: 96.4561, numBits: 16, time: 4.06646]
[61] - 1111110110000001011000001101011000101001 - [accuracy: 95.4802, numBits: 19, time: 4.42539]
[62] - 1010101100111110010101011111110110110001 - [accuracy: 93.4258, numBits: 25, time: 6.71973]
[63] - 1100111011000010111100000110000100010111 - [accuracy: 94.5044, numBits: 19, time: 4.49044]
[64] - 1110000100100110111111110010011111110000 - [accuracy: 96.302, numBits: 23, time: 3.76543]
[65] - 1011100110110110110100111101110111011101 - [accuracy: 94.8639, numBits: 27, time: 14.3012]
[66] - 1001100011011011101101010110001000101100 - [accuracy: 88.4438, numBits: 20, time: 6.13581]
[67] - 1100101101000101001101110011000001001010 - [accuracy: 95.4802, numBits: 18, time: 4.18698]
[68] - 1010011001011101001110110111010001001011 - [accuracy: 95.5316, numBits: 22, time: 6.93401]
