NSGA RUN!!
Max Fitness:   97.3806
Min Fitness:   86.9029
Avg Fitness:   95.2876
[00] - 1010000000011110000010011000101111110010 - [accuracy: 96.9183, numBits: 17, time: 10.1888]
[01] - 0011110100011001011011101101110100111111 - [accuracy: 93.9394, numBits: 25, time: 11.4166]
[02] - 0111100011001100010000110100010011110111 - [accuracy: 96.4047, numBits: 20, time: 9.98281]
[03] - 1111101010100011000000110100101001110101 - [accuracy: 95.6857, numBits: 20, time: 10.573]
[04] - 0101000000111001110011111111100111001110 - [accuracy: 94.9153, numBits: 23, time: 11.1253]
[05] - 0011101111011110111010011111000011000110 - [accuracy: 96.4047, numBits: 24, time: 10.2994]
[06] - 1110110101011011100010000100000000001010 - [accuracy: 92.5013, numBits: 16, time: 10.0714]
[07] - 1111010111111010100001000101101111010110 - [accuracy: 96.3534, numBits: 24, time: 10.7825]
[08] - 0110110111000110000100100011111101101000 - [accuracy: 94.6071, numBits: 20, time: 10.7921]
[09] - 1000100101101100101011001000000111001000 - [accuracy: 95.4289, numBits: 16, time: 9.88955]
[10] - 0000110100001000010101111101011000110110 - [accuracy: 95.4289, numBits: 18, time: 5.70122]
[11] - 1101110000000100110100000101111100001010 - [accuracy: 97.0724, numBits: 17, time: 9.6424]
[12] - 1110111111111110101111101111001001101010 - [accuracy: 96.4561, numBits: 29, time: 11.474]
[13] - 1010010010011101110000011110010100011111 - [accuracy: 95.6343, numBits: 21, time: 10.6637]
[14] - 1010110110111000101010100010110110011001 - [accuracy: 94.9666, numBits: 21, time: 10.6767]
[15] - 0101110110111110000101111101110001001000 - [accuracy: 92.9635, numBits: 22, time: 11.3488]
[16] - 1000100001111001110101111110011011011010 - [accuracy: 96.0966, numBits: 23, time: 11.0348]
[17] - 0111000011111100001100110110010100010110 - [accuracy: 94.7098, numBits: 20, time: 10.9091]
[18] - 1000111011101000010111011100001011011011 - [accuracy: 96.3534, numBits: 22, time: 11.451]
[19] - 1111011110001111000111101010111110000011 - [accuracy: 97.0724, numBits: 25, time: 11.8592]
[20] - 0010011111010011110011010010111000001111 - [accuracy: 96.2506, numBits: 22, time: 7.13514]
[21] - 1000100000100110011111111101101110100000 - [accuracy: 96.7643, numBits: 20, time: 7.68248]
[22] - 0001000011100100110111001001010101001101 - [accuracy: 95.5829, numBits: 18, time: 9.44509]
[23] - 0001101101010000110010110000101010101101 - [accuracy: 95.3775, numBits: 18, time: 9.9943]
[24] - 0011110000001011110101110101000111101110 - [accuracy: 94.5044, numBits: 22, time: 10.4479]
[25] - 1000100010001100101110100011111100110100 - [accuracy: 93.8367, numBits: 19, time: 9.96721]
[26] - 1001001111100010110100000101101111010011 - [accuracy: 96.0452, numBits: 21, time: 9.74531]
[27] - 0000101000001011000110001100010001101111 - [accuracy: 93.6826, numBits: 16, time: 10.025]
[28] - 1100100101101001001000101001011101000001 - [accuracy: 96.1479, numBits: 17, time: 9.3946]
[29] - 0011100110010101010010011100010011100001 - [accuracy: 96.5074, numBits: 18, time: 8.95386]
[30] - 0000010101111011111101101101100011110100 - [accuracy: 94.4016, numBits: 23, time: 9.60861]
[31] - 1000110010000001011110010100111111001010 - [accuracy: 96.302, numBits: 19, time: 8.44928]
[32] - 0000010000000110011011101010011110011100 - [accuracy: 96.6615, numBits: 17, time: 10.0106]
[33] - 1100011110000001000110000000110111110011 - [accuracy: 94.8639, numBits: 18, time: 9.96874]
[34] - 1100011010110001001000011110001000001010 - [accuracy: 96.1993, numBits: 16, time: 9.17966]
[35] - 0011110000010110000110110001010100010111 - [accuracy: 95.5316, numBits: 18, time: 9.90174]
[36] - 1000111001110111001110000101010101001101 - [accuracy: 95.3261, numBits: 21, time: 9.87251]
[37] - 1011011010110011100101100110111001011000 - [accuracy: 93.4258, numBits: 22, time: 10.921]
[38] - 0101101101100011001001001100101011011110 - [accuracy: 95.9938, numBits: 21, time: 9.95323]
[39] - 1000101001001110010001101001111000110111 - [accuracy: 96.7129, numBits: 20, time: 10.0765]
[40] - 0111110010010011010000100001110010001001 - [accuracy: 95.3261, numBits: 17, time: 7.50423]
[41] - 1101011000110001001001010000111011111000 - [accuracy: 95.6857, numBits: 19, time: 8.54011]
[42] - 0011000101111011110011010010100001100011 - [accuracy: 94.2989, numBits: 20, time: 9.78583]
[43] - 0100110110101010110010110010111011011000 - [accuracy: 96.1479, numBits: 21, time: 9.35309]
[44] - 1010011001010000101001111100011010001001 - [accuracy: 96.302, numBits: 18, time: 8.324]
[45] - 1100110000101001011100100000011010000110 - [accuracy: 95.4289, numBits: 16, time: 8.25666]
[46] - 1111110010111111100000011101000011011110 - [accuracy: 96.3534, numBits: 24, time: 9.34133]
[47] - 1110010100001000001101001010001101000101 - [accuracy: 95.9425, numBits: 16, time: 7.2857]
[48] - 0001101111001100101010111000000001101111 - [accuracy: 95.8398, numBits: 20, time: 8.71009]
[49] - 1000111111110100001011000000000110111101 - [accuracy: 95.4289, numBits: 20, time: 7.90206]
[50] - 0000000011101111010010001010101110011000 - [accuracy: 96.5074, numBits: 17, time: 7.79728]
[51] - 1111100101001010001011101100001011100000 - [accuracy: 96.4047, numBits: 19, time: 10.0599]
[52] - 1001111001000010010000111001010100000001 - [accuracy: 93.0149, numBits: 15, time: 9.18298]
[53] - 1110000001100000110100101001011010110001 - [accuracy: 96.3534, numBits: 17, time: 8.60471]
[54] - 0010110000011100100001111000011111100001 - [accuracy: 97.0211, numBits: 18, time: 10.3349]
[55] - 0010010111000110001111000101111000001101 - [accuracy: 96.7129, numBits: 19, time: 10.0602]
[56] - 0011010011101011001010101101100010111101 - [accuracy: 94.8125, numBits: 22, time: 10.8226]
[57] - 1000010110111010001100101101100110010001 - [accuracy: 95.0693, numBits: 19, time: 10.0737]
[58] - 1010011011001001100011101101011010011100 - [accuracy: 96.4561, numBits: 21, time: 9.26207]
[59] - 0110111000111111110000010110101110000110 - [accuracy: 96.8156, numBits: 22, time: 9.19007]
[60] - 0111100001111010101010011001010011000010 - [accuracy: 94.0421, numBits: 19, time: 8.61741]
[61] - 0001011000011101100100000000111101111111 - [accuracy: 97.0724, numBits: 20, time: 9.65218]
[62] - 0011100101110011100001001001100111111000 - [accuracy: 94.9666, numBits: 20, time: 10.4972]
[63] - 0000010110010000001011101011111101001011 - [accuracy: 96.2506, numBits: 19, time: 9.77204]
[64] - 0010000110101101010110010001101101011111 - [accuracy: 97.3806, numBits: 21, time: 9.49291]
[65] - 1110000100000101001100110100011101011001 - [accuracy: 96.867, numBits: 18, time: 8.34563]
[66] - 1010001000110001001001000010111001001000 - [accuracy: 93.0663, numBits: 14, time: 7.10071]
[67] - 0011100010011100010110001101110100000101 - [accuracy: 95.3775, numBits: 18, time: 8.94869]
[68] - 1011011011111111101011001000000011111010 - [accuracy: 95.6857, numBits: 24, time: 10.2862]
[69] - 1111110010011011110100110111101111110011 - [accuracy: 96.0452, numBits: 28, time: 13.2615]
[70] - 0110001101110100001001000111100100110101 - [accuracy: 95.3261, numBits: 19, time: 9.14256]
[71] - 1000010010101110111100100111101011111101 - [accuracy: 96.867, numBits: 24, time: 10.0686]
[72] - 0100110100000011110001111000010000101110 - [accuracy: 90.8064, numBits: 17, time: 8.95274]
[73] - 0010000100000101100111001111111111000000 - [accuracy: 96.6615, numBits: 18, time: 8.5423]
[74] - 1010010101100000101111110100001010001101 - [accuracy: 95.8398, numBits: 19, time: 7.74552]
[75] - 0110000010100001001111111011110110011110 - [accuracy: 94.453, numBits: 22, time: 10.2048]
[76] - 0110011001010000011000011110001010110000 - [accuracy: 96.6102, numBits: 16, time: 7.31269]
[77] - 0000001100111010101010011110010001110000 - [accuracy: 86.9029, numBits: 17, time: 7.0096]
[78] - 1000111000000110100001100000101011111010 - [accuracy: 96.9183, numBits: 17, time: 7.70372]
[79] - 0001011001000111011100000111110000100100 - [accuracy: 88.3924, numBits: 17, time: 9.05987]
[80] - 0101000010100100100110111101001110101001 - [accuracy: 96.7643, numBits: 19, time: 9.05615]
[81] - 0011000100101000000111000011000000010011 - [accuracy: 91.7309, numBits: 13, time: 7.408]
[82] - 1000101101001110000001101100010110001000 - [accuracy: 95.8398, numBits: 16, time: 8.51354]
[83] - 0000010011100110011101010100100101110000 - [accuracy: 92.3986, numBits: 17, time: 8.66901]
[84] - 1101010111011111010110000000001100100101 - [accuracy: 96.7643, numBits: 20, time: 9.59233]
[85] - 0101001111010110001000101011000011101111 - [accuracy: 95.737, numBits: 21, time: 10.4457]
