NSGA RUN!!
Max Fitness:   98.2537
Min Fitness:   74.8844
Avg Fitness:   93.3821
[00] - 1000010001111111111101011001111010100100 - [accuracy: 96.4047, numBits: 23, time: 110.94]
[01] - 1011010000101000100011110010001000100010 - [accuracy: 94.453, numBits: 15, time: 73.6921]
[02] - 0011100000100010111010001011000111000110 - [accuracy: 93.4258, numBits: 17, time: 80.8751]
[03] - 1011010001010101011111011111100011000101 - [accuracy: 89.7791, numBits: 23, time: 120.596]
[04] - 0111111100100111111001111101000101111010 - [accuracy: 96.8156, numBits: 26, time: 145.051]
[05] - 1011010101011110111000000001010111100110 - [accuracy: 97.8428, numBits: 21, time: 105.159]
[06] - 1000010010011100100010011111110000100001 - [accuracy: 86.5434, numBits: 17, time: 92.9843]
[07] - 1100011011011111010111011110101010101010 - [accuracy: 97.1238, numBits: 25, time: 134.31]
[08] - 1101110101010010000011111011110110000110 - [accuracy: 94.1448, numBits: 22, time: 113.4]
[09] - 0000010100100010111001110010111011001111 - [accuracy: 94.5044, numBits: 20, time: 105.123]
[10] - 0100110000110110010001001100000000010101 - [accuracy: 93.0663, numBits: 14, time: 50.2322]
[11] - 1001100111110010101110011011000001101000 - [accuracy: 91.0118, numBits: 20, time: 94.3151]
[12] - 1000000110110101001000011001000010010110 - [accuracy: 95.1207, numBits: 15, time: 54.0427]
[13] - 0010000001110111011101111010000010010101 - [accuracy: 93.9394, numBits: 19, time: 77.6993]
[14] - 1101101110011010001000100011100111001000 - [accuracy: 89.5737, numBits: 19, time: 120.653]
[15] - 0101000000110111110011010001110101100010 - [accuracy: 97.3292, numBits: 19, time: 96.5588]
[16] - 0101011010111111001110000000000101011110 - [accuracy: 97.2265, numBits: 20, time: 108.086]
[17] - 1001011010011111101100111110101111001101 - [accuracy: 96.302, numBits: 26, time: 155.151]
[18] - 0001110110100001110101011110101110111001 - [accuracy: 91.1145, numBits: 23, time: 155.576]
[19] - 0100100111110111110000000111101011111011 - [accuracy: 98.2537, numBits: 24, time: 138.875]
[20] - 1010010110010111010011011110100101101100 - [accuracy: 94.6584, numBits: 22, time: 120.599]
[21] - 0101010111011000011011001110111001111000 - [accuracy: 90.6009, numBits: 22, time: 115.338]
[22] - 1010101010110100110000011000010010000000 - [accuracy: 87.057, numBits: 14, time: 80.3262]
[23] - 0111111010010111001110110011001000010101 - [accuracy: 94.6584, numBits: 22, time: 155.199]
[24] - 1111010110010001000010110111011001110010 - [accuracy: 96.8156, numBits: 21, time: 106.053]
[25] - 0111101001011010110000011011000101011010 - [accuracy: 95.3775, numBits: 20, time: 93.2233]
[26] - 1011010001011100000000000100100100111110 - [accuracy: 95.4289, numBits: 16, time: 71.1924]
