NSGA RUN!!
Max Fitness:   97.8942
Min Fitness:   81.3046
Avg Fitness:   95.4879
[00] - 1000000110101110111000111110001100110010 - [accuracy: 96.8156, numBits: 20, time: 4.12334]
[01] - 0010101100101000001001011000010111110010 - [accuracy: 95.4289, numBits: 17, time: 4.16008]
[02] - 0010100101100100100010110010001101101010 - [accuracy: 97.0724, numBits: 17, time: 3.97876]
[03] - 0110111111110010101101110010101100011111 - [accuracy: 97.1751, numBits: 26, time: 4.62628]
[04] - 0010101000011100011100100100010101010101 - [accuracy: 96.7643, numBits: 17, time: 4.07456]
[05] - 0100010101100010111010010100011100111100 - [accuracy: 91.7309, numBits: 19, time: 4.42905]
[06] - 1111000000110100110100011100101100011111 - [accuracy: 96.9183, numBits: 21, time: 4.38443]
[07] - 1111111010000110111000110011011100010001 - [accuracy: 97.2265, numBits: 22, time: 4.11779]
[08] - 0001111011101101111000101001001101101100 - [accuracy: 95.8398, numBits: 22, time: 4.55752]
[09] - 0111111111110001000111101000111110100111 - [accuracy: 96.7643, numBits: 26, time: 4.57964]
[10] - 0000011110110011111000011001111110101101 - [accuracy: 96.867, numBits: 23, time: 4.17609]
[11] - 1101011110001100100010010010111110111011 - [accuracy: 97.4833, numBits: 23, time: 4.2355]
[12] - 1110011000010011101000010010100001101100 - [accuracy: 91.2686, numBits: 17, time: 4.10344]
[13] - 1100011111010111100010010101010010111010 - [accuracy: 95.4289, numBits: 22, time: 4.12357]
[14] - 0100001111101001001101111101111010011010 - [accuracy: 97.4833, numBits: 23, time: 4.10849]
[15] - 0110010000000010101101110011011100011001 - [accuracy: 97.0211, numBits: 18, time: 4.16455]
[16] - 0001011100101011010100110100100000110110 - [accuracy: 94.0421, numBits: 18, time: 4.39374]
[17] - 1011001100100001100110101110001000111101 - [accuracy: 96.7129, numBits: 20, time: 4.01448]
[18] - 1100000100001001111100010100011011110111 - [accuracy: 97.1238, numBits: 20, time: 4.17365]
[19] - 0111010100110101111011101001010011000011 - [accuracy: 95.9425, numBits: 22, time: 4.39674]
[20] - 1101111000110001000000101100101000011001 - [accuracy: 97.2265, numBits: 17, time: 2.95329]
[21] - 1011010100001111101111011011000100111111 - [accuracy: 96.0452, numBits: 25, time: 3.99895]
[22] - 0001001100001001010101111011001000000011 - [accuracy: 96.9183, numBits: 16, time: 3.62547]
[23] - 0110010011010010000101011001001101000010 - [accuracy: 97.0211, numBits: 16, time: 3.86803]
[24] - 1100110010000011011110101100011111010110 - [accuracy: 96.867, numBits: 22, time: 3.93411]
[25] - 1000001111011011000011000011110110110100 - [accuracy: 96.0452, numBits: 20, time: 3.92692]
[26] - 0100000000001100000110111110101010000001 - [accuracy: 97.2779, numBits: 14, time: 3.63069]
[27] - 0110001000001010001110100101010100100111 - [accuracy: 95.018, numBits: 17, time: 4.16393]
[28] - 1110111000111000001100001011001100001001 - [accuracy: 96.6102, numBits: 18, time: 3.79653]
[29] - 1100010110101100000011011001001100011111 - [accuracy: 97.2779, numBits: 20, time: 3.6801]
[30] - 0011101000001011101000011000000001100101 - [accuracy: 94.6584, numBits: 15, time: 2.57398]
[31] - 0111111110111110001001101111000011011100 - [accuracy: 96.1993, numBits: 25, time: 4.15189]
[32] - 0000110011101010101000101110101001000100 - [accuracy: 93.8367, numBits: 17, time: 2.93694]
[33] - 1000000000110000011100001010101000010101 - [accuracy: 95.9938, numBits: 13, time: 2.31111]
[34] - 1100110111110101110111110010011000011010 - [accuracy: 96.867, numBits: 24, time: 3.57311]
[35] - 0010000110100000111100100000010000000100 - [accuracy: 81.9723, numBits: 11, time: 3.66056]
[36] - 1100011100110111101000001110011000111001 - [accuracy: 97.4319, numBits: 21, time: 3.51259]
[37] - 0011001111110011010101011101011100001100 - [accuracy: 90.6523, numBits: 22, time: 4.35714]
[38] - 0111010001011011110111001100101001110001 - [accuracy: 97.586, numBits: 22, time: 3.74377]
[39] - 1001010110110011100110101011111110000011 - [accuracy: 96.9183, numBits: 23, time: 3.74258]
[40] - 1111111100000001101010110010110010000000 - [accuracy: 95.2234, numBits: 18, time: 3.1246]
[41] - 0101011110011010001000011101110101100000 - [accuracy: 90.19, numBits: 19, time: 4.53534]
[42] - 1110111011001111000111110001011001100010 - [accuracy: 97.3292, numBits: 23, time: 3.4266]
[43] - 1011100011001101011100110001111110011111 - [accuracy: 97.586, numBits: 25, time: 4.32487]
[44] - 1010100011100000101011110000000101000000 - [accuracy: 90.9091, numBits: 14, time: 4.41999]
[45] - 1101000100000111100100110100101101110011 - [accuracy: 96.7643, numBits: 20, time: 4.21752]
[46] - 1111011011101000001010110111100000001100 - [accuracy: 84.1294, numBits: 20, time: 5.59605]
[47] - 1011111110001100101111011011000111010010 - [accuracy: 96.4047, numBits: 24, time: 4.17148]
[48] - 1110100001011001100010111000010101011100 - [accuracy: 91.7309, numBits: 19, time: 4.94171]
[49] - 1010001011000111001010001111011111100101 - [accuracy: 97.2779, numBits: 22, time: 3.94382]
[50] - 1101100100011001110010110110000110100100 - [accuracy: 95.8911, numBits: 19, time: 3.97502]
[51] - 0001100001010010101011111010010101110010 - [accuracy: 95.9425, numBits: 19, time: 3.53712]
[52] - 1000111000111001101000001111010000010100 - [accuracy: 81.3046, numBits: 17, time: 4.09882]
[53] - 1101001011111101101111100000111111100101 - [accuracy: 97.1238, numBits: 26, time: 3.26204]
[54] - 0010101101000001110000011011101101101110 - [accuracy: 96.867, numBits: 20, time: 3.19596]
[55] - 0001110001111011011110100100000001010001 - [accuracy: 95.9938, numBits: 18, time: 3.2066]
[56] - 0100101010101011111010100100000001001100 - [accuracy: 91.0632, numBits: 17, time: 3.81441]
[57] - 0011101101111001100111000100111110011001 - [accuracy: 97.0211, numBits: 23, time: 3.32983]
[58] - 1010110101001101010101100001000111001111 - [accuracy: 96.867, numBits: 21, time: 3.49363]
[59] - 0011001010001111110101011100010101100011 - [accuracy: 96.867, numBits: 21, time: 3.64438]
[60] - 1100010001100001100000110010110000110110 - [accuracy: 94.1962, numBits: 16, time: 3.49028]
