NSGA RUN!!
Max Fitness:   98.6646
Min Fitness:   86.9029
Avg Fitness:   97.2558
[00] - 1011101011000101010110001111110000010110 - [accuracy: 96.8156, numBits: 21, time: 11.1922]
[01] - 1100110110101100100010101111111000100101 - [accuracy: 98.2024, numBits: 22, time: 11.1182]
[02] - 1101110010111110100010101011011011101110 - [accuracy: 98.4592, numBits: 25, time: 10.1136]
[03] - 0110000111000111001111101010000001000101 - [accuracy: 97.7401, numBits: 18, time: 10.977]
[04] - 1001011110011101011101001000001011111011 - [accuracy: 98.6646, numBits: 23, time: 10.2567]
[05] - 1101100001101101011101100110111101000101 - [accuracy: 98.3051, numBits: 23, time: 10.9231]
[06] - 1011000000001100000011001010011101001111 - [accuracy: 98.5105, numBits: 17, time: 10.824]
[07] - 1101101011111111001001010101011011110001 - [accuracy: 98.4592, numBits: 25, time: 10.2427]
[08] - 0101001110101011111011010100110001010101 - [accuracy: 96.9183, numBits: 22, time: 11.3019]
[09] - 1111011111100101010000000010111111111010 - [accuracy: 98.3564, numBits: 24, time: 10.6032]
[10] - 0010011110110001011011010110000010110101 - [accuracy: 97.0211, numBits: 20, time: 10.3008]
[11] - 1000001101000001011000110110011000111000 - [accuracy: 93.6312, numBits: 16, time: 11.3454]
[12] - 0010111111011101010111100111101100000011 - [accuracy: 98.3051, numBits: 24, time: 10.5736]
[13] - 1111111011111111010010001000001010110110 - [accuracy: 98.4592, numBits: 24, time: 10.383]
[14] - 0101110011001101101011100100011011101000 - [accuracy: 98.4592, numBits: 21, time: 9.94008]
[15] - 1111010000111001100001101100111100001110 - [accuracy: 98.0483, numBits: 21, time: 11.054]
[16] - 1011000011100001100001001010001101011100 - [accuracy: 96.1479, numBits: 17, time: 11.0563]
[17] - 0111110100100011010001010101010101001111 - [accuracy: 97.4833, numBits: 21, time: 11.3854]
[18] - 0100111011110101110001101010000010110111 - [accuracy: 97.6374, numBits: 22, time: 9.02942]
[19] - 0001011101101110001011011000110000000110 - [accuracy: 97.1238, numBits: 18, time: 10.7597]
[20] - 0110110101110000001101100100001101010000 - [accuracy: 94.6071, numBits: 17, time: 10.9461]
[21] - 0101100111110110001110111101000110011010 - [accuracy: 97.5347, numBits: 23, time: 10.486]
[22] - 0000101000011010010111010001100000000011 - [accuracy: 95.7884, numBits: 14, time: 10.7913]
[23] - 1010001111011001110110101011001110110110 - [accuracy: 98.0483, numBits: 24, time: 9.98294]
[24] - 0110111110001010000011001000110001000011 - [accuracy: 97.1751, numBits: 17, time: 11.7873]
[25] - 0001010100111011101011111100000010010000 - [accuracy: 96.9183, numBits: 18, time: 11.0216]
[26] - 0000101001111010010000010101110000110100 - [accuracy: 86.9029, numBits: 16, time: 13.6518]
[27] - 0111100100100011100100101101000111100101 - [accuracy: 97.4319, numBits: 20, time: 10.7109]
[28] - 1100011100001011100000100111010011011001 - [accuracy: 97.0211, numBits: 19, time: 10.1149]
[29] - 1101100101010010110001010111011111110011 - [accuracy: 97.586, numBits: 24, time: 9.28311]
[30] - 1101100111100100110111111001110001000110 - [accuracy: 97.8942, numBits: 23, time: 10.2747]
[31] - 0001011110101000100011101001101010101111 - [accuracy: 97.9456, numBits: 21, time: 10.1852]
[32] - 1110101100101001110000010010111001101111 - [accuracy: 98.0996, numBits: 22, time: 10.6611]
[33] - 1011100011111011011001010011111110011100 - [accuracy: 97.9456, numBits: 25, time: 10.1469]
[34] - 0001101011000110110001000011000011001101 - [accuracy: 97.8428, numBits: 17, time: 10.0668]
[35] - 1011101110011011111100011111010001111111 - [accuracy: 97.7915, numBits: 28, time: 10.8395]
[36] - 1101101010000010101000001101110011101011 - [accuracy: 97.1238, numBits: 20, time: 10.3528]
[37] - 1110100010100111100011110110111101110100 - [accuracy: 97.0724, numBits: 24, time: 10.8043]
[38] - 0000111110010100100110010110100001000000 - [accuracy: 92.6554, numBits: 15, time: 11.9365]
[39] - 1001001110011011001010001000100011110101 - [accuracy: 97.3292, numBits: 19, time: 9.50602]
[40] - 0001111101011001101010001101111100111010 - [accuracy: 97.7401, numBits: 23, time: 10.4487]
[41] - 1101001110101011001110111011101001000101 - [accuracy: 97.8428, numBits: 23, time: 11.3024]
[42] - 0000001001110011100011111100111010010010 - [accuracy: 98.0483, numBits: 19, time: 9.61935]
[43] - 1101001001001011001101111011000001011110 - [accuracy: 97.7915, numBits: 21, time: 10.8886]
[44] - 1001001010010001011101111111001010110000 - [accuracy: 97.9456, numBits: 20, time: 10.5079]
[45] - 1111100010100001110010010101011100100000 - [accuracy: 94.2476, numBits: 18, time: 11.3972]
[46] - 0110011110111001011000011110010010010011 - [accuracy: 97.2265, numBits: 21, time: 9.57314]
[47] - 1000100111001111101101110010000010001101 - [accuracy: 97.586, numBits: 20, time: 9.54308]
[48] - 0010111100000100011001110101001101100011 - [accuracy: 98.4078, numBits: 19, time: 8.92244]
[49] - 1011000001101001001101010101010100100100 - [accuracy: 89.0601, numBits: 17, time: 13.9967]
[50] - 1111110110001110111111111010001010110010 - [accuracy: 98.4592, numBits: 26, time: 10.897]
[51] - 0100110000010110001110101011001101101000 - [accuracy: 97.2265, numBits: 18, time: 10.7681]
[52] - 1010010101010111010000010111001001010001 - [accuracy: 98.4592, numBits: 18, time: 10.2549]
[53] - 0000001000101101110110101010010100101111 - [accuracy: 97.7401, numBits: 19, time: 10.5085]
[54] - 0101000011110100110010111100101011100000 - [accuracy: 98.3564, numBits: 19, time: 10.3185]
[55] - 0010100110011011010101011110010010010010 - [accuracy: 97.4319, numBits: 19, time: 10.4047]
[56] - 1111000000000010010011011001101001101011 - [accuracy: 97.4833, numBits: 18, time: 9.72117]
[57] - 1011010110101011101011010000101001111100 - [accuracy: 96.302, numBits: 22, time: 11.0332]
[58] - 0010110001010111011101101100011111000010 - [accuracy: 98.3051, numBits: 21, time: 8.57294]
[59] - 1100111010111011100010001010001001001100 - [accuracy: 96.1479, numBits: 19, time: 11.357]
[60] - 0110011011101111001110100001101001010010 - [accuracy: 98.4078, numBits: 21, time: 9.55305]
[61] - 1111100110110011010000110000001010001001 - [accuracy: 97.8942, numBits: 18, time: 9.3969]
[62] - 0001011110000010011011110101010011001100 - [accuracy: 96.8156, numBits: 19, time: 9.83169]
[63] - 1010101100001101001000111010011000011110 - [accuracy: 98.2024, numBits: 19, time: 10.0116]
[64] - 0100000010110001000101110101101010111100 - [accuracy: 97.9456, numBits: 18, time: 8.70599]
[65] - 0110000100000110100100111110010111111100 - [accuracy: 97.9456, numBits: 20, time: 9.57993]
[66] - 0010001110101100010111001100101010101000 - [accuracy: 98.0996, numBits: 18, time: 8.3344]
[67] - 1110001010011010011101001100001111001010 - [accuracy: 97.7401, numBits: 20, time: 10.303]
[68] - 0100001011000001100011100011100100000100 - [accuracy: 89.8819, numBits: 14, time: 11.9788]
[69] - 1111110101110101011101100111110011001000 - [accuracy: 97.8942, numBits: 25, time: 11.1239]
[70] - 0010100101001110100100110100010010100000 - [accuracy: 97.8428, numBits: 15, time: 8.80924]
[71] - 1111110110001100110001111000111101000010 - [accuracy: 98.3564, numBits: 22, time: 10.2408]
[72] - 1101111001101000101000100000100011100111 - [accuracy: 97.3292, numBits: 19, time: 10.6971]
[73] - 1010001000001011100000110101010100010111 - [accuracy: 97.3292, numBits: 17, time: 10.0003]
[74] - 0001011101010110010111111100001000010110 - [accuracy: 97.7401, numBits: 20, time: 10.0652]
[75] - 0110101000111111001001111101000110010111 - [accuracy: 97.6374, numBits: 23, time: 9.22523]
[76] - 0110001101111000110010111101101100110101 - [accuracy: 97.7915, numBits: 23, time: 9.9258]
[77] - 0100010001010001101010010001101000011111 - [accuracy: 98.3051, numBits: 17, time: 7.85896]
[78] - 1001000111000111101110110011010111001101 - [accuracy: 97.7401, numBits: 23, time: 9.42661]
[79] - 0011110111010000000011100010111001101011 - [accuracy: 97.8942, numBits: 20, time: 9.79863]
[80] - 0100111010001011100010101001110110011110 - [accuracy: 97.586, numBits: 21, time: 10.1264]
[81] - 0011101001101001110001001011000011100110 - [accuracy: 97.8942, numBits: 19, time: 11.121]
[82] - 1010100011100110101010001011000110000000 - [accuracy: 97.7915, numBits: 16, time: 10.3144]
[83] - 0011101101101001101101001100111010110101 - [accuracy: 97.8428, numBits: 23, time: 9.48266]
[84] - 1111000111101001100101100111110010011010 - [accuracy: 97.4833, numBits: 23, time: 10.004]
[85] - 0100111000001000111110001000101110011001 - [accuracy: 97.4833, numBits: 18, time: 9.21439]
[86] - 0000000001000011001101101111110100011010 - [accuracy: 96.5074, numBits: 17, time: 10.3159]
[87] - 0110100000111101110011000110111000100111 - [accuracy: 98.3051, numBits: 21, time: 8.60132]
[88] - 0111011111011111000001001110110100101001 - [accuracy: 97.6888, numBits: 23, time: 10.5482]
[89] - 0100000110110100101111110000111000011100 - [accuracy: 94.8639, numBits: 19, time: 10.3426]
[90] - 1100100111001001011001111110111010111110 - [accuracy: 98.3051, numBits: 25, time: 9.51323]
[91] - 1010010111111010001101001100111010110101 - [accuracy: 97.8428, numBits: 23, time: 10.0137]
[92] - 1010101111100000101100111011001100101101 - [accuracy: 98.0483, numBits: 22, time: 10.2095]
[93] - 0111101111111001101000111100100100000011 - [accuracy: 97.4319, numBits: 22, time: 10.8512]
[94] - 1001110101000101100100000100100111010111 - [accuracy: 97.9969, numBits: 19, time: 9.31866]
[95] - 1111100100011101010000110011000101010110 - [accuracy: 97.8942, numBits: 20, time: 8.92139]
[96] - 1101000111110110101111101101110110001111 - [accuracy: 97.586, numBits: 27, time: 7.84152]
[97] - 0000101110110010011110000110001110100100 - [accuracy: 97.7915, numBits: 18, time: 8.13217]
[98] - 0110110010110001011011101110101111010010 - [accuracy: 98.4078, numBits: 23, time: 5.5327]
[99] - 1110011001100010011110011000100011101001 - [accuracy: 96.7643, numBits: 20, time: 4.18112]
iteration (NSGA-2): 0
Max Fitness:   98.6646
Min Fitness:   86.9029
Avg Fitness:   97.7021
[00] - 0000101000011010010111010001100000000011 - [accuracy: 95.7884, numBits: 14, time: 10.7913]
[01] - 0010101111111001101000111100100100000011 - [accuracy: 97.8428, numBits: 15, time: 8.80924]
[02] - 1011000000001100000011001010011101001111 - [accuracy: 98.5105, numBits: 17, time: 9.71116]
[03] - 0011101001101001110001001011010100101001 - [accuracy: 98.5105, numBits: 17, time: 10.824]
[04] - 0101000011110100110010111100101011110000 - [accuracy: 98.5619, numBits: 20, time: 10.3175]
[05] - 1001011110011111001110111011101010110101 - [accuracy: 98.6646, numBits: 23, time: 10.2567]
[06] - 0101011110011111001110111011101010110101 - [accuracy: 89.8819, numBits: 14, time: 11.9788]
[07] - 0110000111001010000011001000110001000011 - [accuracy: 97.2265, numBits: 15, time: 10.9091]
[08] - 1010100000111101110011000110111000100101 - [accuracy: 97.7915, numBits: 16, time: 10.3144]
[09] - 0110000100000110100100111110001110100100 - [accuracy: 98.3564, numBits: 17, time: 10.2175]
[10] - 1010010101010111001011011000110000000110 - [accuracy: 98.4592, numBits: 18, time: 10.2549]
[11] - 1010100000111101110011000110111000100101 - [accuracy: 98.5105, numBits: 20, time: 10.8186]
[12] - 1101010101000101100010101011011011101110 - [accuracy: 98.5619, numBits: 22, time: 8.91575]
[13] - 1101110010111110100010101011011111110010 - [accuracy: 98.6133, numBits: 25, time: 10.2317]
[14] - 0000111110010100100110010110100001000000 - [accuracy: 92.6554, numBits: 15, time: 11.9365]
[15] - 0110100011100110101010001011000110000000 - [accuracy: 97.6374, numBits: 16, time: 10.2858]
[16] - 0100010001010001101010010001101000011111 - [accuracy: 98.3051, numBits: 17, time: 10.1387]
[17] - 0100010101010111010000010111001001010001 - [accuracy: 98.3051, numBits: 17, time: 7.85896]
[18] - 0010111100000100011001110101001101100011 - [accuracy: 98.4078, numBits: 19, time: 10.3288]
[19] - 0010111100000101011011101110101111010010 - [accuracy: 98.4078, numBits: 19, time: 8.92244]
[20] - 0101111101111000110010111101101100110101 - [accuracy: 98.4592, numBits: 21, time: 9.94008]
[21] - 1101110010111110110010101010101001000101 - [accuracy: 98.5105, numBits: 22, time: 11.1196]
[22] - 1101101011111111011001010101011011101110 - [accuracy: 98.6133, numBits: 27, time: 10.346]
[23] - 1000001011010001100011100011100100000100 - [accuracy: 90.7036, numBits: 15, time: 11.8755]
[24] - 1000001101000001011000110110011000111000 - [accuracy: 93.6312, numBits: 16, time: 11.3454]
[25] - 1010100011100110101010001011000110000010 - [accuracy: 97.9456, numBits: 17, time: 10.7376]
[26] - 0001110101000101100100000100100111010110 - [accuracy: 97.9456, numBits: 17, time: 6.9446]
[27] - 0010001110101100010111001001110001000110 - [accuracy: 98.0996, numBits: 18, time: 8.3344]
[28] - 0111111011111110100010101011011011101110 - [accuracy: 98.3564, numBits: 19, time: 10.3185]
[29] - 1110101100001101001000111010011001101011 - [accuracy: 98.4078, numBits: 21, time: 10.2925]
[30] - 0110011011101111001110100001101001010010 - [accuracy: 98.4078, numBits: 21, time: 9.55305]
[31] - 1000100111001111011001010011111110011100 - [accuracy: 98.4592, numBits: 23, time: 10.1462]
[32] - 1001011110011101011101001000111001101011 - [accuracy: 98.4592, numBits: 23, time: 10.2868]
[33] - 0000101001111001100001101100100010110101 - [accuracy: 86.9029, numBits: 16, time: 13.6518]
[34] - 0001010101000101100100000100100111010111 - [accuracy: 97.8428, numBits: 17, time: 9.29675]
[35] - 0001101011000110110001000011000011001101 - [accuracy: 97.8428, numBits: 17, time: 10.0668]
[36] - 0100000110101000100011101001101010101111 - [accuracy: 97.9456, numBits: 18, time: 8.70599]
[37] - 0001100011110100110010111100101011100000 - [accuracy: 98.2537, numBits: 19, time: 10.0935]
[38] - 0110000011011101101011100100011011101000 - [accuracy: 98.3564, numBits: 20, time: 9.70604]
[39] - 1001100010100111100011110110001011111011 - [accuracy: 98.4078, numBits: 23, time: 9.13811]
[40] - 0110110101010010110001010111011111110011 - [accuracy: 98.4078, numBits: 23, time: 5.5327]
[41] - 1111111011111110100010101011011011101110 - [accuracy: 98.4592, numBits: 24, time: 10.383]
[42] - 0001011100101110010000010111000001010101 - [accuracy: 97.6374, numBits: 17, time: 9.59587]
[43] - 1111100110110011010000110000001010001001 - [accuracy: 97.8942, numBits: 18, time: 10.7828]
[44] - 1001110101000101100100000100100111010110 - [accuracy: 97.8942, numBits: 18, time: 9.22569]
[45] - 1111100110110011010000110000001010011010 - [accuracy: 97.8942, numBits: 18, time: 9.3969]
[46] - 1001001010010001011101111111001000000011 - [accuracy: 98.2024, numBits: 19, time: 10.2511]
[47] - 1010101100001101001000111010011000011110 - [accuracy: 98.2024, numBits: 19, time: 10.0116]
[48] - 1101110010111111010010001000001010110100 - [accuracy: 98.3051, numBits: 20, time: 10.157]
[49] - 1010110001010111011101101100011111000010 - [accuracy: 98.3564, numBits: 22, time: 10.2693]
[50] - 1100110110101100100010101111111000100110 - [accuracy: 98.3564, numBits: 22, time: 9.4814]
[51] - 1111110110001100110001111000111101000010 - [accuracy: 98.3564, numBits: 22, time: 10.2408]
[52] - 1101110010110001011011101110101111010010 - [accuracy: 98.4078, numBits: 24, time: 10.2747]
[53] - 1101110010111110100010101010111010010010 - [accuracy: 98.4592, numBits: 25, time: 10.1136]
[54] - 1101101011111111001001010100111010010010 - [accuracy: 98.4592, numBits: 25, time: 10.2427]
[55] - 0111100101001110100100110100010010100000 - [accuracy: 97.5347, numBits: 17, time: 9.58904]
[56] - 0000101110110010011110000110010111111100 - [accuracy: 97.7915, numBits: 18, time: 8.13217]
[57] - 1110001010000011011010010001101000011111 - [accuracy: 98.151, numBits: 19, time: 8.44155]
[58] - 0110100000111101110011000110111000100111 - [accuracy: 98.3051, numBits: 21, time: 10.31]
[59] - 0011101001101001011101001000001011111011 - [accuracy: 98.3051, numBits: 21, time: 9.52707]
[60] - 0001110101000101100100000100100111010111 - [accuracy: 98.3051, numBits: 21, time: 8.57294]
[61] - 0110100000111101110011010000101001111100 - [accuracy: 98.3051, numBits: 21, time: 8.60132]
[62] - 1101100111100100110111111001111100000011 - [accuracy: 98.3564, numBits: 24, time: 10.4459]
[63] - 1111011111100101010001111001110001000110 - [accuracy: 98.3564, numBits: 24, time: 10.6032]
[64] - 1111100111100100110110000010111111111010 - [accuracy: 98.4078, numBits: 25, time: 10.156]
[65] - 1111110110001110111111111010001010110010 - [accuracy: 98.4592, numBits: 26, time: 10.897]
