NSGA RUN!!
Max Fitness:   96.6615
Min Fitness:   84.9512
Avg Fitness:   94.6913
[00] - 1011010000001100010111101001010011111100 - [accuracy: 94.8639, numBits: 20, time: 6.38733]
[01] - 0001001000010101110001000100100111000010 - [accuracy: 96.0966, numBits: 14, time: 6.66009]
[02] - 1101000011000011011100111001010010111001 - [accuracy: 95.018, numBits: 20, time: 6.89903]
[03] - 0110100000000100010110101100101111010010 - [accuracy: 96.6615, numBits: 17, time: 6.78024]
[04] - 0111101100110010110110010100001001010110 - [accuracy: 94.8639, numBits: 20, time: 7.04404]
[05] - 0010100001100011101011010110110111010110 - [accuracy: 95.1207, numBits: 21, time: 6.76145]
[06] - 0111100110001111010100000011100001000101 - [accuracy: 93.8367, numBits: 18, time: 7.86198]
[07] - 1001101111110111001011111111111011010101 - [accuracy: 95.8398, numBits: 29, time: 5.80854]
[08] - 1110101110000101110010110100111000001000 - [accuracy: 91.885, numBits: 19, time: 7.03621]
[09] - 1011010111111101011101010011000101101000 - [accuracy: 91.3713, numBits: 23, time: 6.99205]
[10] - 1001111101110111000100110001000000111011 - [accuracy: 95.1207, numBits: 21, time: 8.54107]
[11] - 0011000010101011111101101101010000100010 - [accuracy: 92.1418, numBits: 19, time: 7.98023]
[12] - 1100000101101110011110111101001110010010 - [accuracy: 96.2506, numBits: 22, time: 8.08642]
[13] - 0111000110011000110110110111101010101010 - [accuracy: 95.5316, numBits: 22, time: 7.77725]
[14] - 0111100100100010111111010001010110000001 - [accuracy: 94.0935, numBits: 19, time: 8.31569]
[15] - 1111110101101110101111100110010101100101 - [accuracy: 92.2958, numBits: 26, time: 6.88395]
[16] - 1110110110000010101011001101011100001010 - [accuracy: 95.2748, numBits: 20, time: 8.25602]
[17] - 1011001000001100010101111111001111011010 - [accuracy: 96.1479, numBits: 22, time: 6.70815]
[18] - 0011000011010110101111110000001010010101 - [accuracy: 96.1993, numBits: 19, time: 7.52003]
[19] - 0011011111110101110011101100100100001001 - [accuracy: 93.169, numBits: 22, time: 7.36359]
[20] - 0100010010000110100000000111000001111110 - [accuracy: 94.9666, numBits: 15, time: 5.1076]
[21] - 0010110111011000000001000111110111010100 - [accuracy: 94.0935, numBits: 19, time: 6.26367]
[22] - 0010101101100111111001011000000110000111 - [accuracy: 96.4561, numBits: 20, time: 6.39718]
[23] - 1010011101001000111101110101110101111111 - [accuracy: 93.9908, numBits: 26, time: 6.26802]
[24] - 1100110101101000001001101100110001000101 - [accuracy: 92.7581, numBits: 18, time: 6.25069]
[25] - 1101101010010001000101010100000010111110 - [accuracy: 94.5044, numBits: 18, time: 6.63124]
[26] - 0000000110111110011111011100001101110001 - [accuracy: 96.4047, numBits: 21, time: 5.97668]
[27] - 1111101000000011110000101110101011110110 - [accuracy: 95.6857, numBits: 22, time: 5.40896]
[28] - 1001001000000000000100000010111110101101 - [accuracy: 95.4289, numBits: 14, time: 6.50067]
[29] - 1110001000010011111111010011110110110111 - [accuracy: 94.5557, numBits: 25, time: 4.6271]
[30] - 1101000000100100110110001101111010001001 - [accuracy: 95.8398, numBits: 18, time: 4.85376]
[31] - 1101100100001010010111100101011101110000 - [accuracy: 91.6795, numBits: 20, time: 6.10539]
[32] - 0010100111011011100011101110101010010100 - [accuracy: 95.1721, numBits: 21, time: 6.39534]
[33] - 1110111110110110010001101010011111100100 - [accuracy: 95.2748, numBits: 24, time: 7.56212]
[34] - 1111010110010110110110001011110001011010 - [accuracy: 94.0421, numBits: 23, time: 7.12004]
[35] - 1101011010100001111001111110001111011000 - [accuracy: 95.2748, numBits: 23, time: 6.81677]
[36] - 0000000101001100111010101000001111111111 - [accuracy: 96.6615, numBits: 20, time: 7.70855]
[37] - 1000101100101001110001110110110110111100 - [accuracy: 92.7067, numBits: 22, time: 7.37752]
[38] - 0101011011110111001001100110000000000011 - [accuracy: 95.5316, numBits: 18, time: 7.41472]
[39] - 1000101011011000110100001111101111110111 - [accuracy: 96.1479, numBits: 24, time: 5.35316]
[40] - 1000011101110010000011111101100001110011 - [accuracy: 94.8639, numBits: 21, time: 4.2518]
