Max Fitness:   99.7
Min Fitness:   98
Avg Fitness:   99.447
[00] - 1010110111001011000000101110101011100100 - [accuracy: 99.65, numBits: 20, time: 5.95044]
[01] - 1001100101011011011111010101101100000111 - [accuracy: 99.5, numBits: 23, time: 10.5251]
[02] - 0011111111110101100100111101111101111010 - [accuracy: 99.65, numBits: 28, time: 17.8016]
[03] - 0010110101111010010110111110101000100100 - [accuracy: 98.95, numBits: 21, time: 7]
[04] - 0111100010101100011010001111011010011010 - [accuracy: 99.6, numBits: 21, time: 6.02507]
[05] - 1110011011000011101000111100011001110111 - [accuracy: 99.65, numBits: 23, time: 9.27651]
[06] - 1101001000011001000101111101001101101110 - [accuracy: 99.45, numBits: 21, time: 8.38588]
[07] - 0011001011111110000101101111011011001110 - [accuracy: 99.6, numBits: 24, time: 8.66439]
[08] - 1000000101100011100000011111000111001101 - [accuracy: 99.2, numBits: 18, time: 5.52079]
[09] - 0100011100000100000011010010010000000000 - [accuracy: 98.85, numBits: 10, time: 3.9797]
[10] - 1111010010100011111101110000111000101010 - [accuracy: 99.6, numBits: 22, time: 5.71056]
[11] - 1011110000110000011100010001010100111110 - [accuracy: 98, numBits: 19, time: 2.35181]
[12] - 0010101010001011011110010110110111011111 - [accuracy: 99.5, numBits: 24, time: 8.44345]
[13] - 0011000100000001010100100110111110001110 - [accuracy: 99.6, numBits: 17, time: 5.24221]
[14] - 0100010100111001000111010100111111000001 - [accuracy: 99.5, numBits: 19, time: 8.0042]
[15] - 1110011010011110010010110111110011111101 - [accuracy: 99.4, numBits: 26, time: 13.4765]
[16] - 1000111010000010111111001101000110000111 - [accuracy: 99.5, numBits: 20, time: 7.38792]
[17] - 1011011001111111110100111100011001010011 - [accuracy: 99.65, numBits: 25, time: 18.7231]
[18] - 1000001001100010010111101010001110000100 - [accuracy: 99.45, numBits: 16, time: 4.89978]
[19] - 1010010111000010000010000011010011101010 - [accuracy: 99.35, numBits: 16, time: 4.70809]
[20] - 1010000001100010100101011000000101101010 - [accuracy: 99, numBits: 15, time: 3.92914]
[21] - 0100111001000100100110111001100110110010 - [accuracy: 99.3, numBits: 19, time: 6.39774]
[22] - 0111011001110010101101000011101101110011 - [accuracy: 99.4, numBits: 23, time: 6.56234]
[23] - 0100100100000111100000011101110001000100 - [accuracy: 99.65, numBits: 15, time: 3.08183]
[24] - 0110000100010001101100110000100010010010 - [accuracy: 99.5, numBits: 14, time: 3.03469]
[25] - 1001101011001110010101111011110110001011 - [accuracy: 99.5, numBits: 24, time: 10.1583]
[26] - 1111111010011110000010111001010010011111 - [accuracy: 99.55, numBits: 24, time: 16.9974]
[27] - 1100111001000010111010010000001000100000 - [accuracy: 99.5, numBits: 14, time: 4.08404]
[28] - 0100001101111010001101111011110110011101 - [accuracy: 99.4, numBits: 24, time: 10.7189]
[29] - 0110000100011011001001110101110010011101 - [accuracy: 99.5, numBits: 20, time: 7.62679]
[30] - 1011100011011111111110100001101111100001 - [accuracy: 99.45, numBits: 25, time: 11.9454]
[31] - 1111001000110000100011011111100110000110 - [accuracy: 99.2, numBits: 20, time: 8.09738]
[32] - 1000100011100101101000000110001011110011 - [accuracy: 99.45, numBits: 18, time: 5.93517]
[33] - 1100100001111101000101101011111000011000 - [accuracy: 99.65, numBits: 20, time: 7.28064]
[34] - 0101011011111111011101111001000000001100 - [accuracy: 99.55, numBits: 22, time: 9.3892]
[35] - 1001100011100110101010110110101000001000 - [accuracy: 99.55, numBits: 18, time: 3.5604]
[36] - 1110000000010101100000100111010011001100 - [accuracy: 99.4, numBits: 16, time: 2.94371]
[37] - 1110000001101011011100101011111111010000 - [accuracy: 99.4, numBits: 22, time: 5.26496]
[38] - 1111011000010110100100111111010011110001 - [accuracy: 99.3, numBits: 23, time: 12.8827]
[39] - 0001000000110100000000010001010111001100 - [accuracy: 98.75, numBits: 12, time: 2.04257]
[40] - 1010100010011110001010110011100100100100 - [accuracy: 99.25, numBits: 18, time: 4.76182]
[41] - 0111110110101111111111101000000000011000 - [accuracy: 99.55, numBits: 22, time: 10.7308]
[42] - 1110111100000000000011111001111011000110 - [accuracy: 99.3, numBits: 20, time: 7.21999]
[43] - 0001011101110110101011000110011110001110 - [accuracy: 99.45, numBits: 22, time: 6.51228]
[44] - 1100011101010101000110100010100110010110 - [accuracy: 99.45, numBits: 19, time: 5.66061]
[45] - 1000111010100111101100000101011100111100 - [accuracy: 99.6, numBits: 21, time: 6.07879]
[46] - 0110001111001100001101101100101100111111 - [accuracy: 99.65, numBits: 23, time: 6.84684]
[47] - 1010101011110100001000111100110011110011 - [accuracy: 99.45, numBits: 22, time: 5.40191]
[48] - 1100100111000111010010000110011110000000 - [accuracy: 99.45, numBits: 17, time: 4.76704]
[49] - 0000111010100101101101111100100000000011 - [accuracy: 99.4, numBits: 18, time: 7.86672]
[50] - 0011001110011111111011100110010110110010 - [accuracy: 99.55, numBits: 24, time: 9.83716]
[51] - 1011010100000110111100110011011011110101 - [accuracy: 99.35, numBits: 23, time: 8.6489]
[52] - 0000001110011111010101110011010001101010 - [accuracy: 99.45, numBits: 20, time: 6.38242]
[53] - 0001011001101101111010111000001111111001 - [accuracy: 99.55, numBits: 23, time: 7.54617]
[54] - 0001101100010110101010100001101111110011 - [accuracy: 99.45, numBits: 21, time: 7.31545]
[55] - 1110010011000100010111111010101011000101 - [accuracy: 99.35, numBits: 21, time: 7.42744]
[56] - 0000011001001100111010110010110100010100 - [accuracy: 99.15, numBits: 17, time: 5.16059]
[57] - 1010011000101011001001010000001110010110 - [accuracy: 99.45, numBits: 17, time: 5.81957]
[58] - 1110100011011001110000010011010101001000 - [accuracy: 99.45, numBits: 18, time: 2.96964]
[59] - 0101001001001010101101100000111101000010 - [accuracy: 99.6, numBits: 17, time: 1.83283]
[60] - 0100001110110111100011000110100111011110 - [accuracy: 99.5, numBits: 22, time: 9.18941]
[61] - 0000000101010001111010010010100011011111 - [accuracy: 99.25, numBits: 18, time: 4.92157]
[62] - 0111110110001001111110111001000010010010 - [accuracy: 99.5, numBits: 21, time: 9.88567]
[63] - 0110011101000011001000100111101000001010 - [accuracy: 99.5, numBits: 17, time: 5.0275]
[64] - 1001011110100001010000000110100110010000 - [accuracy: 99.5, numBits: 15, time: 5.42927]
[65] - 1001101100100011101110000111001101110010 - [accuracy: 99.6, numBits: 21, time: 7.99322]
[66] - 0110100111001110100111001011010101100011 - [accuracy: 99.55, numBits: 22, time: 8.90017]
[67] - 1001010100110111011000111111101111011101 - [accuracy: 99.5, numBits: 26, time: 15.3384]
[68] - 1111111101011110100111001100000001100111 - [accuracy: 99.55, numBits: 24, time: 23.099]
[69] - 1010001110011100101111100101101000001011 - [accuracy: 99.5, numBits: 21, time: 11.2039]
[70] - 0010011100011010101100101001000101101001 - [accuracy: 99.45, numBits: 18, time: 6.99558]
[71] - 0110110110011111010011001111010100101010 - [accuracy: 99.6, numBits: 23, time: 11.6205]
[72] - 1001010011111101110111001001100110010101 - [accuracy: 99.6, numBits: 23, time: 12.6106]
[73] - 1110111010101011100111001101001001010011 - [accuracy: 99.6, numBits: 23, time: 20.1886]
[74] - 0100101100001011110000001110000101101110 - [accuracy: 99.55, numBits: 18, time: 5.4278]
[75] - 1111000011011101010100000101010011110100 - [accuracy: 99.5, numBits: 20, time: 6.61757]
