Max Fitness:   99.65
Min Fitness:   96.35
Avg Fitness:   98.9915
[00] - 1011101011100110011010000001111111110011 - [accuracy: 99.65, numBits: 24, time: 5.74874]
[01] - 0100111100000001100100000110011110111010 - [accuracy: 99.65, numBits: 18, time: 4.87716]
[02] - 1110011100110111111001101111001000000000 - [accuracy: 99.35, numBits: 21, time: 5.49875]
[03] - 0101110100011000111001000010101011011110 - [accuracy: 99.65, numBits: 20, time: 5.16328]
[04] - 1110101100100110010110011001101011111001 - [accuracy: 99.65, numBits: 23, time: 5.41813]
[05] - 1111111100110100111110111101110100011010 - [accuracy: 98.6, numBits: 27, time: 6.66952]
[06] - 0001000100101101000011101001111001100001 - [accuracy: 99.35, numBits: 17, time: 4.88734]
[07] - 0111011001100110111001101011110100100011 - [accuracy: 98.25, numBits: 23, time: 5.53539]
[08] - 0110001100011110000101100110111001100000 - [accuracy: 99.4, numBits: 18, time: 5.00425]
[09] - 0110011100001010110100110011001111101111 - [accuracy: 99.55, numBits: 23, time: 5.54284]
[10] - 1101011110111011111010100101011010100111 - [accuracy: 99.4, numBits: 26, time: 5.78464]
[11] - 1100110001100011001000110001100111101010 - [accuracy: 98.8, numBits: 19, time: 4.67265]
[12] - 0101110111010111000100111100100011100100 - [accuracy: 98.5, numBits: 21, time: 4.88537]
[13] - 1101000000000100000001100011011100010100 - [accuracy: 99.65, numBits: 13, time: 3.71808]
[14] - 1010010111000101110111100010101110111011 - [accuracy: 99.65, numBits: 24, time: 5.25436]
[15] - 1100101001001011010111000001111011100111 - [accuracy: 99.15, numBits: 22, time: 5.03064]
[16] - 1011011101111101001100001000101011000111 - [accuracy: 98.95, numBits: 22, time: 4.93691]
[17] - 1000001010010010001010000101000100111100 - [accuracy: 98.75, numBits: 14, time: 3.97681]
[18] - 0001000101101000111101110100100101011000 - [accuracy: 98.75, numBits: 18, time: 4.34813]
[19] - 1101010111111001000100010101110111110101 - [accuracy: 98.8, numBits: 24, time: 5.09319]
[20] - 0010010100001001101110011001101010011111 - [accuracy: 99.65, numBits: 20, time: 5.28083]
[21] - 1100010010110001011001011011001110001101 - [accuracy: 99.45, numBits: 20, time: 5.34973]
[22] - 1010100011010100001000100100111010110111 - [accuracy: 99.65, numBits: 19, time: 5.14919]
[23] - 1010100100101100100001110010010111011110 - [accuracy: 98.75, numBits: 20, time: 5.22856]
[24] - 1101001010010010001100010110000010111101 - [accuracy: 96.5, numBits: 18, time: 4.81119]
[25] - 1010010100000100011111100001001110100010 - [accuracy: 99.5, numBits: 17, time: 4.44872]
[26] - 1001000101011001111100111100100001010100 - [accuracy: 98.5, numBits: 19, time: 4.84474]
[27] - 0100111001000100010011000111000100110100 - [accuracy: 98.3, numBits: 16, time: 4.6844]
