Max Fitness:   99.65
Min Fitness:   97.25
Avg Fitness:   99.16
[00] - 0001011000000111000100000000001000011010 - [accuracy: 99.6, numBits: 11, time: 28.0393]
[01] - 0000110010101000100000110001000110100010 - [accuracy: 97.8, numBits: 13, time: 41.6625]
[02] - 1100011011100000010100011001011110001100 - [accuracy: 99.25, numBits: 18, time: 59.0206]
[03] - 1011000110111100100001001001010111101110 - [accuracy: 98.25, numBits: 21, time: 66.7997]
[04] - 0001000010000000111101000000001110111110 - [accuracy: 99.5, numBits: 15, time: 49.695]
[05] - 0110000110001100001010100011000000010101 - [accuracy: 99.1, numBits: 14, time: 39.2676]
[06] - 1111011101110110000011001111111100010000 - [accuracy: 99.65, numBits: 23, time: 86.2352]
[07] - 0000111100001001001110100001011110110011 - [accuracy: 99.45, numBits: 19, time: 63.6686]
[08] - 0110001000000111100010111111100100101110 - [accuracy: 99.4, numBits: 20, time: 64.7538]
[09] - 1100100101000011101011010001111110001101 - [accuracy: 99.45, numBits: 21, time: 69.3836]
[10] - 0001010001001111111011101011110100010111 - [accuracy: 99.25, numBits: 23, time: 76.6265]
[11] - 1010110010101001100011010000000000011100 - [accuracy: 99.45, numBits: 15, time: 39.6724]
[12] - 0111001101101101000010010110110100100001 - [accuracy: 99.1, numBits: 19, time: 56.1598]
[13] - 0111010101011110000001001010101110100010 - [accuracy: 99.45, numBits: 19, time: 70.2033]
[14] - 1101011101000110110010101111100001010111 - [accuracy: 98.8, numBits: 23, time: 76.855]
[15] - 1111000000010001111001100001110010001001 - [accuracy: 98.9, numBits: 17, time: 47.3278]
[16] - 1001101001101111111110100110001110101101 - [accuracy: 99.45, numBits: 25, time: 109.621]
[17] - 0011101101011000111010101110111101111111 - [accuracy: 99.4, numBits: 27, time: 110.055]
[18] - 0110110100000010100000001101111110111010 - [accuracy: 99.3, numBits: 19, time: 57.4239]
[19] - 0101101100010110111010110100100101110011 - [accuracy: 99.3, numBits: 22, time: 91.1454]
[20] - 0001111110111010110101101001100101001111 - [accuracy: 98.4, numBits: 24, time: 92.8826]
[21] - 0001111110001001000101110111101011101101 - [accuracy: 99.2, numBits: 23, time: 74.9547]
[22] - 0110111100100011010010001011010001011111 - [accuracy: 99.45, numBits: 21, time: 73.6697]
[23] - 1110111000100111000001010011011000000111 - [accuracy: 99.6, numBits: 19, time: 70.0324]
[24] - 1011011000100000010111110001010000101111 - [accuracy: 98.1, numBits: 19, time: 56.4744]
[25] - 0100101000110110010010010010011001011000 - [accuracy: 99.55, numBits: 16, time: 48.9463]
[26] - 0110111101110011011100110010010010001001 - [accuracy: 99.25, numBits: 21, time: 75.3859]
[27] - 1011000111000100010011101000010111110110 - [accuracy: 99, numBits: 20, time: 79.5173]
