Max Fitness:   99.7
Min Fitness:   98.45
Avg Fitness:   99.1635
[00] - 0110000101101001110011001100000010000110 - [accuracy: 98.85, numBits: 16, time: 2.07667]
[01] - 0010001010101111110101001101000100110101 - [accuracy: 99.2, numBits: 20, time: 2.25017]
[02] - 0101111011011010110000110100110110100110 - [accuracy: 98.9, numBits: 22, time: 2.31705]
[03] - 1110111111111100111101110100010010011100 - [accuracy: 99.1, numBits: 26, time: 2.38989]
[04] - 1010001110100010111011000101110011111011 - [accuracy: 99.15, numBits: 23, time: 2.20523]
[05] - 1011101001000111010000000000111000011000 - [accuracy: 99.4, numBits: 15, time: 2.06609]
[06] - 1100001111100000010100010010010000010100 - [accuracy: 98.9, numBits: 14, time: 2.23818]
[07] - 1011010101011010100110101010101110010101 - [accuracy: 99.35, numBits: 22, time: 2.09177]
[08] - 0110000100001001001000111011100001001010 - [accuracy: 98.95, numBits: 15, time: 2.14886]
[09] - 1001100110011110110110110010110011000101 - [accuracy: 99.1, numBits: 22, time: 2.29345]
[10] - 1011001010110111110001100010110101001011 - [accuracy: 99.05, numBits: 22, time: 1.86915]
[11] - 0111001011100101001011101010100011100111 - [accuracy: 99.15, numBits: 22, time: 2.1758]
[12] - 0101010110110011100000000000100010101010 - [accuracy: 99, numBits: 15, time: 2.09087]
[13] - 0010110010100001011011011011010101111100 - [accuracy: 99.25, numBits: 21, time: 2.2673]
[14] - 1000011001100100010100000101111110011000 - [accuracy: 99.55, numBits: 17, time: 1.9186]
[15] - 1010011001111100111101001101100111110111 - [accuracy: 99, numBits: 26, time: 2.12748]
[16] - 0100010010100100101011100111010101001100 - [accuracy: 98.95, numBits: 18, time: 2.1285]
[17] - 1100100010101110100110111100011011000010 - [accuracy: 99.5, numBits: 20, time: 2.19523]
[18] - 0010001111010010010110100000101010110001 - [accuracy: 99.4, numBits: 17, time: 2.15834]
[19] - 0100111110000000111000010001100111011111 - [accuracy: 99.15, numBits: 20, time: 2.24007]
[20] - 1010000000000111100000000111100100111111 - [accuracy: 99, numBits: 17, time: 1.54399]
[21] - 0000001000101101101010100110010100100101 - [accuracy: 98.55, numBits: 16, time: 1.74762]
[22] - 0111100110100101001110010001001000101010 - [accuracy: 99.5, numBits: 18, time: 1.67824]
[23] - 0101010010011010111100101111101010000011 - [accuracy: 99.45, numBits: 21, time: 1.97299]
[24] - 1100010110011001100100001001111000110001 - [accuracy: 99.55, numBits: 18, time: 1.85876]
[25] - 1111000101100101111000111101011000100000 - [accuracy: 99.4, numBits: 20, time: 2.03828]
[26] - 0110100011100110001110111101100001010001 - [accuracy: 99.25, numBits: 20, time: 2.05106]
[27] - 0101011101111011010000000010110000110110 - [accuracy: 98.75, numBits: 19, time: 2.2151]
[28] - 0000111010011010000001011000101011111110 - [accuracy: 99.4, numBits: 19, time: 2.0512]
[29] - 1101111000001011000011101000011101101001 - [accuracy: 99.2, numBits: 20, time: 2.03649]
[30] - 1110010110111111011011000100011111010000 - [accuracy: 99.35, numBits: 23, time: 1.74345]
[31] - 0010110100011010100101010001101011110110 - [accuracy: 99.35, numBits: 20, time: 1.48163]
[32] - 1101101111011100001011000110111000110101 - [accuracy: 99.5, numBits: 23, time: 1.65208]
[33] - 1110111000010000001010111011001101000100 - [accuracy: 99.2, numBits: 18, time: 1.84689]
[34] - 0000101000001110010011000001101110010111 - [accuracy: 99.45, numBits: 17, time: 1.87848]
[35] - 1010101001111100101101101111010010010111 - [accuracy: 99.1, numBits: 24, time: 2.21486]
[36] - 1010010011101000100011001110111000001001 - [accuracy: 99.45, numBits: 18, time: 1.90855]
[37] - 0010000001111100101010011101000000011101 - [accuracy: 98.8, numBits: 17, time: 1.92298]
