Max Fitness:   99.8
Min Fitness:   99
Avg Fitness:   99.6225
[00] - 1000010101110110011001001110100100100100 - [accuracy: 99.15, numBits: 18, time: 9.62284]
[01] - 1011110111100000100100001111110010000001 - [accuracy: 99.55, numBits: 19, time: 9.86663]
[02] - 0010011001000101111011100010001101011101 - [accuracy: 99.75, numBits: 20, time: 9.19431]
[03] - 0011000101111101110010101101000110010100 - [accuracy: 99.65, numBits: 20, time: 9.60852]
[04] - 1000100010010000101011000000001110000000 - [accuracy: 99.75, numBits: 11, time: 8.30629]
[05] - 1111110101111111010000010000010000000010 - [accuracy: 99.25, numBits: 18, time: 10.0331]
[06] - 1010000000110110111000010110110100001011 - [accuracy: 99.35, numBits: 18, time: 9.64762]
[07] - 1011000100010101001100000000101001000100 - [accuracy: 99.7, numBits: 13, time: 8.44379]
[08] - 1101010010011000100010001001110000001111 - [accuracy: 99.45, numBits: 17, time: 9.60362]
[09] - 0111111100110110000101001111011100000010 - [accuracy: 99.7, numBits: 21, time: 9.31281]
[10] - 1001000000011011010000011011100010010001 - [accuracy: 99.7, numBits: 15, time: 9.0958]
[11] - 0000001100010001101011101100000100111001 - [accuracy: 99.7, numBits: 16, time: 9.50003]
[12] - 0001111010001011010000110110101010000101 - [accuracy: 99.75, numBits: 18, time: 9.39983]
[13] - 1101011011111000000000011111000011010101 - [accuracy: 99.55, numBits: 20, time: 9.13143]
[14] - 0110000001001101010101000001000110100100 - [accuracy: 99.45, numBits: 14, time: 9.20288]
[15] - 1111010110010111110001101001001000100111 - [accuracy: 99.65, numBits: 22, time: 8.76791]
[16] - 0010100100111110010100101011100011100111 - [accuracy: 99.55, numBits: 21, time: 9.55265]
[17] - 1101000000100111110101111111011000100110 - [accuracy: 99.65, numBits: 22, time: 8.6106]
[18] - 1111011101110101011111111100011001011110 - [accuracy: 99.75, numBits: 28, time: 8.47484]
[19] - 0011011011000110011110100111011100101011 - [accuracy: 99.65, numBits: 23, time: 8.73068]
[20] - 0110111010100011010101100000001010111011 - [accuracy: 99.8, numBits: 20, time: 8.92828]
[21] - 1010111001101011001100001011110010111010 - [accuracy: 99.6, numBits: 22, time: 9.7589]
[22] - 0111101010011100000110011111101100101010 - [accuracy: 99.65, numBits: 22, time: 9.46535]
[23] - 1100111111110110001011011111000101100110 - [accuracy: 99.5, numBits: 25, time: 9.51664]
[24] - 0001011101110110110100011010111001101111 - [accuracy: 99.65, numBits: 24, time: 8.85791]
[25] - 0011011011111001000011011100110000110011 - [accuracy: 99.65, numBits: 21, time: 9.80569]
[26] - 0110001100100101100101110000100101111101 - [accuracy: 99.7, numBits: 20, time: 8.78958]
[27] - 1001001011110001111001011110011001100001 - [accuracy: 99.7, numBits: 21, time: 9.06748]
[28] - 0001110110100001111011111101010011111000 - [accuracy: 99.6, numBits: 23, time: 9.0649]
[29] - 0010010011001100000001110100111010110111 - [accuracy: 99.8, numBits: 19, time: 8.32911]
[30] - 1010001101010100111000100010110110110011 - [accuracy: 99.6, numBits: 20, time: 9.06908]
[31] - 0100111010000101010010100101010011000001 - [accuracy: 99.55, numBits: 16, time: 9.00408]
[32] - 0110110110000110100100111011001000110110 - [accuracy: 99.75, numBits: 20, time: 9.17313]
[33] - 1110101101001001001100001100110111110000 - [accuracy: 99.65, numBits: 20, time: 9.09848]
[34] - 1111100001101111111111011011010010100110 - [accuracy: 99.5, numBits: 26, time: 9.73352]
[35] - 0110101001101010001000110001101010101101 - [accuracy: 99.65, numBits: 19, time: 9.5729]
[36] - 0001110100010111110101010111001111101100 - [accuracy: 99.75, numBits: 23, time: 8.92545]
[37] - 1010011011111100100000110011010100001111 - [accuracy: 99.55, numBits: 21, time: 10.1331]
[38] - 1001010010010110000101111101110001000001 - [accuracy: 99.55, numBits: 18, time: 9.39058]
[39] - 0101110001110010110001100110000010010111 - [accuracy: 99.5, numBits: 19, time: 9.62513]
[40] - 0011000011000011000010111100011100100010 - [accuracy: 99.75, numBits: 16, time: 8.01119]
[41] - 1000011001010111111011010101111000100010 - [accuracy: 99.65, numBits: 21, time: 8.29264]
[42] - 0000010110001000101101000110000010110101 - [accuracy: 99.65, numBits: 15, time: 8.27816]
[43] - 1001101011011001001001000010100110100010 - [accuracy: 99.55, numBits: 17, time: 9.98769]
[44] - 0111000001111110000001111010110000100111 - [accuracy: 99.3, numBits: 20, time: 9.31665]
[45] - 1000010001011010111000101010011111001110 - [accuracy: 99.7, numBits: 20, time: 7.94307]
[46] - 1010011101001110001000000100010010001001 - [accuracy: 99, numBits: 15, time: 8.61741]
[47] - 0100010101100000100101000100100110101001 - [accuracy: 99.5, numBits: 15, time: 8.85524]
[48] - 0001001110100100010001001001111011110100 - [accuracy: 99.7, numBits: 18, time: 7.81896]
[49] - 0000111010111110001110100100001010000111 - [accuracy: 99.65, numBits: 19, time: 7.87836]
[50] - 1000001010101111010000010100101100001000 - [accuracy: 99.7, numBits: 15, time: 7.00098]
[51] - 1000100111001101000011010001011110010100 - [accuracy: 99.8, numBits: 18, time: 7.87819]
[52] - 0000110000110100010001000110011101101001 - [accuracy: 99.75, numBits: 16, time: 8.07774]
