Max Fitness:   99.4
Min Fitness:   97.85
Avg Fitness:   98.883
[00] - 0111110000100000101001110111110111000101 - [accuracy: 98.4, numBits: 21, time: 2.74788]
[01] - 1000000001111000101010000011011011001110 - [accuracy: 98.75, numBits: 17, time: 2.83461]
[02] - 1000010010111101010001001110101001111000 - [accuracy: 99.3, numBits: 19, time: 2.39786]
[03] - 0110011000110001100000110011011101101101 - [accuracy: 98.9, numBits: 20, time: 2.72265]
[04] - 1110100100011101010010011110100100100100 - [accuracy: 98.65, numBits: 19, time: 2.66215]
[05] - 0001000001111110101110000101110010000011 - [accuracy: 98.3, numBits: 18, time: 2.4142]
[06] - 0101100000000000011011011010111100110101 - [accuracy: 99, numBits: 18, time: 2.63399]
[07] - 1000010110100110010100101010000001010100 - [accuracy: 98.85, numBits: 15, time: 2.75862]
[08] - 1100110101100111000011110101111101111110 - [accuracy: 99.4, numBits: 26, time: 2.4791]
[09] - 0111000011101001001110100001010101010111 - [accuracy: 99.1, numBits: 20, time: 2.99791]
[10] - 0111111000001111111111001111010100100011 - [accuracy: 98.2, numBits: 25, time: 2.86313]
[11] - 1101011010000110001000011100011000111001 - [accuracy: 99.05, numBits: 18, time: 2.63625]
[12] - 1011100011100111010010010110011111110111 - [accuracy: 99.15, numBits: 25, time: 2.23637]
[13] - 1101001011100100110010111101001111011001 - [accuracy: 99.3, numBits: 23, time: 2.90258]
[14] - 0100100101001110000101001101100101100000 - [accuracy: 98.7, numBits: 16, time: 2.82093]
[15] - 1001001000001011010101100100111010010100 - [accuracy: 99.15, numBits: 17, time: 2.54125]
[16] - 0010101101001011101010100110101101111100 - [accuracy: 99.05, numBits: 22, time: 2.83643]
[17] - 1100101000111010111110001001111000000010 - [accuracy: 99.1, numBits: 19, time: 2.63575]
[18] - 1000000001100000001111000110101001110000 - [accuracy: 99.3, numBits: 14, time: 2.71391]
[19] - 0100100010011000110110100110100111111001 - [accuracy: 99.2, numBits: 20, time: 2.58856]
[20] - 0010110101000010101001100100100001101110 - [accuracy: 98.55, numBits: 17, time: 2.08877]
[21] - 1101110001010001100011110001011100110100 - [accuracy: 99.25, numBits: 20, time: 2.5801]
[22] - 0001001000011011011101011011110000110111 - [accuracy: 98.55, numBits: 21, time: 2.70647]
[23] - 1010010101011110100111111010101100111100 - [accuracy: 98.95, numBits: 24, time: 2.53711]
[24] - 1000111110011110000000111000101111111001 - [accuracy: 99.25, numBits: 22, time: 3.01308]
[25] - 0000100001011110111101011100011110111010 - [accuracy: 98.8, numBits: 22, time: 2.81464]
[26] - 1111010000111000010000001110010010011000 - [accuracy: 98.2, numBits: 16, time: 2.61234]
[27] - 0111100110001011001100111111111011011011 - [accuracy: 99.25, numBits: 26, time: 2.53151]
[28] - 1111000110001010111111000011110010011011 - [accuracy: 98.65, numBits: 23, time: 2.52069]
[29] - 0011010001111001001011100101100000001110 - [accuracy: 97.85, numBits: 18, time: 2.61281]
[30] - 1000001110010101000011110000110001010011 - [accuracy: 99, numBits: 17, time: 2.16727]
[31] - 1101000111001101001100011001101011100000 - [accuracy: 98.95, numBits: 19, time: 2.5355]
[32] - 0001000010000011101000000010110101000110 - [accuracy: 98.5, numBits: 13, time: 1.95747]
[33] - 0100000101010100111101001111101100000001 - [accuracy: 98.9, numBits: 18, time: 2.39058]
[34] - 0011111110010101010000101110000111011100 - [accuracy: 98.75, numBits: 21, time: 2.74631]
[35] - 0100000111101100001111000010010110101011 - [accuracy: 98.75, numBits: 19, time: 2.32489]
[36] - 1110001110001100011010011110111101111101 - [accuracy: 99.4, numBits: 25, time: 2.43169]
[37] - 0110011010110101100111011001010101101011 - [accuracy: 98.5, numBits: 23, time: 2.51777]
[38] - 1101111111101110001110011100001100111110 - [accuracy: 98.65, numBits: 26, time: 2.12672]
[39] - 1010011011111011110001000000111110111101 - [accuracy: 99.05, numBits: 24, time: 2.23884]
[40] - 1000011010001000010001101101100011111101 - [accuracy: 98.75, numBits: 19, time: 1.64839]
[41] - 1011101010001011011101011110111001111111 - [accuracy: 99.25, numBits: 27, time: 2.45644]
[42] - 1011101100100101110010111110010011000100 - [accuracy: 98.6, numBits: 21, time: 2.33129]
[43] - 1011011111001001101010101110101100000001 - [accuracy: 98.9, numBits: 21, time: 2.43052]
[44] - 1101010110000000001100011111000111110111 - [accuracy: 98.95, numBits: 21, time: 2.50452]
[45] - 1010000001010101100101000000111100100011 - [accuracy: 98.75, numBits: 16, time: 2.47825]
[46] - 1000101101000110110000010101110100101111 - [accuracy: 98.45, numBits: 20, time: 2.74708]
[47] - 0101110011111110111101010011101000010101 - [accuracy: 99, numBits: 24, time: 2.44408]
[48] - 0010100110001110010000100100010111111101 - [accuracy: 99, numBits: 19, time: 2.22019]
[49] - 1111010000010111100000110010011011011000 - [accuracy: 99.3, numBits: 19, time: 2.50064]
[50] - 1010010000001101111011000100000011010110 - [accuracy: 98.85, numBits: 17, time: 1.80686]
[51] - 1010110101101001000000011110011111010001 - [accuracy: 99.3, numBits: 20, time: 2.4393]
[52] - 0011101111100000110010011010110001110111 - [accuracy: 99.2, numBits: 22, time: 2.55205]
[53] - 1111111110111111000010000000011101101010 - [accuracy: 98.9, numBits: 23, time: 2.72681]
[54] - 1100110010010110100110100001100000110101 - [accuracy: 98.65, numBits: 18, time: 2.61063]
[55] - 1000100101100000111000110010010001010111 - [accuracy: 98.35, numBits: 17, time: 2.45695]
[56] - 1111100100010101010000100000001111000101 - [accuracy: 99.05, numBits: 17, time: 2.48053]
[57] - 1001100011100000011111000111010100100000 - [accuracy: 98.2, numBits: 17, time: 2.2643]
[58] - 1101010111000011000000011110000101101110 - [accuracy: 98.8, numBits: 19, time: 2.47318]
[59] - 1011111101000101111110110100001000001101 - [accuracy: 99.15, numBits: 22, time: 2.6059]
[60] - 1001111101000001111010001001000111110101 - [accuracy: 99, numBits: 21, time: 2.03022]
[61] - 0101110001011101100011110001101001110000 - [accuracy: 99.2, numBits: 20, time: 2.69653]
[62] - 1001100110111100100111011010011101100100 - [accuracy: 98.95, numBits: 22, time: 2.72781]
[63] - 0100101111011110101100000001101001010101 - [accuracy: 99.15, numBits: 20, time: 2.74723]
[64] - 1100001100101111000100010000010100111111 - [accuracy: 98.95, numBits: 19, time: 2.73714]
[65] - 0001011011001010000000011000110100100001 - [accuracy: 98.7, numBits: 14, time: 2.68058]
[66] - 1001001110010001010010010101101111111111 - [accuracy: 99.25, numBits: 23, time: 2.51844]
[67] - 1100010110100101101010001101010011000011 - [accuracy: 98.85, numBits: 19, time: 2.51325]
[68] - 0101111000110110010111110111011011001011 - [accuracy: 99.1, numBits: 25, time: 2.66168]
[69] - 0001100100111010011010100111101001010010 - [accuracy: 98.85, numBits: 19, time: 2.31869]
[70] - 1100110000010100110101101001001011111010 - [accuracy: 99.15, numBits: 20, time: 1.92036]
[71] - 0101101000100101110010110001011011100100 - [accuracy: 99.35, numBits: 19, time: 2.54208]
[72] - 0000100100001111111010100110011101100010 - [accuracy: 99, numBits: 19, time: 2.50603]
[73] - 1000110111110011100001010011011110110100 - [accuracy: 99, numBits: 22, time: 2.44745]
[74] - 0011010010101110111100011001001111000000 - [accuracy: 99.15, numBits: 19, time: 2.50876]
[75] - 1000101110011110010000111111001100000110 - [accuracy: 98.95, numBits: 20, time: 2.44277]
[76] - 1000011000000101110110010101010100001001 - [accuracy: 98.65, numBits: 16, time: 2.43443]
[77] - 0100100001111010111011010011101110001011 - [accuracy: 98.9, numBits: 22, time: 2.64946]
[78] - 1111101101111111011011111100011000101100 - [accuracy: 98.75, numBits: 27, time: 1.93732]
[79] - 0100110001000000100000011111111011010011 - [accuracy: 99.25, numBits: 18, time: 1.88577]
[80] - 0001001011010101100000001110110000100110 - [accuracy: 98.5, numBits: 16, time: 2.12272]
[81] - 0011101010010100001011001000100000111100 - [accuracy: 98.9, numBits: 16, time: 1.79177]
