@RELATION twitter
@ATTRIBUTE avg_length_chars		real
@ATTRIBUTE avg_length_words		real
@ATTRIBUTE avg_sentiment_pos_words		real
@ATTRIBUTE avg_sentiment_neg_words		real
@ATTRIBUTE avg_sentiment_score		real
@ATTRIBUTE fract_contains_question		real
@ATTRIBUTE fract_contains_exclamation		real
@ATTRIBUTE fract_contains_multiple_quest_exlam		real
@ATTRIBUTE fract_contains_emoticon		real
@ATTRIBUTE avg_number_of_urls		numeric
@ATTRIBUTE fract_contains_pronoun_first_p		real
@ATTRIBUTE fract_contains_pronoun_second_p		real
@ATTRIBUTE fract_contains_pronoun_third_p		real
@ATTRIBUTE fract_contains_urls		real
@ATTRIBUTE fract_urls_top_100		real
@ATTRIBUTE fract_contains_user_mention		real
@ATTRIBUTE fract_contains_hashtag		real
@ATTRIBUTE fract_contains_company		real
@ATTRIBUTE fract_retweeted		real
@ATTRIBUTE num_tweets_day_mon		integer
@ATTRIBUTE num_tweets_day_tues		integer
@ATTRIBUTE num_tweets_day_wed		integer
@ATTRIBUTE num_tweets_day_thur		integer
@ATTRIBUTE num_tweets_day_fri		integer
@ATTRIBUTE num_tweets_day_sat		integer
@ATTRIBUTE num_tweets_day_sun		integer
@ATTRIBUTE most_commonly_tweeted_hour		integer
@ATTRIBUTE fract_source_unpopular		real
@ATTRIBUTE fract_source_unpop_w_url		real
@ATTRIBUTE fract_self_promoting		real
@ATTRIBUTE user_age		numeric
@ATTRIBUTE user_status_count		numeric
@ATTRIBUTE user_num_followers		numeric
@ATTRIBUTE user_num_friends		numeric
@ATTRIBUTE user_verified		{0,1}
@ATTRIBUTE user_has_description		{0,1}
@ATTRIBUTE user_has_url		{0,1}
@ATTRIBUTE user_has_default_profile_image		{0,1}
@ATTRIBUTE user_reputation_ratio		real
@ATTRIBUTE user_followers_to_lifetime		real
@ATTRIBUTE class 		{REAL,SOCIAL}
@DATA
96,14,0.0792033235581623,0.09232974910394262,-0.07077979797979808,0.008797653958944282,0.07298794395568589,0.029651352231997392,0.30791788856304986,0,0.08602150537634409,0.03519061583577713,0.19452590420332355,0.15933528836754643,0.15705441511893126,0.39002932551319647,0.3812316715542522,0.002932551319648094,0.0,538,577,533,586,532,73,230,16,0.0,0.0,0.002280873248615184,1537,4854,337,256,0,0,0,0,0.5682967959527825,0.2192582953806116,REAL
51,8,0.11669657794676816,0.07815703422053233,0.049575741444866865,0.11596958174904944,0.132319391634981,0.04714828897338403,0.1634980988593156,0,0.22509505703422053,0.12927756653992395,0.11977186311787072,0.08288973384030418,0.06806083650190115,0.4908745247148289,0.08821292775665399,0.0007604562737642585,0.0,352,332,380,407,427,336,396,17,0.00038022813688212925,0.00038022813688212925,0.038403041825095054,2687,105025,543,327,0,0,0,0,0.6241379310344828,0.2020841086713807,REAL
113,16,0.046365308804204995,0.07085019710906702,-0.0648102496714849,0.001314060446780552,0.009198423127463863,0.003942181340341655,0.0328515111695138,0,0.022339027595269383,0.003942181340341655,0.030223390275952694,0.018396846254927726,0.01576872536136662,0.09461235216819974,0.9802890932982917,0.01971090670170828,0.0,57,80,152,193,78,162,39,11,0.0,0.0,0.0,2018,14537,865,250,0,1,1,0,0.7757847533632287,0.4286422200198216,REAL
68,10,0.13933176100628933,0.0876965408805031,0.0810495283018867,0.10062893081761007,0.20754716981132076,0.0660377358490566,0.3128930817610063,0,0.3805031446540881,0.24842767295597484,0.16352201257861634,0.13050314465408805,0.1069182389937107,0.5581761006289309,0.13050314465408805,0.0,0.0,99,107,130,122,58,74,46,5,0.03459119496855346,0.026729559748427674,0.0,1395,718,118,224,0,1,1,0,0.34502923976608185,0.08458781362007169,REAL
108,15,0.15993780607247815,0.028465230166503444,0.2672782566111657,0.0416258570029383,0.2693437806072478,0.2335945151811949,0.48726738491674826,0,0.13026444662095985,0.044564152791381,0.11557296767874632,0.2238001958863859,0.21302644466209597,0.8379040156709109,0.410871694417238,0.0034280117531831538,0.0,220,356,337,391,287,246,205,17,0.0,0.0,0.06121449559255632,2115,108575,15305,1543,0,1,1,0,0.9084164292497626,7.236406619385343,REAL
45,7,0.1006378418329637,0.09828455284552842,-0.0025237989652623686,0.06688839615668885,0.02180339985218034,0.007760532150776054,0.25942350332594233,0,0.22246858832224686,0.09349593495934959,0.09793052475979305,0.056910569105691054,0.05580192165558019,0.376940133037694,0.009238728750923873,0.0007390983000739098,0.0,356,365,366,415,392,404,408,3,0.0011086474501108647,0.0003695491500369549,0.013303769401330377,1488,3719,220,198,0,1,0,0,0.5263157894736842,0.1478494623655914,REAL
39,7,0.08275524208921087,0.12823255813953485,-0.07060758673274878,0.05756767060617613,0.0057186427754479605,0.0019062142584826535,0.09950438429279451,0,0.2943194815097217,0.02783072817384674,0.1517346549752192,0.004574914220358368,0.002287457110179184,0.3938238658025162,0.003431185665268776,0.0003812428516965307,0.0,529,311,474,514,372,214,209,7,0.0,0.0,0.013724742661075104,1384,25931,555,365,0,1,0,0,0.6032608695652174,0.40101156069364163,REAL
75,9,0.05372602739726028,0.06259178082191783,-0.0022443835616438373,0.10410958904109589,0.09863013698630137,0.06027397260273973,0.6904109589041096,0,0.11506849315068493,0.038356164383561646,0.04657534246575343,0.33972602739726027,0.336986301369863,0.7315068493150685,0.12876712328767123,0.0,0.0,35,60,44,55,57,65,49,20,0.052054794520547946,0.052054794520547946,0.0410958904109589,1368,10423,169,313,0,1,1,0,0.3506224066390041,0.12353801169590643,REAL
73,12,0.07998363338788873,0.194800327332242,-0.21776726677577732,0.11947626841243862,0.01309328968903437,0.027823240589198037,0.02618657937806874,0,0.24549918166939444,0.15548281505728315,0.19803600654664485,0.0016366612111292963,0.0016366612111292963,0.7757774140752864,0.02618657937806874,0.004909983633387889,0.0,61,152,83,116,98,15,86,1,0.0,0.0,0.09492635024549918,1400,711,49,205,0,1,0,0,0.19291338582677164,0.035,REAL
100,15,0.08725978191148175,0.07740410519563819,0.008105067350865894,0.16516998075689546,0.12796664528543938,0.059012187299550996,0.24246311738293777,0,0.27196921103271327,0.15747273893521488,0.2924951892238615,0.1241180243745991,0.12187299550994227,0.6497754971135343,0.2617062219371392,0.004169339320076972,0.0,254,634,470,410,508,372,470,22,0.005452212957023733,0.005131494547787043,0.005131494547787043,3276,23645,1008,1756,0,1,1,0,0.36468885672937773,0.3076923076923077,REAL
95,15,0.13775486753909988,0.04421640600063832,0.20305857006064493,0.23874880306415577,0.02681136291094797,0.04596233641876796,0.13756782636450687,0,0.38365783593999364,0.26172997127353975,0.37248643472709864,0.08873284391956592,0.08522183210979892,0.9253112033195021,0.03415256942227896,0.0006383657835939994,0.0,447,539,552,528,349,398,320,14,0.009575486753909991,0.0003191828917969997,0.24194063198212576,2679,62631,52287,209,0,1,1,0,0.9960187442852789,19.517357222844346,REAL
