Id,Chrom,Accuracy,NumBits,Time
00,0000000010000000000000000010011001001000,99.3,3,1.39315
01,0000000010000000000000000000001001000000,99.3,3,1.51253
02,0000000010000000000000000000001001000000,99.3,3,1.51253
03,0000000010000000000000000000001001000000,99.3,3,1.51253
04,0000000010000000000000000000001001000000,99.3,3,1.51253
05,0000000010000000000000000000001001000000,99.3,3,1.51253
06,0000000010000000000000000000001001000000,99.3,3,1.55008
07,0000000110000000000000000010011001000000,99.3,3,1.55008
08,0000000010000000000100000000011001001000,99.3,3,1.38034
09,0000000010000000000000000000001001001000,99.3,3,1.39098
10,0000000010000000000000000000001001000000,99.3,3,1.51253
11,0000000010000000000000000000011001000000,99.65,4,1.43704
12,0000000010000000000000000000011001000000,99.65,4,1.43704
13,0000000110000000000000000000001001000000,99.65,4,1.62188
14,0000000010000000000000000000011001001000,99.65,4,1.43421
15,0000000010000000000000000000011001000000,99.65,4,1.43421
16,0000000010000000000000000000011001000000,99.65,4,1.43421
17,0000000110000000000000000000011001001000,99.65,4,1.3292
18,0000000010000000000000000001101001000000,99.65,4,1.51205
19,0000000010000000000000000001101001000000,99.65,4,1.54175
20,0000000010000000000000000000011000000000,99.3,3,1.4515
21,0000000010000000000000000010001001000000,99.65,4,1.36697
22,0000000010000000000000000000101001000000,99.65,4,1.55467
23,0000000010000000000000000000001001001000,99.65,4,1.47999
24,0000000010000000000000000001101001000000,99.65,4,1.56752
25,0000000010000000000000000000101001000000,99.65,4,1.55467
26,0000000010000000000000000010001001000000,99.65,4,1.36697
27,0000000010000000000000000000001001001000,99.65,4,1.44922
28,0000000010000000000000000000011001001000,99.65,4,1.40609
29,0000000010000000000000000000011001001000,99.65,4,1.36697
30,0000000010000000000000000000101001000000,99.65,4,1.55467
31,0000000010000000000000000010001001000000,99.65,4,1.08855
32,0000000010000000000000000001001001001000,99.65,4,1.30663
33,0000000010000000000000000000011001001000,99.7,5,1.5905
34,0000000010010000000000000000011001000000,99.7,5,1.45366
35,0000000010000000000000000000011001001000,99.7,5,1.5905
36,0000000010000000000000000000011001001000,99.7,5,1.5905
37,0000000010000000000000000000011001001000,99.7,5,1.5905
38,0000000010000000000000000010011001000000,99.7,5,1.64574
39,0000000010000000000000000000011001001000,99.7,5,1.5905
40,0000000010000000000000000000011001001000,99.7,5,1.5905
41,0000000010000000000000000000011001001000,99.7,5,1.5905
42,0000000010000000000000000000011001001000,99.7,5,1.5905
43,0000000110000000000000000000101001000000,99.7,5,1.54637
44,0000000010000000001000000000011001000000,99.7,5,1.57576
45,0000000010000000000000000000011001000000,99.7,5,1.53641
46,0000000110000000000000000000001001001000,99.7,5,1.40329
47,0000000010000000000000000000011001000100,99.7,5,1.43229
48,0000000010000000000000000000011001001000,99.7,5,1.53641
49,0000000010000000000000000010011001000000,99.7,5,1.64574
