Id,Chrom,Accuracy,NumBits,Time
00,0010000010000001000000000000001000010010,99.55,6,2.92223
01,0001010010000001000000000000001000010010,99.6,7,4.00374
02,0001010010000001000000000000001000010010,99.6,7,4.10361
03,0001010010000001000000000010001001010110,99.6,7,3.2537
04,0110010010000001000000000000001000010010,99.6,8,4.18244
05,0110010010000001000000000000001000010010,99.6,8,4.18244
06,0110010010000001000000000000001000010010,99.6,8,4.18244
07,0110010010000001000000000000001000010010,99.6,8,4.18244
08,0110010010000001000000000000001000010010,99.6,8,4.18244
09,0110010010000001000000000000001000010010,99.6,8,3.87047
10,0101010010001001000000000000001000010010,99.6,8,3.87047
11,0110010010001001000000000000001000010010,99.45,6,3.76948
12,0100010010000001000000000000001000010010,99.6,7,4.19012
13,0010000010000101000000000000001000010010,99.6,7,4.10734
14,0010001010000001000000000000001000010110,99.6,7,3.50112
15,0001010010001001000000000000001000010010,99.6,8,4.13422
16,0011010010000001000000000000001000010010,99.6,8,4.15126
17,0001010010001001000000000000001000010010,99.6,8,4.13422
18,0100010010001001000000000000001000010010,99.6,8,3.48253
19,0100010010001001000000000000101000010010,99.6,8,4.31114
20,0100010010001001000000000000001000010011,99.6,8,4.31114
21,0100011010001001000000000000001000111010,99.6,8,4.12095
22,0001010010000001000000000010001000011010,99.6,8,4.06622
23,0110010010000001000000000000001000010010,99.6,8,5.16846
24,0100010010001001000000000000001000011010,99.6,8,3.97881
25,0001010010000001000000000000001000010011,99.6,8,4.07031
26,0001010010000001000000000000001000010010,99.6,8,4.08484
27,0001010010001001000000000000001000011111,99.6,8,3.84412
28,0100010010001001000000000000001000010010,99.6,8,3.48253
29,0001010010000001000000000010001000010010,99.6,8,4.18248
30,0100010010001001000000000000001000010010,99.6,8,3.48253
31,0001010010001001000000000000001000010010,99.6,8,4.13422
32,0100010010001001000000000010001001010010,99.6,8,3.97881
33,0001010010001001000000000000001000010010,99.6,8,4.30805
34,0100000010001001000000000000001000010010,99.6,8,4.22619
35,0110010010001001000000000000001000010010,99.65,9,3.84976
36,0110010010000001000000000000001001010010,99.65,9,3.62628
37,0110010010001001000000000000001000010010,99.65,9,3.84976
38,0110010010001001000000000000001000010010,99.65,9,3.84976
39,0110010010000001000000000000001000010110,99.65,9,3.89428
40,1110010010000001000000000000001000010010,99.65,9,3.79241
41,0110010010001001000000000000001000010010,99.65,9,3.84976
42,0110010010000001000000000000001000010110,99.65,9,3.89428
43,0110010010001001000000000000001000010010,99.65,9,3.84976
44,0110010010000001000000000000001000010110,99.65,9,3.89428
45,0110010010000001000000000000001000010110,99.65,9,3.89428
46,0110010010001001000000000000001000010010,99.65,9,4.07732
47,0110010010000001000000000000001000010110,99.65,9,3.89428
48,0110010010001001000000000000001000010010,99.65,9,3.84976
49,0110010010001001000000000000001000010010,99.65,9,3.84976
50,0110010010000001001000000000001000010010,99.65,9,4.45415
51,0110010010000001000000000010001000010010,99.65,9,4.44108
52,0110010010000001000000000000101000010010,99.65,9,4.16143
53,0110010010001001000000000000001000010010,99.65,9,4.07732
54,0110010010000001001000000000001000010010,99.65,9,3.89887
55,0110010010000001000000000000001000010110,99.65,9,3.89428
56,0110010010000001000000000000001000010110,99.65,9,4.07362
57,0110010010001001000000000000001000011010,99.65,9,4.088
58,0110010010001001000000000000001000010010,99.65,9,4.12329
59,0110010010001001000000000000001000010010,99.65,9,4.07732
60,0110010010000001000000000000001000010110,99.65,9,4.07362
61,0110010010000001000000000000001000010010,99.65,9,4.07362
62,0110010010000001000000000000001000010110,99.65,9,4.07362
63,0110010010000001000000000000001000011010,99.65,9,4.07362
64,0110010010000001000000000000001000011010,99.65,9,3.94856
65,0110010010001001000000000000001000010011,99.65,9,4.07732
66,0110010010000001000000000000001000011010,99.65,9,4.07732
67,0110010010001001000000000000001000010010,99.65,9,4.07732
68,0110010010000001000000000000001000010110,99.65,9,4.07595
69,0110010010101001000000000000001000010110,99.65,9,3.42386
70,0110010010000001000000000000001000010110,99.65,9,4.07362
71,0001010010001001000000000000001000011010,99.65,9,2.15324
72,0110001010000001000000000000001000010110,99.65,9,6.22763
73,0110010010000001000000000000001000011010,99.65,9,4.19881
74,0110010010001001000000000000001000010010,99.65,9,4.12329
75,0110010010000001000000000000001000010110,99.65,9,4.07595
76,0100010010001001000000000000001000010011,99.65,9,4.07595
77,0110010010000001000000000000001000010110,99.65,9,3.88233
78,0110010010000001000000000000001000011010,99.65,9,4.07595
79,0100001010000000000000000000001000010010,99.6,7,4.03005
80,1110010010001001000000000000001000010010,99.65,10,4.17501
81,0001010010000001000000000000001000010010,99.65,9,3.3295
82,0110010010001101000000000000001000010010,99.65,10,4.06278
