Id,Chrom,Accuracy,NumBits,Time
00,1110011010010111100110110000001000010010,98.9,18,8.85778
01,0101001010010111100110110000001010010010,95.8,11,10.9873
02,0110011010101011100110110000001011010010,98.15,12,18.5582
03,0110011010010111100110110000001011010010,98.45,14,9.02553
04,0110011010010111100100110000001010010110,98.65,15,8.92641
05,0110001010010111100110110000001011010110,98.65,15,8.2734
06,0110011010010111100110100000001000010010,98.8,16,9.01216
07,1110011010010111100110100100001000010110,98.8,16,8.69109
08,0110011010010111100110010000001000010010,98.8,16,7.76611
09,0110011010010111100110100100001000010010,98.85,17,9.12403
10,0110011010010111100110110000001000010010,98.85,17,7.37812
11,0110011010010111100110110000001011010110,98.85,17,8.93948
12,0110011010010111100110110000001000010110,98.85,17,8.58402
13,0110011010010111100110100100001000010010,98.85,17,8.65289
14,1110011010010111100110110000001000010010,98.9,18,8.95759
15,1110011010010111100110110000001000010010,98.9,18,8.95759
16,1110011010010111100110110000001000010010,98.9,18,8.95759
17,1110011010010111100110110000001000010010,98.9,18,8.95759
18,1110011010010111100110110000001000010010,98.9,18,8.95759
19,1110011010010111100110110000001000010010,98.9,18,8.95759
20,1110011010010111100110110000001001010010,98.9,18,8.52983
21,1110011010010111100110110000001010010010,98.9,18,8.52983
22,1110011010010111100110110000001010010010,98.9,18,8.52983
23,1110011010010111100110110000001000010010,98.9,18,8.6095
24,1110011010010111110110000100001000010010,98.9,18,8.6095
25,1110011010010111100110110000001000010010,98.9,18,8.6095
26,1110011010010111100110110000001010010010,98.9,18,8.6095
27,1110011010010111100110110000001000010010,98.9,18,8.6095
28,1110011010010111100110110000001010010010,98.9,18,8.6095
29,1110011010010111100110110000001010010010,98.9,18,8.6095
30,1110011010010111100110110000001000010010,98.9,18,8.95759
31,1110011010010111100110110000001000010010,98.9,18,8.6095
32,1110011010010111100110110000001010010110,98.9,19,8.39392
33,1110011010010111100110110000001000010110,98.9,19,8.86689
34,0110011010010111100010010100001000010010,98.75,16,8.64755
35,0110011010010111100110110000001000010010,98.8,17,7.7674
36,1110011010010111100110010000001001010010,98.85,18,8.32159
37,0110011011010111100100110000001010010010,98.85,18,9.14756
38,0000011010010111100110110000001010010010,98.1,12,7.24272
39,0110011010010111110110000100001000010010,98.85,18,8.30345
40,1110011010010111100110110000001010010010,98.9,19,8.7748
41,1110011010010111100110110000001010010010,98.9,19,8.83933
42,1110011010010111100110110000001000010010,98.9,19,8.83933
43,1110011010010111100110110000001001010010,98.9,19,8.7748
44,1110011010010111100110110000001001010010,98.9,19,8.7748
45,1110011010010111100110110000001010010010,98.9,19,8.7748
46,1110011010010111100110110000001010010010,98.9,19,8.86689
47,1110011010010111100110110000001010010010,98.9,19,8.83933
48,1110011010010111100110110000001010010010,98.9,19,8.83933
49,1110011010010111100110110000001001010010,98.9,19,8.62006
50,1110011010010111100110110000001010010010,98.9,19,8.83933
51,1110011010010111100110110000001010010010,98.9,19,8.83933
