Id,Chrom,Accuracy,NumBits,Time
00,0000000000000001011000000001001010001000,99.1269,3,1.32561
01,0000100000000001000000000000001010000000,99.5891,4,1.38901
02,0000100000000001000000000000001010000000,99.5891,4,1.38901
03,0000000000000001001000000000001010000000,99.5378,4,1.42715
04,0000100000000001000000000000001010100000,99.5378,4,1.42715
05,0000101000000001101000000000001010000000,99.5378,4,1.36344
06,0000000000000001001000000000001010000000,99.5378,4,1.38157
07,0000000000000001001000000000001010000000,99.5378,4,1.47113
08,0000000000000001010000000000001010000000,99.5378,4,1.33255
09,0000101000000001011000000000001010000000,99.5378,4,1.29005
10,0000100000000001001000000000001010000000,99.5891,5,1.40296
11,0000100000000001010000000000001010000000,99.5891,5,1.46923
12,0000100000000001001000000000001010000000,99.5891,5,1.40296
13,0000100000000001001000000000001010000000,99.5891,5,1.40296
14,0000100000000001000000000000001010001000,99.5891,5,1.49235
15,0000100000000001001000000000001010000000,99.5891,5,1.40296
16,0000100000001001000000000000001010000000,99.5891,5,1.3368
17,0000100000000001001000000000001010000000,99.5891,5,1.40296
18,0000100000000001010000000000001010000000,99.5891,5,1.46923
19,0000100000000001001000000000001010000000,99.5891,5,1.40296
20,0000100000000001001000000000001010000000,99.5891,5,1.40296
21,0000101000000001000000000000001010000000,99.5891,5,1.40052
22,0000100000000001000000000001001010000000,99.5891,5,1.54089
23,0000100000000001001000000000001010000000,99.5891,5,1.40296
24,0000101000000001000000000000001010000000,99.5891,5,1.51539
25,0000100000000001000000000001001010000000,99.5891,5,1.54089
26,0000100000000001000000000001001010000000,99.5891,5,1.48359
27,0000100000000001010000000000001010000000,99.5891,5,1.46923
28,0000100000000001001000000000001010000000,99.5891,5,1.40296
29,0000100000000001001000000000001010000000,99.5891,5,1.40296
30,0000100000001001000000000000001010000000,99.5891,5,1.3368
31,0000100000000001000000000000001010001000,99.5891,5,1.49235
32,0000100000000001001000000000001010000000,99.5891,5,1.40296
33,0000101000000001000000000000001010000000,99.5891,5,1.40052
34,0000100000000001001000000000001010000000,99.5891,5,1.40296
35,0000100000000001001000000000001010000000,99.5891,5,1.40296
36,0000100000000001001000000000001010000000,99.5891,5,1.40296
37,0000100000000001001000000000001010000000,99.5891,5,1.40296
38,0000100000000001001000000000001010000000,99.5891,5,1.49842
39,0000100000000001000000000000001010100000,99.5891,5,1.55149
40,0000100000001001001000000000001010000000,99.5891,5,1.34504
41,0000100000000001010000000000001010000000,99.5891,5,1.44471
42,0000100000000001001000000000001010001000,99.5891,5,1.39082
43,0000100000000001000000000000001010100000,99.5891,5,1.55149
44,0000100000000001001000000000001010000000,99.5891,5,1.49842
45,0000100000000001001000000000001010000000,99.5891,5,1.49842
46,0000100000000001001000000000001010000000,99.5891,5,1.44471
47,0000100000000001001000000000001010001001,99.5891,5,1.49842
48,0000100000000001000000000000001010100000,99.5891,5,1.49842
49,0000101000000001001000000000001010000000,99.5891,5,1.51539
50,0000101000000001001000000000001010000000,99.5891,5,1.49842
51,0000100000000001001000000000001010000000,99.5891,5,1.49842
52,0000100000000001000000000000001010000000,99.5891,5,1.5083
53,0000100000000001001000000000001010000000,99.5891,5,1.48431
54,0000100100000001010000000001001010000000,99.5891,5,1.49144
55,0000100000000001000000000000001010010000,99.5891,5,1.48359
56,0000000000000001001000000000001010000000,99.5891,5,1.40489
57,0000100000000001000000000000001010001001,99.5891,5,1.47529
58,0000100000000001010000000000001010000000,99.5891,5,1.37147
59,0000100000000001001000000000001010001000,99.5891,5,1.21164
60,0000000000001001001000000000001010000000,99.5891,5,1.3267
61,0000100000000001001000000000001010000000,99.5891,5,1.49842
62,0000100000000001001000000000001010000000,99.5891,5,1.49842
63,0010000000000001001000000000001010001000,99.5891,5,1.3671
64,0000100000000001000000000001001010000000,99.5891,5,1.48431
65,0000101000000001010000000000001010000000,99.5891,5,1.39176
66,0000100000000001000000000000001010100000,99.5891,5,1.35425
67,0000100000000001001000000000001010000000,99.5891,5,1.48431
