Id,Chrom,Accuracy,NumBits,Time
00,0000000101111111100010001100001000010010,96.302,9,11.5755
01,0001000001111111100010001100011000010010,96.5588,10,10.552
02,0000000001110111100010001100001000010010,96.5588,10,10.9763
03,0000000101111111100010001100011000010010,96.5588,10,11.7387
04,0001010001111111100010001100001000010010,96.7129,11,11.2582
05,0001000001111111100010001100001000010010,96.8156,12,9.82217
06,0000000000110111100010001100001000010010,96.8156,12,10.5703
07,0000000000110111100010001100001000010010,96.8156,12,10.5703
08,0000000001111111110000001100011000010010,96.8156,12,11.1889
09,0000000000110111100010001100001000010010,96.8156,12,10.1288
10,0000000000110111100010001100001000010010,96.8156,12,10.1288
11,0000000000110111100010001100001000010010,96.8156,12,10.1288
12,0000000000110111100010001100001000010010,96.8156,12,10.1288
13,0000000000110111100010001100001000010010,96.8156,12,10.1288
14,0000000000110111100010001100001000010010,96.8156,12,10.5889
15,0000000000110111100010001100001000010010,96.8156,12,10.5889
16,0001000001110111100010001100001000010010,96.8156,12,10.5703
17,0000000001110111110000001100001000010010,96.8156,12,10.5799
18,0000000000110111100010001100011000010010,96.8156,12,10.1838
19,0000000000110111100010001100001000010010,96.8156,12,10.8278
20,0000000000110111100010001100001000010010,96.8156,12,10.5889
21,0000000000110111100010001100011000010010,96.8156,12,10.5582
22,0001000001111111100010001100001000010010,96.8156,12,10.5582
23,0000000001110111100010001100001010010010,96.8156,12,10.5582
24,0000000001111111100010001100001000010010,96.8156,12,10.5582
25,0000000000110111110000001100001000010010,96.8156,12,10.8652
26,0000000001111111100010001100001000010010,96.8156,12,10.8278
27,0000000101111111100010001100011000010010,96.8156,12,11.1889
28,0001000001111111100010001100001000010010,96.8156,12,10.6296
29,0000000000110111100010001100001000010010,96.8156,12,9.70741
30,0001000001111111100010001100001010010010,96.8156,12,10.8652
31,0000000000110111100010001100001000010010,96.8156,12,10.1288
32,0001000001101111100010001100001000010010,96.867,14,10.7917
33,0001000001111101100010001100001000010010,96.867,14,10.8321
34,0001000001111101100010001100001000010010,96.867,14,10.8321
35,0001000001101111100010001100001000010010,96.867,14,11.4294
36,0001000001111101100010001100001000010010,96.867,14,10.9302
37,0001000001101111100010001100001000010010,96.867,14,11.4294
38,0001000001111111100010001100001000010010,96.867,14,10.8004
39,0000000001111111100010001100001000010010,96.302,9,13.8282
40,0001000001110111100010001100001000010010,96.867,15,10.5539
41,0001000001111111100000001100001000010010,96.867,15,10.9561
42,0000000100110111110010001100011000010010,96.6615,11,11.5168
43,0001000001111111100010001100001000010010,96.6615,11,10.8727
44,0001000001110111100010001100001000010010,96.7643,12,10.3687
45,0001000001111111100000001100001000010010,96.7643,12,10.3788
46,0000000001111111100010001100011000010010,96.7643,12,9.60909
47,0101000100110111110010001100001000010010,96.8156,13,10.8887
48,0000000000110111100010001100001000010010,96.5074,10,10.8909
49,0001000001110111110000001100001000010010,96.8156,13,11.4151
50,0001000001111111100010001100011000010010,96.867,15,11.6596
51,0001000001111111100010001100001000010010,96.8156,13,10.8887
52,0000000000110111100010001100011000010010,96.8156,13,11.5818
53,0001000001101111100010001100001010010010,96.867,15,11.7269
54,0000000001111111100010001100001000010010,96.8156,13,11.8735
55,0000000000110101100010001100011000010010,96.8156,13,11.5818
56,0001000000110111100010001100001001010010,96.8156,13,11.5818
57,0000000000110111100010001100011000010010,96.8156,13,11.2489
58,0000000000110111100010001100001000010010,96.8156,13,11.2489
59,0000000001101111100010001100001010010010,96.8156,13,11.8735
60,0000000000110111100010001100001000010010,96.8156,13,11.8735
61,0001000001111111100010001100011000010010,96.8156,13,11.2489
62,0000000000110111100010001100011000010010,96.8156,13,11.8735
63,0000000000110111100010001100001000010010,96.8156,13,11.5818
64,0001000001111111100010001100001000010010,96.8156,13,11.8735
65,0000000000110111100010001100001000010010,96.8156,13,11.9768
66,0000000000110111100010001100011000010010,96.8156,13,11.2489
67,0000000001111111100010001100001000010010,96.8156,13,11.8735
68,0001000001111111100010001100001000010010,96.867,15,10.559
69,0001000001111111100010001100001000010010,96.867,15,11.5147
70,0001000001111111100010001100001000010010,96.867,15,11.2629
71,0001000001111111100010001100001000010010,96.867,15,11.5111
72,0001000001111111100010001100011000010010,96.867,15,10.6076
73,0001000001111111100010001100001000010010,96.867,15,11.5147
74,0001000001110111100010001100001000010010,96.867,15,11.7269
75,0001000001111111100010001100001000010010,96.867,15,11.5147
76,0001000001111111100010001100001000010010,96.867,15,11.321
77,0001000001111111100010001100001000010010,96.867,15,10.8895
78,0001000001101111100010001100001000010010,96.867,15,11.7513
79,0001000000110111100010001100001000010010,96.867,15,11.7513
80,0001000001111101100010001100001000010010,96.867,15,11.2907
81,0001000001111111100010001100001000010010,96.867,15,11.7513
82,0001000001111111100010001100001000010010,96.867,15,11.7513
83,0001000001111111100010001100001000010010,96.867,15,11.7513
84,0000000000110111100010001100001000010010,96.867,15,11.7513
85,0001000001111111100010001100001000010010,96.867,15,11.7513
86,0001000000110111100010001100001000010010,96.867,15,11.7513
87,0001000001111101100010001100011000010010,96.867,15,11.2907
88,0001000001111111100010001100011000010010,96.867,15,11.7513
89,0001000001111111100010001100001000010010,96.867,15,11.7513
90,0001000001101111100010001100001010010010,96.867,15,10.7938
91,0001000001111111100010001100001000010010,96.867,15,11.7513
92,0001000001111111100010001100001000010010,96.867,15,11.7513
93,0001000001111111100010001100001000010010,96.867,15,11.7513
94,0001000001111111100010001100001000010010,96.867,15,11.6596
95,0001000001111111100010001100001000010010,96.867,15,11.7513
96,0000000000110111100010001100011000010010,96.867,15,11.5147
97,0001000001111111100010001100001000010010,96.867,15,11.5147
98,0001000001111111100010001100001000010010,96.867,15,11.5147
99,0001000001111111100010001100001010010010,96.867,15,11.5147
