Id,Chrom,Accuracy,NumBits,Time
00,0000000010000000000000000000001000010000,99.35,2,2.20097
01,0000100110011000000000000000001000010000,99.35,2,2.69828
02,0000000010000000000000000000001000010000,99.8,3,2.77219
03,0000000010000000000000000000001000010000,99.8,3,2.77219
04,0000000010000000000000000000001000010000,99.8,3,2.77219
05,0000000010000000000000000000001000010000,99.8,3,2.77219
06,0000000010000000000000000000001000010000,99.8,3,2.77219
07,0000000010000000000000000000001000010000,99.8,3,2.77219
08,0000000010000000000000000000001000010000,99.8,3,2.77219
09,0000000010000000000000000000001000010000,99.8,3,2.77219
10,0000000010000000000000000000001000010000,99.8,3,2.77219
11,0000000010000000000000000000001000010000,99.8,3,2.77219
12,0000000010000000000000000000001000010000,99.8,3,2.77219
13,0000000010000000000000000000001000010000,99.8,3,2.77219
14,0000000010000000000000000000001000010000,99.8,3,2.77219
15,0000000010000000000000000000001000010000,99.8,3,2.77219
16,0000000010000000000000000000001000010000,99.8,3,2.77219
17,0000000010000000000000000000001000010000,99.8,3,2.77219
18,0000000010000000000000000000001000010000,99.8,3,2.77219
19,0000000010000000000000000000001000010000,99.8,3,2.77219
20,0000000010000000000000000000001000010000,99.8,3,2.77219
21,0000000010000000000000000000001000010000,99.8,3,2.77219
22,0000000010000000000000000000001000010000,99.8,3,2.77219
23,0000000010000000000000000000001000010000,99.8,3,2.77219
24,0000000010000000000000000000001000010000,99.8,3,2.77219
25,0000000010000000000000000000001000010000,99.8,3,2.77219
26,0000000010000000000000000000001000010000,99.8,3,2.77219
27,0000000010000000000000000000001000010000,99.8,3,2.77219
28,0000000010000000000000000000001000010000,99.8,3,2.77219
29,0000000010000000000000000000001000010000,99.8,3,2.77219
30,0000000010000000000000000000001000010000,99.8,3,2.77219
31,0000000010000000000000000000001000010000,99.8,3,2.77219
32,0000000010000000000000000000001000010000,99.8,3,2.77219
33,0000000010000000000000000000001000010000,99.8,3,2.77219
34,0000000010000000000000000000001000010000,99.8,3,2.77219
35,0000000010000000000000000000001000010000,99.8,3,2.77219
36,0000000010000000000000000000001000010000,99.8,3,2.77219
37,0000000010000000000000000000001000010000,99.8,3,2.77219
38,0000000010000000000000000000001000010000,99.8,3,2.77219
39,0000000010000000000000000000001000010000,99.8,3,2.77219
40,0000000010000000000000000000001000010000,99.8,3,2.77219
41,0000000010000000000000000000001000010000,99.8,3,2.77219
42,0000000010000000000000000000001000010000,99.8,3,2.77219
43,0000000010000000000000000000001000010000,99.8,3,2.77219
44,0000000010000000000000000000001000010000,99.8,3,2.77219
45,0000000010000000000000000000001000010000,99.8,3,2.77219
46,0000000010000000000000000000001000010000,99.8,3,2.77219
47,0000000010000000000000000000001000010000,99.8,3,2.77219
48,0000000010000000000000000000001000010000,99.8,3,2.77219
49,0000000010000000000000000000001000010000,99.8,3,2.77219
50,0000000010000000000000000000001000010000,99.8,3,2.77219
51,0000000010000000000000000000001000010000,99.8,3,2.77219
52,0000000010000000000000000000001000010000,99.8,3,2.77219
53,0000000010000000000000000000001000010000,99.8,3,2.77219
54,0000000010000000000000000000001000010000,99.8,3,2.77219
55,0000000010000000000000000000001000010000,99.8,3,2.77219
56,0000000010000000000000000000001000010000,99.8,3,2.77219
57,0000000010000000000000000000001000010000,99.8,3,2.77219
58,0000000010000000000000000000001000010000,99.8,3,2.85859
59,0000000010000000000000000000001000010000,99.8,3,2.94446
60,0000000111000000000000000000001000010000,99.8,3,3.06877
61,0000000010010000000000000000001000010000,99.8,3,2.30357
62,0000000010000000000000000000001000010000,99.8,3,2.80837
63,0000000010000000000000000000001000010000,99.8,3,2.56367
64,0000000010000000000000000000001000010000,99.8,3,3.30404
65,0000000010000000000000000000001000010000,99.8,3,3.15859
66,0000000010000000000000000000001000010000,99.8,3,2.91489
67,0000000111000000000000000000001000010000,99.8,4,3.21126
68,0001000010000000000000000000001000010000,99.8,4,3.11125
69,0000000110000000000000000000001000010000,99.8,4,3.40944
70,0000000011000000000000000000001000010000,99.8,4,3.28357
71,0001000011000000000000000000001000010000,99.8,4,2.68365
72,0000100010000000000000000000001000010000,99.8,4,3.11125
73,0001000010000000000000000000001000010000,99.8,4,3.11125
74,0001000010000000000000000000001000010000,99.8,4,3.11125
75,0001000010000000000000000000001000010000,99.8,4,2.63633
76,0000000010000000000000000000001000010000,99.8,4,3.04024
77,0001000010000000000000000000001000010000,99.8,4,3.11125
78,0001000010000000000000000000001000010000,99.8,4,3.32471
79,0001000010000000000000000000001000010000,99.8,4,3.11125
80,0001000110000000000000000000001000010000,99.8,4,3.11125
81,0000000010000000000000000000001000010000,99.8,4,3.11125
82,0001000010000000000000000000001000010000,99.8,4,3.11125
83,0000000010000000000000000000001000010000,99.8,4,2.79036
84,0001000010000000000000000000001000010000,99.8,4,3.11125
85,0000100110011000000000000000001000010000,99.8,4,3.11125
86,0001000010000000000000000000001000010000,99.8,4,2.63633
87,0000000110000000000000000000001000010000,99.8,4,2.50112
88,0000000011000000000000000000001000010000,99.8,4,3.10047
89,0001000010000000000000000000001000010000,99.8,4,2.63633
90,0001000010000000000000000000101000010000,99.8,4,2.63633
91,0001000010000000000000000000001000010000,99.8,4,3.32471
92,0001000010000000000000000000001000010000,99.8,4,3.32957
93,0001000010000000000000000000001000010000,99.8,4,3.11125
94,0001000010000000000000000000001000010000,99.8,4,3.32471
95,0001000010000000000000000000001000010000,99.8,4,3.11125
96,0001000010000000000000000000001000010000,99.8,4,3.11125
97,0001000010000000000000000000001000010000,99.8,4,3.11125
98,0001000010000000000000000000001000010000,99.8,4,3.11125
99,0001000010000000000000000000001000010000,99.8,4,3.11125
00,0000100110011000000000000000001000010000,99.35,2,2.69828
01,0000000010000000000000000000001000010000,99.35,2,2.20097
02,0000000010000000000000000000001000010000,99.8,3,2.77219
03,0000000010000000000000000000001000010000,99.8,3,2.77219
04,0000000010000000000000000000001000010000,99.8,3,2.77219
05,0000000010000000000000000000001000010000,99.8,3,2.77219
06,0000000010000000000000000000001000010000,99.8,3,2.77219
07,0000000010000000000000000000001000010000,99.8,3,2.77219
08,0000000010000000000000000000001000010000,99.8,3,2.77219
09,0000000010000000000000000000001000010000,99.8,3,2.77219
10,0000000010000000000000000000001000010000,99.8,3,2.77219
11,0000000010000000000000000000001000010000,99.8,3,2.77219
12,0000000010000000000000000000001000010000,99.8,3,2.77219
13,0001000010000000000000000000001000010000,99.8,3,2.77219
14,0000000010000000000000000000001000010000,99.8,3,2.77219
15,0000000010000000000000000000001000010000,99.8,3,2.77219
16,0000000010000000000000000000001000010000,99.8,3,2.77219
17,0000000010000000000000000000001000010000,99.8,3,2.77219
18,0000000010000000000000000000001000010000,99.8,3,2.77219
19,0000000010000000000000000000001000010000,99.8,3,2.77219
