Id,Chrom,Accuracy,NumBits,Time
00,0000000000000000000000000000000000010000,78.4,1,2.18627
01,0000000000000000000000000000001000010000,78.4,1,2.25725
02,0000000000000000000000000000001000010000,99.65,2,2.5675
03,0000000000000000000000000000001000010000,99.65,2,2.48135
04,0000000000000000000000000000001000010000,99.65,2,2.76398
05,0000000000000000000000100000001000010000,99.65,2,2.26836
06,0000000000000000000000000010001000010000,99.65,2,2.10536
07,0000000000000000000000100000001000010000,99.65,2,1.9898
08,0000000000000000000000100000001000010000,99.65,2,2.81937
09,0000000000000000000000100000001000010000,99.55,2,2.41661
10,0000000000000000000000100000001000010000,99.55,2,2.52212
11,0000000000000000000000001000001000010000,99.65,3,2.02364
12,0000000000000000010000000000001000010000,99.65,3,2.67803
13,0000000000100000000000000000001000010000,99.65,3,2.30819
14,0000000000000000000000000000001001010000,99.65,3,2.69135
15,0000000000000000000001000000001000010000,99.65,3,2.59156
16,0000100000000000000000000000001000010000,99.65,3,2.22495
17,0000000000000000000000000000101000010000,99.65,3,2.31785
18,0000000000000000100000000000001000010000,99.65,3,2.26266
19,0000000000000000000000010000001000010000,99.65,3,2.09229
20,0000000000000000000000100000001000010000,99.65,3,2.79958
21,0000000000000000000000000010001001010000,99.65,3,2.92856
22,0000000000100000000000000000001000010000,99.65,3,3.01748
23,0000000000100000000000000000001000010000,99.65,3,2.42812
24,0000000000000000000000000000101100010000,99.65,3,2.00519
25,0000100000000000000000000000001000010000,99.65,3,2.68413
26,0000000000000000000000000000001000010000,99.65,3,2.22313
27,0000000000000000000000000000001100010000,99.65,3,2.51666
28,0000000000000000000000000000001001010000,99.65,3,2.66938
29,0000000000000000000000000010001001010000,99.65,3,1.86676
30,1000000000000000000000100000001000010000,99.65,3,2.93654
31,0000000000000000000000100010001000010000,99.65,3,2.94437
32,0100000000100000000000100010001000010000,99.65,3,2.9152
33,0001000000000000000000000000001000010000,99.65,3,2.8662
34,0000000000000000000000100000001000010000,99.65,3,2.63495
35,0000000000000000000000000000001100010000,99.65,3,2.61514
36,0000000000000000000000000000001100010000,99.65,3,2.94391
37,0000000000000000000000100000001000010000,99.65,3,2.83408
38,0000000000000000000000100000001100010000,99.65,3,2.54269
39,0001000000000000000000000000001001010000,99.65,3,2.90749
40,0000000000000000000000010100001000010000,99.65,3,2.87656
41,0000000000100000000000000000001000010000,99.65,3,3.00359
42,0000000000000000000000100000001001010000,99.65,3,2.91852
43,0000000000000000000000000010001000010000,99.65,3,2.93754
44,0001000000000000000000000000001000010000,99.65,3,2.91682
45,0000000000000000000000100010001001010000,99.65,3,2.94175
46,0000000000000000000000100000001100010000,99.65,3,2.37189
47,0000000000000000000000100010001000010000,99.65,3,2.84094
48,0000000000000000000000100000001000010000,99.65,3,2.6886
49,0000000000000000000000100000001000010000,99.65,3,2.81181
50,0000000000000000000000000000001001010000,99.65,3,2.87727
51,0000000000100000000000000000001000010000,99.65,3,2.59688
52,0100000000000000000000000000001000010000,99.65,3,2.23739
53,0000000000100000000000000000001000010000,99.65,3,2.37901
54,0000000000000000000000000000001001010000,99.65,3,2.47185
55,0000000000100000000000100000001000010000,99.65,3,2.55238
56,0001000000100000000000100000001000010000,99.65,3,2.84765
57,0000000000100000000000000000001000010000,99.65,3,2.29281
58,0000000000000000000000000000001000010000,99.65,3,2.11193
59,0000000000100000000000000000001001010000,99.65,3,3.09521
60,0000000000000000000000100000001000010000,99.65,3,2.79424
61,0000000000000000000000100000001001010000,99.65,3,2.79362
62,0000000000000000000000100000001001010000,99.65,3,2.66848
63,0000000000000000000000001000001100010000,99.65,3,2.13727
64,0000000000000000000000100000001000010000,99.65,3,2.33419
65,0000000000000000000000000000001000010000,99.65,3,1.73358
66,0100000000000000000000100000001000010000,99.65,3,2.88978
67,0000000000100000010000000000001001010000,99.65,3,3.18989
68,0000000000000000000000100000001000010000,99.65,3,2.13191
69,0100000000100000000000100000001000010000,99.65,3,2.8422
70,0000000000000000000000000000001000010000,99.65,3,2.83016
71,0100000000100000000000100010001000010000,99.65,3,1.83792
72,0000000000000000000000000000001000010000,99.65,3,2.95058
73,0000000000000000000000100010001000010000,99.65,3,2.73185
74,0000000000000000000000100000001001010000,99.65,3,2.89526
75,0000000000000000000000100000001001010000,99.65,3,2.57653
76,0000000000000000000000000000001000010000,99.65,3,2.7077
77,0000000000000000000000100000001001010000,99.65,3,2.08728
78,0000100000000000000000000000001100010000,99.65,3,3.00871
79,0000000000000000000000100000001100010000,99.65,4,3.02777
80,0000000000000000000000100000001001010000,99.65,4,1.46234
81,0001000000000000000000100010001000010000,99.65,4,3.0226
82,0001000000100000000000000000001000010000,99.65,4,2.98791
83,0001000000000000000000000000001100010000,99.65,4,2.91798
84,0001000000000000000000000000001001010000,99.65,4,2.58042
