Id,Chrom,Accuracy,NumBits,Time
00,0000000000000000000000000000001000010000,99.7,2,1.42692
01,0000100000000000000000000000001000010000,99.75,3,1.70416
02,0000100000000000000000000000001000010000,99.75,3,1.33976
03,0000100000000000000000000000001000010000,99.75,3,1.71397
04,0000100000000000000000000100001000010000,99.75,3,1.93007
05,0000100000000000000000000100001000010000,99.75,3,1.2428
06,0000100000000000000000000100001000010000,99.75,3,1.89769
07,0000100000000000000000000000001000010000,99.75,3,1.44344
08,0000100000000000000000000100001000010000,99.75,3,1.59774
09,0000100000000000000000000100001000010000,99.75,3,1.35722
10,0000100000000000000000000000001010010000,99.75,3,1.47603
11,0010100000000000000000000100001000010000,99.8,5,1.11117
12,0000100000000000000000000100001000010000,99.75,4,1.79045
13,0000100000000000000000000100001000010000,99.75,4,1.68209
14,0000000000000000000000000100001000010000,99.75,3,1.57691
15,0000100000000000000000000100001000010000,99.75,4,1.92917
16,0000100000000000000000000100001000010000,99.75,3,1.41743
17,0000100000000000000000000100001000010000,99.75,4,1.87634
18,0000100000000000000000000000001000010000,99.75,4,1.68209
19,0000100000000000000000000000001000010000,99.75,4,1.5305
20,0000100000000000000000000100001000010000,99.75,4,1.68209
21,0000100000000000000000000100001000010000,99.75,4,1.68209
22,0000100000000000000000000100001000010000,99.75,4,1.14167
23,0000100000000000000000000100001000010000,99.75,4,1.68209
24,0000100000000000000000000100001000010000,99.75,4,1.87142
25,0000100000000000000000000100001000010000,99.75,4,1.68209
26,0000100000000000000000000100001000010000,99.75,4,1.68209
27,0000100000000000000000000100001000010000,99.75,4,1.27853
28,0000100000000000000000000000001000010000,99.75,4,1.92129
29,0000000000000000000000000100001000010000,99.75,3,1.1569
30,0000100000000000000000000100001000010000,99.75,4,1.78815
31,0000100000000000000000000100001000010000,99.75,4,1.87719
32,0000100000000000000000000100001000010000,99.75,4,1.71771
33,0000100000000010000000000100001000010000,99.75,4,1.8496
34,0000100000000000000000000100001000010000,99.75,4,1.81621
35,0000100000000000000000000100001000110000,99.75,4,1.75911
36,0000100000000000000000000100001000010000,99.75,4,1.68209
37,0000100000000000000000000000001000110000,99.75,4,1.87142
38,0000100000000000000000000100001000010000,99.75,4,1.68209
39,0000100000000000000000000100001000010000,99.75,4,1.87142
40,0000100000000000000000000100001000010000,99.75,4,2.02282
41,0000100000000000000000000100001000010000,99.75,4,1.68209
42,0000100000000000000000000100001000010000,99.75,4,1.68209
43,0000100000000000000000000100001000010000,99.75,4,1.68209
44,0000100000000000000000000100001000010000,99.75,4,1.68209
45,0000100000000000000000000100001000010000,99.75,4,1.68209
46,0000100000000000000000000100001000010000,99.75,4,1.68209
47,0000100000000000000000000100001000010000,99.75,4,1.68209
48,0000100000000000000000000100001000010000,99.75,4,1.68209
