Id,Chrom,Accuracy,NumBits,Time
00,0000000010000000000000000000001000000000,94.5,2,6.82825
01,0000000010000000000000000000001000010000,99.8,3,6.37237
02,0000000010000000000000000000001000010000,99.8,3,5.28004
03,0000000010000000000000000000001000010000,99.8,3,3.29756
04,0000000010000000000000000000001000010000,99.8,3,5.15117
05,0000000010000000000010000000001000010000,94.5,2,5.65803
06,0000000010000000000010000000101000110000,99.7,3,6.11592
07,0000000010000000000000000100001000010000,99.8,4,7.43021
08,0000000010000001000000000000001000010000,99.8,4,7.09557
09,0000000010000000000010000000001000010000,99.8,4,6.74023
10,0000000010000001001100000000001000010000,99.8,4,7.68157
11,0000000010000000000010000000101000110000,99.8,4,6.96809
12,0000000010000000000000000100001000010000,99.8,4,6.41378
13,0000000010000000000000000100001000010000,99.8,4,6.88576
14,0000001010010101011000000000001000110000,99.8,4,6.88576
15,0000000010000000000010000000001000010000,99.8,4,6.51992
16,0000000010000000000000000000001000010000,99.8,4,6.88576
17,0000000010000000000000000100001000010000,99.8,4,6.88576
18,0000000010000000000000000100001000010000,99.8,4,6.88576
19,0000000010000000000000000000001000010000,99.8,4,6.88576
20,0000000010000000000000000100001000110000,99.8,4,6.88576
21,0000000010000000001000000000101000110000,99.8,4,6.88576
22,0100000000000101001000000110101000010000,99.65,3,6.23211
23,0000010000010000000000000000001000010000,99.75,4,6.80476
24,0000000010000000000000010000001000010000,99.75,4,7.13738
25,0000000000000000000010100000001000010000,99.75,4,6.53486
26,0000010000010000000000000000001000010000,99.75,4,7.47603
27,0000000010000000000000000000001000110000,99.75,4,5.53808
28,0000010000000001001000000000001000010000,99.75,4,7.53145
29,0000000100000000000010000000001000010000,99.75,4,6.18962
30,0100000010000000000000000000001000010000,99.75,4,7.06047
31,0000000000000001000000000000101000010000,99.75,4,6.83044
32,0000000010000000001000000000001001010000,99.75,4,6.69171
33,0000010000000001001000000000001000010000,99.8,5,7.19698
34,0000001010000000000000100000001000010000,99.8,5,6.53267
35,0000000010000001000000000100001000010000,99.8,5,6.55695
36,0000000010010001000000000000001000010000,99.8,5,7.2131
37,0000000010000001000000000001001000010000,99.8,5,7.43101
38,0000000010000000000100000100001000010000,99.8,5,6.88767
39,0000000010000001000000000000001100010000,99.8,5,6.8384
40,0000000000000001001000000000101000010000,99.8,5,7.09308
41,0000000010000000000000000010101000010000,99.8,5,6.86849
42,0000000010000000000010000000001000110000,99.8,5,6.95156
43,0000000010000000001000000000101000110000,99.8,5,6.58731
44,0000000010000001000000000000001000011000,99.8,5,7.1802
45,0000000010000000000000000100001000010000,99.8,5,6.96406
46,0000000010000001001000000000001000010000,99.8,5,7.14875
47,1000000010000001000000000000001000010000,99.8,5,7.02872
48,0000000010000100000010000000001000010000,99.8,5,7.0862
49,0000000010000001000000010000001000010000,99.8,5,6.69406
50,0001000010000000000000000100001000010000,99.8,5,7.38975
51,0000000010000000000000000000101000110000,99.8,5,4.39833
52,1000000010000000000010000000001000010000,99.8,5,7.4724
53,0000000010000001000010000000001000010000,99.8,5,6.91268
54,0000000000000001001000000000101000010000,99.8,5,6.54311
55,0000000010000001000000000001001000010000,99.8,5,7.14869
56,0000001010000000001000000000001000010000,99.8,5,7.35942
57,1000000010000001000000000000001000010000,99.8,5,4.95272
58,0000000010000000001000000000001000110000,99.8,5,6.3445
59,0000001010000000000000000010001000010000,99.8,5,6.4653
60,0000000010000000000000000100001000110000,99.8,5,5.90171
61,0000000010000001001000000000001000010000,99.8,5,6.21322
62,0000000011000000000000000010001000010000,99.8,5,6.65651
63,0000000010000001000000000010001000010000,99.8,5,6.45054
64,0000000010010001000000000000001000010000,99.8,5,7.34318
65,0000000010000000000010000000101000110000,99.8,5,6.30367
66,0000000010000001000010000000001000011000,99.8,5,6.77311
67,0010000010000000001000000000001000110000,99.8,5,6.44149
68,0000010010000000000010000000001000010000,99.8,5,6.79844
69,0000000100010000000000000000001000010000,99.8,5,7.12223
70,0000000010000000001000100100001000110000,99.8,5,3.94424
71,0000000100010000000000000000001000010000,99.8,5,6.26924
72,0000000010000000001000000100101000010000,99.8,5,6.77227
73,0000000010000000000000000000001000010000,99.8,5,7.1421
74,0000000010000001000010000000101000010000,99.8,5,7.26578
75,0000000100010000000000000000001000010000,99.8,5,6.69965
76,0000000010000000000000000000001000010000,99.8,5,5.82593
77,0000000010000000000010000000001000010000,99.8,5,5.7621
78,0000000010000000000010000000101000110000,99.8,5,7.66466
79,0000000010000000000010000000001000010000,99.8,5,6.37778
80,0000000010000001000000000000001000010000,99.8,6,7.03946
81,0000000010010000000000000000001000010000,99.8,6,6.87988
82,0000000010000000001000000100101000010000,99.8,6,6.31793
83,0000000010000000001010000000101000010000,99.8,6,6.37533
84,0000000010000000000000000000001000010000,99.8,6,6.35155
85,0000000010000000000000000000001000010000,99.8,6,7.05649
86,0000000010000001001000000000001000010000,99.8,6,6.80412
87,0000000010010000000010000000001000010000,99.75,5,7.26636
88,0000000010000000001000000000101000010000,99.7,4,6.04333
89,0000000110000000001000000000001000110000,99.7,4,6.41683
90,0000000010000000001000100100001000010000,99.8,6,6.87316
91,0000000010000001000010000000001000011000,99.8,6,6.6725
92,0000000010000001000010000000101000010000,99.8,6,7.32459
93,0000000010000000000000000000001000010000,99.8,6,6.15745
94,0001000010000000001000000000101000110000,99.75,5,7.09225
95,0000000010000000000010000000001000010000,99.75,5,6.57277
96,0001000010000000001000000000001000010000,99.75,5,7.22214
97,1000000010000001000000000000001000010000,99.8,6,7.29356
98,0000000010000000000000000001001000010000,99.8,6,6.93694
99,0001001010010100000000000000101000010000,99.75,5,7.69719
00,0000000010000000000000000100001000110000,99.5,5,6.82825
01,0000000010000000000000000000001000010000,99.8,3,6.44014
02,0000000010000000001000000000101000110000,99.8,3,6.37237
03,0000000010000000000000000000001000010000,99.8,3,5.28004
04,0000000010000000000000000000001000010000,99.8,3,3.29756
05,0000000010000000000000000000001000010000,99.8,3,5.15117
06,0000000010000000000000000000001000010000,94.5,2,5.65803
07,0000000000000001000000000000001000010000,99.75,3,6.66448
