Id,Chrom,Accuracy,NumBits,Time
00,0000000000000001000000000000001000010001,99.25,2,2.25827
01,0000000000000010101000000000101000010001,99.25,2,1.96786
02,0000000000000001000000001000001000010001,99.75,8,2.80144
03,0000000000000000000010000000001000010001,99.55,3,2.57762
04,0000000000000001000000000000001000010001,99.55,3,2.31889
05,0000000000000001000000000000001000010001,99.7,4,2.40341
06,0100000000001001000001000000001000010001,99.75,8,2.59547
07,0000000000001011001000000000001000010001,99.7,4,2.40341
08,0000000000000001000000000000001000010001,99.25,2,1.84805
09,0100000000000001000000000000001000010001,99.7,4,2.70193
10,0000000000001011000000000000001000010001,99.7,4,2.40341
11,0000000000000001000000000000001000010001,99.7,4,2.40341
12,0100000000000001000010000000001100010001,99.7,4,2.2695
13,0000000000000001000000000000001000010001,99.7,4,2.43741
14,0000000000000001000000000000001000010001,99.7,4,2.40341
15,0000000000000001000010000000001000010001,99.7,4,2.40341
16,0000000000000001001000000000001000010001,99.7,4,2.40341
17,0000000000000001000000000000001000010001,99.7,4,2.40341
18,0000000000000001000000000000001000010001,99.7,4,2.46603
19,0000000000000001000000000000001000010001,99.7,4,2.46603
20,0000000000000001000000000000001000010001,99.7,4,2.40341
21,0000000000000001000000000000001000010001,99.7,4,2.46603
22,0000000000000001000000000000001000010001,99.7,4,2.46603
23,0000000000001001000000000000001000010001,99.7,4,2.45275
24,0000000000000000000000000000001000010001,99.7,4,1.94819
25,0000000000000001000000000000001000010001,99.7,4,2.40341
26,0100000000000001000000000000001000010001,99.7,4,2.27336
27,0100000000000001000000000000001000010001,99.7,4,2.40341
28,0000000000001011000000000000001100010001,99.7,4,2.50876
29,0000000000000001000010000000001000010001,99.7,4,2.40341
30,0000000000000001000000000000001000010001,99.7,4,2.2695
31,0000000000000001000000001000001000010001,99.7,4,2.31933
32,0000000000000000000000001000001000010001,99.7,4,2.52926
33,0000000000000000000000000000001100010001,99.55,3,2.52704
34,0000000000000001000000000000001000010001,99.7,4,2.76939
35,0000000000000000000000000000001000010001,99.7,4,2.46603
36,0000000000000001000000000000001000010001,99.7,4,2.40341
